[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 1] And the whole multitude of them arose, and led him to Pilate.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 2] And they began to accuse him, saying, We found this man perverting the nation, and forbidding to give tribute to Cesar, saying, that he himself is Christ a king.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 3] And Pilate asked him, saying, Art thou the King of the Jews? And he answered him and said, Thou sayest it .
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 4] Then said Pilate to the chief priests, and to the people, I find no fault in this man.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 5] And they were the more fierce, saying, He stirreth up the people, teaching throughout all Judea, beginning from Galilee to this place.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 6] When Pilate heard of Galilee, he asked whether the man was a Galilean.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 7] And as soon as he knew that he belonged to Herod's jurisdiction, he sent him to Herod, who himself was also at Jerusalem at that time.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 8] And when Herod saw Jesus, he was exceeding glad: for he had been for a long time, desirous to see him, because he had heard many things of him; and he hoped to see some miracle done by him.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 9] Then he questioned with him in many words; but he answered him nothing.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 10] And the chief priests and scribes stood and vehemently accused him.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 11] And Herod with his troops set him at naught, and mocked him , and arrayed him in a gorgeous robe, and sent him again to Pilate.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 12] And the same day Pilate and Herod were made friends together; for before they were at enmity between themselves.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 13] And Pilate, when he had called together the chief priests, and the rulers, and the people,
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 14] Said to them, Ye have brought this man to me, as one that perverteth the people: and behold, I, having examined him before you, have found no fault in this man, touching those things of which ye accuse him;
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 15] No, nor yet Herod: for I sent you to him; and lo, nothing worthy of death is done to him:
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 16] I will therefore chastise him, and release him .
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 17] (For of necessity he must release one to them at the feast.)
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 18] And they cried out all at once, saying, Away with this man , and release to us Barabbas:
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 19] (Who, for a certain sedition made in the city, and for murder, was cast into prison.)
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 20] Pilate therefore, willing to release Jesus, spoke again to them.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 21] But they cried, saying, Crucify, crucify him.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 22] And he said to them the third time, Why, what evil hath he done? I have found no cause of death in him; I will therefore chastise him, and let him go.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 23] And they were urgent with loud voices, requiring that he might be crucified: and the voices of them, and of the chief priests prevailed.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 24] And Pilate gave sentence that it should be as they required.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 25] And he released to them him that for sedition and murder had been cast into prison, whom they had desired; but he delivered Jesus to their will.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 26] And as they led him away, they laid hold upon one Simon a Cyrenian, coming out of the country, and on him they laid the cross, that he might bear it after Jesus.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 27] And there followed him a great company of people, and of women, who also bewailed and lamented him.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 28] But Jesus turning to them, said, Daughters of Jerusalem, weep not for me, but weep for yourselves, and for your children.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 29] For behold, the days are coming, in which they shall say, Blessed are the barren, and the wombs that never bore, and the breasts which never nourished infants.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 30] Then shall they begin to say to the mountains, Fall on us; and to the hills, Cover us.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 31] For if they do these things in a green tree, what will be done in the dry?
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 32] And two others, who were malefactors, were led with him to be put to death.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 33] And when they had come to the place which is called Calvary, there they crucified him, and the malefactors; one on the right hand, and the other on the left.
