[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 1] Now in the fifteenth year of the reign of Tiberius Cesar, Pontius Pilate being governor of Judea, and Herod being tetrarch of Galilee, and his brother Philip tetrarch of Iturea and of the region of Trachonitis, and Lysanius the tetrarch of Abilene,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 2] Annas and Caiaphas being the high priests, the word of God came to John the son of Zacharias in the wilderness.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 3] And he came into all the country about Jordan, preaching the baptism of repentance, for the remission of sins;
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 4] As it is written in the book of the words of Isaiah the prophet, saying, The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 5] Every valley shall be filled, and every mountain and hill shall be brought low; and the crooked shall be made straight, and the rough ways shall be made smooth;
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 6] And all flesh shall see the salvation of God.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 7] Then said he to the multitude that came forth to be baptized by him, O generation of vipers, who hath warned you to flee from the wrath to come?
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 8] Bring forth therefore fruits worthy of repentance, and begin not to say within yourselves, We have Abraham for our father: for I say to you, that God is able of these stones to raise up children to Abraham.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 9] And now also the ax is laid to the root of the trees: every tree therefore which bringeth not forth good fruit, is hewn down, and cast into the fire.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 10] And the people asked him, saying, What shall we do then?
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 11] He answereth and saith to them, He that hath two coats, let him impart to him that hath none; and he that hath provisions, let him do likewise.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 12] Then came also publicans to be baptized, and said to him, Master, what shall we do?
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 13] And he said to them, Exact no more than that which is appointed you.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 14] And the soldiers likewise asked him, saying, And what shall we do? And he said to them, Do violence to no man, neither accuse any falsely, and be content with your wages.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 15] And as the people were in expectation, and all men mused in their hearts concerning John, whether he was the Christ, or not;
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 16] John answered, saying to them all, I indeed baptize you with water; but one mightier than I cometh, the latchet of whose shoes I am not worthy to unloose: he will baptize you with the Holy Spirit, and with fire:
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 17] Whose fan is in his hand, and he will thoroughly cleanse his floor, and will gather the wheat into his granary; but the chaff he will burn with fire unquenchable.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 18] And many other things in his exhortation he preached to the people.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 19] But Herod the tetrarch, being reproved by him on account of Herodias, his brother Philip's wife, and for all the evils which Herod had done,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 20] Added yet this above all, that he shut up John in prison.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 21] Now when all the people were baptized, it came to pass, that Jesus also being baptized, and praying, the heaven was opened,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 22] And the Holy Spirit descended in a bodily shape like a dove upon him, and a voice came from heaven, which said, Thou art my beloved Son; in thee I am well pleased.
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 23] And Jesus himself began to be about thirty years of age, being (as was supposed) the son of Joseph, who was the son of Heli,
