[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 1] And it came to pass in those days, that there went out a decree from Cesar Augustus, that all the world should be taxed.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 2] (And this taxing was first made when Cyrenius was governor of Syria.)
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 3] And all went to be taxed, every one into his own city.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 4] And Joseph also went up from Galilee, out of the city of Nazareth, into Judea, to the city of David, which is called Bethlehem; (because he was of the house and lineage of David)
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 5] To be taxed with Mary his espoused wife, being great with child.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 6] And so it was, that while they were there, the days were accomplished that she should be delivered.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 7] And she brought forth her first-born son, and wrapped him in swaddling-clothes, and laid him in a manger; because there was no room for them in the inn.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 8] And there were in the same country shepherds abiding in the field, keeping watch over their flock by night.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 9] And lo, the angel of the Lord came upon them, and the glory of the Lord shone around them; and they were in great fear.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 10] And the angel said to them, Fear not: for behold, I bring you good tidings of great joy which shall be to all people.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 11] For to you is born this day, in the city of David, a Savior, who is Christ the Lord.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 12] And this shall be a sign to you; Ye shall find the babe wrapped in swaddling-clothes, lying in a manger.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 13] And suddenly there was with the angel a multitude of the heavenly host praising God, and saying,
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 14] Glory to God in the highest, and on earth peace, good will towards men.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 15] And it came to pass, when the angels had departed from them into heaven, the shepherds said one to another, Let us now go even to Bethlehem, and see this thing which is come to pass, which the Lord hath made known to us.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 16] And they came with haste, and found Mary and Joseph, and the babe lying in a manger.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 17] And when they had seen it , they made known abroad the saying which was told them concerning this child.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 18] And all they that heard it , wondered at those things which were told them by the shepherds.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 19] But Mary kept all these things, and pondered them in her heart.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 20] And the shepherds returned, glorifying and praising God for all the things that they had heard and seen, as it was told to them.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 21] And when eight days were accomplished for the circumcising of the child, his name was called JESUS, who was so named by the angel before he was conceived in the womb.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 22] And when the days of her purification according to the law of Moses were accomplished, they brought him to Jerusalem, to present him to the Lord;
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 23] (As it is written in the law of the Lord, Every male that is the first born of his mother shall be called holy to the Lord)
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 24] And to offer a sacrifice according to that which is said in the law of the Lord, A pair of turtle-doves, or two young pigeons.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 25] And behold, there was a man in Jerusalem, whose name was Simeon; and the same man was just and devout, waiting for the consolation of Israel: and the Holy Spirit was upon him.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 26] And it was revealed to him by the Holy Spirit, that he should not see death, before he had seen the Lord's Christ.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 27] And he came by the spirit into the temple; and when the parents brought in the child Jesus, to do for him after the custom of the law,
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 28] Then he took him up in his arms, and blessed God, and said,
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 29] Lord, now lettest thou thy servant depart in peace, according to thy word:
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 30] For my eyes have seen thy salvation,
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 31] Which thou hast prepared before the face of all people;
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 32] A light to enlighten the Gentiles, and the glory of thy people Israel.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 33] And Joseph and his mother marveled at those things which were spoken concerning him.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 34] And Simeon blessed them, and said to Mary his mother, Behold, this child is set for the fall and rising again of many in Israel; and for a sign which shall be spoken against;
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 35] (And a sword shall pierce through thy own soul also) that the thoughts of many hearts may be revealed.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 36] And there was one Anna, a prophetess, the daughter of Phanuel, of the tribe of Asher: she was of a great age, and had lived with a husband seven years from her virginity;
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 37] And she was a widow of about eighty four years, who departed not from the temple, but served God with fastings and prayers night and day.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 38] And she coming in that instant, gave thanks likewise to the Lord, and spoke of him to all them that looked for redemption in Jerusalem.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 39] And when they had performed all things according to the law of the Lord, they returned into Galilee, to their own city Nazareth.
