[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 1] Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 2] Even as they delivered them to us, who from the beginning were eye-witnesses, and ministers of the word;
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 3] It seemed good to me also, having had perfect understanding of all things from the very first, to write to thee in order, most excellent Theophilus,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 4] That thou mayest know the certainty of those things in which thou hast been instructed.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 5] There was in the days of Herod the king of Judea, a certain priest named Zacharias, of the course of Abia: and his wife was of the daughters of Aaron, and her name was Elisabeth.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 6] And they were both righteous before God, walking in all the commandments and ordinances of the Lord blameless.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 7] And they had no child, because Elisabeth was barren, and they both were far advanced in years.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 8] And it came to pass, that, while he executed the priests' office before God in the order of his course,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 9] According to the custom of the priests' office, his lot was to burn incense when he went into the temple of the Lord.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 10] And the whole multitude of the people were praying without, at the time of incense.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 11] And there appeared to him an angel of the Lord, standing on the right side of the altar of incense.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 12] And when Zacharias saw him , he was troubled, and fear fell upon him.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 13] But the angel said to him, Fear not, Zacharias: for thy prayer is heard; and thy wife Elisabeth shall bear thee a son, and thou shalt call his name John.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 14] And thou shalt have joy and gladness, and many shall rejoice at his birth.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 15] For he shall be great in the sight of the Lord, and shall drink neither wine nor strong drink; and he shall be filled with the Holy Spirit, even from his mother's womb.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 16] And many of the children of Israel shall he turn to the Lord their God.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 17] And he shall go before him in the spirit and power of Elijah, to turn the hearts of the fathers to the children, and the disobedient to the wisdom of the just; to make ready a people prepared for the Lord.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 18] And Zacharias said to the angel, By what shall I know this? for I am an old man, and my wife far advanced in years.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 19] And the angel answering, said to him, I am Gabriel, who stand in the presence of God; and am sent to speak to thee, and to show thee these glad tidings.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 20] And behold, thou shalt be dumb, and not able to speak, until the day that these things shall be performed, because thou believest not my words which shall be fulfilled in their season.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 21] And the people waited for Zacharias, and marveled that he tarried so long in the temple.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 22] And when he came out, he could not speak to them: and they perceived that he had seen a vision in the temple; for he beckoned to them, and remained speechless.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 23] And it came to pass, that as soon as the days of his ministration were accomplished, he departed to his own house.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 24] And after those days his wife Elisabeth conceived, and secluded herself five months, saying,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 25] Thus hath the Lord dealt with me in the days in which he looked on me , to take away my reproach among men.
