[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 1] Now upon the first day of the week, very early in the morning, they came to the sepulcher, bringing the spices which they had prepared, and certain others with them.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 2] And they found the stone rolled away from the sepulcher.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 3] And they entered in, and found not the body of the Lord Jesus.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 4] And it came to pass, as they were much perplexed at this, behold, two men stood by them in shining garments.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 5] And as they were afraid, and bowed down their faces to the earth, they said to them, Why seek ye the living among the dead?
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 6] He is not here, but is risen. Remember how he spoke to you when he was yet in Galilee,
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 7] Saying, The Son of man must be delivered into the hands of sinful men, and be crucified, and the third day rise again.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 8] And they remembered his words,
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 9] And returned from the sepulcher, and told all these things to the eleven, and to all the rest.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 10] It was Mary Magdalene, and Joanna, and Mary the mother of James, and other women that were with them, who told these things to the apostles.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 11] And their words seemed to them as idle tales, and they believed them not.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 12] Then Peter arose, and ran to the sepulcher, and stooping down, he beheld the linen clothes laid by themselves, and departed, wondering in himself at that which had come to pass.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 13] And behold, two of them went that same day to a village called Emmaus, which was from Jerusalem about sixty furlongs.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 14] And they talked together of all these things which had happened.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 15] And it came to pass, that, while they communed together , and reasoned, Jesus himself drew near, and went with them.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 16] But their eyes were held, that they should not know him.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 17] And he said to them, What manner of communications are these that ye have one to another, as ye walk, and are sad?
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 18] And one of them, whose name was Cleopas, answering, said to him, Art thou only a stranger in Jerusalem, and hast not known the things which have come to pass there in these days?
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 19] And he said to them, What things? And they said to him, Concerning Jesus of Nazareth, who was a prophet mighty in deed and word before God, and all the people:
