[IRV | PA | NT | 1 John | Chapter 5 | Verse 1] ਹਰ ਕੋਈ ਜਿਹੜਾ ਯਿਸੂ ਨੂੰ ਮਸੀਹ ਕਰਕੇ ਮੰਨਦਾ ਹੈ, ਉਹ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਜੰਮਿਆ ਹੋਇਆ ਹੈ ਅਤੇ ਹਰ ਕੋਈ ਜਿਹੜਾ ਜਨਮ ਦੇਣ ਵਾਲੇ ਨੂੰ ਪਿਆਰ ਕਰਦਾ ਹੈ ਉਹ ਉਸ ਨੂੰ ਵੀ ਪਿਆਰ ਕਰਦਾ ਹੈ, ਜੋ ਉਸ ਤੋਂ ਜੰਮਿਆ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 2] ਜਦੋਂ ਅਸੀਂ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਪਿਆਰ ਕਰਦੇ ਅਤੇ ਉਹ ਦੇ ਹੁਕਮਾਂ ਉੱਤੇ ਚੱਲਦੇ ਹਾਂ, ਤਾਂ ਇਸ ਤੋਂ ਜਾਣਦੇ ਹਾਂ ਕਿ ਅਸੀਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਬੱਚਿਆਂ ਨੂੰ ਪਿਆਰ ਕਰਦੇ ਹਾਂ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 3] ਕਿਉਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦਾ ਪਿਆਰ ਇਹ ਹੈ ਕਿ ਅਸੀਂ ਉਹ ਦੇ ਹੁਕਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰੀਏ, ਅਤੇ ਉਹ ਦੇ ਹੁਕਮ ਔਖੇ ਨਹੀਂ ਹਨ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 4] ਕਿਉਂ ਜੋ ਹਰੇਕ ਜਿਹੜਾ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਜੰਮਿਆ ਹੈ ਉਹ ਸੰਸਾਰ ਉੱਤੇ ਜਿੱਤ ਪਾਉਂਦਾ ਹੈ ਅਤੇ ਜਿੱਤ ਇਹ ਹੈ ਜਿਸ ਨੇ ਸੰਸਾਰ ਉੱਤੇ ਜਿੱਤ ਪਾਈ ਅਰਥਾਤ ਸਾਡਾ ਵਿਸ਼ਵਾਸ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 5] ਅਤੇ ਕੌਣ ਹੈ ਉਹ ਜਿਹੜਾ ਸੰਸਾਰ ਉੱਤੇ ਜਿੱਤ ਪਾਉਂਦਾ ਹੈ, ਪਰ ਉਹ ਜਿਸ ਨੂੰ ਵਿਸ਼ਵਾਸ ਹੈ ਕਿ ਯਿਸੂ ਪਰਮੇਸ਼ੁਰ ਦਾ ਪੁੱਤਰ ਹੈ?
[IRV | PA | NT | 1 John | Chapter 5 | Verse 6] ਇਹ ਉਹ ਹੈ ਜੋ ਪਾਣੀ ਅਤੇ ਲਹੂ ਦੇ ਰਾਹੀਂ ਆਇਆ ਅਰਥਾਤ ਯਿਸੂ ਮਸੀਹ। ਕੇਵਲ ਪਾਣੀ ਤੋਂ ਨਹੀਂ ਸਗੋਂ ਪਾਣੀ ਅਤੇ ਲਹੂ ਤੋਂ ਆਇਆ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 7] ਅਤੇ ਆਤਮਾ ਉਹ ਹੈ ਜਿਹੜਾ ਗਵਾਹੀ ਦਿੰਦਾ ਹੈ, ਕਿਉਂ ਜੋ ਆਤਮਾ ਸਚਿਆਈ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 8] ਕਿਉਂ ਜੋ ਤਿੰਨ ਹਨ ਜਿਹੜੇ ਗਵਾਹੀ ਦਿੰਦੇ ਹਨ ਅਰਥਾਤ ਆਤਮਾ, ਪਾਣੀ ਅਤੇ ਲਹੂ, ਇਹ ਤਿੰਨੇ ਸਹਿਮਤ ਹਨ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 9] ਜਦੋਂ ਅਸੀਂ ਮਨੁੱਖ ਦੀ ਗਵਾਹੀ ਮੰਨ ਲੈਂਦੇ ਹਾਂ ਤਾਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਗਵਾਹੀ ਉਸ ਨਾਲੋਂ ਵੱਡੀ ਹੈ, ਕਿਉਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦੀ ਗਵਾਹੀ ਇਹ ਹੈ ਕਿ ਉਹ ਨੇ ਆਪਣੇ ਪੁੱਤਰ ਦੇ ਬਾਰੇ ਗਵਾਹੀ ਦਿੱਤੀ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 10] ਜਿਹੜਾ ਪਰਮੇਸ਼ੁਰ ਦੇ ਪੁੱਤਰ ਉੱਤੇ ਵਿਸ਼ਵਾਸ ਕਰਦਾ ਹੈ ਉਹ ਆਪਣੇ ਵਿੱਚ ਹੀ ਗਵਾਹੀ ਰੱਖਦਾ ਹੈ। ਜਿਹੜਾ ਪਰਮੇਸ਼ੁਰ ਉੱਤੇ ਵਿਸ਼ਵਾਸ ਨਹੀਂ ਕਰਦਾ ਉਸ ਨੇ ਉਹ ਨੂੰ ਝੂਠਾ ਬਣਾ ਦਿੱਤਾ ਹੈ, ਕਿਉਂ ਜੋ ਉਸ ਨੇ ਉਸ ਗਵਾਹੀ ਉੱਤੇ ਵਿਸ਼ਵਾਸ ਨਹੀਂ ਕੀਤਾ ਹੈ ਜਿਹੜੀ ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਪਣੇ ਪੁੱਤਰ ਦੇ ਬਾਰੇ ਦਿੱਤੀ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 11] ਅਤੇ ਉਹ ਗਵਾਹੀ ਇਹ ਹੈ ਕਿ ਪਰਮੇਸ਼ੁਰ ਨੇ ਸਾਨੂੰ ਸਦੀਪਕ ਜੀਵਨ ਦਿੱਤਾ ਅਤੇ ਇਹ ਜੀਵਨ ਉਹ ਦੇ ਪੁੱਤਰ ਦੇ ਵਿੱਚ ਹੈ।
