[IRV | PA | NT | 1 John | Chapter 2 | Verse 1] ਹੇ ਮੇਰੇ ਬੱਚਿਓ, ਮੈਂ ਇਹ ਗੱਲਾਂ ਤੁਹਾਨੂੰ ਇਸ ਲਈ ਲਿਖਦਾ ਹਾਂ ਕਿ ਤੁਸੀਂ ਪਾਪ ਨਾ ਕਰੋ ਅਤੇ ਜੇ ਕੋਈ ਪਾਪ ਕਰੇ ਤਾਂ ਪਿਤਾ ਦੇ ਕੋਲ ਸਾਡਾ ਇੱਕ ਸਹਾਇਕ ਹੈ ਅਰਥਾਤ ਯਿਸੂ ਮਸੀਹ ਜਿਹੜਾ ਧਰਮੀ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 2] ਅਤੇ ਉਹ ਸਾਡੇ ਪਾਪਾਂ ਦਾ ਪ੍ਰਾਸਚਿੱਤ ਹੈ ਪਰ ਸਿਰਫ਼ ਸਾਡਾ ਹੀ ਨਹੀਂ ਸਗੋਂ ਸਾਰੇ ਸੰਸਾਰ ਦਾ ਵੀ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 3] ਅਤੇ ਜੇ ਅਸੀਂ ਉਹ ਦੇ ਹੁਕਮਾਂ ਦੀ ਪਾਲਨਾ ਕਰੀਏ ਤਾਂ ਇਸ ਤੋਂ ਜਾਣਦੇ ਹਾਂ ਜੋ ਅਸੀਂ ਉਹ ਨੂੰ ਜਾਣਿਆ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 4] ਉਹ ਜਿਹੜਾ ਆਖਦਾ ਹੈ ਕਿ ਮੈਂ ਉਹ ਨੂੰ ਜਾਣਿਆ ਹੈ ਅਤੇ ਉਹ ਦੇ ਹੁਕਮਾਂ ਦੀ ਪਾਲਨਾ ਨਹੀਂ ਕਰਦਾ ਸੋ ਝੂਠਾ ਹੈ ਅਤੇ ਸਚਿਆਈ ਉਹ ਦੇ ਵਿੱਚ ਨਹੀਂ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 5] ਪਰ ਜੇ ਕੋਈ ਉਹ ਦੇ ਬਚਨ ਦੀ ਪਾਲਨਾ ਕਰਦਾ ਹੋਵੇ ਉਸ ਵਿੱਚ ਪਰਮੇਸ਼ੁਰ ਦਾ ਪਿਆਰ ਸੱਚ-ਮੁੱਚ ਸੰਪੂਰਨ ਹੋਇਆ ਹੈ। ਇਸ ਤੋਂ ਅਸੀਂ ਜਾਣਦੇ ਹਾਂ ਜੋ ਅਸੀਂ ਉਹ ਦੇ ਵਿੱਚ ਹਾਂ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 6] ਉਹ ਜਿਹੜਾ ਆਖਦਾ ਹੈ ਕਿ ਮੈਂ ਉਸ ਵਿੱਚ ਕਾਇਮ ਰਹਿੰਦਾ ਹਾਂ ਤਾਂ ਚਾਹੀਦਾ ਹੈ ਕਿ ਜਿਵੇਂ ਯਿਸੂ ਚੱਲਦਾ ਸੀ ਉਹ ਆਪ ਵੀ ਚੱਲੇ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 7] ਹੇ ਪਿਆਰਿਓ, ਮੈਂ ਕੋਈ ਨਵਾਂ ਹੁਕਮ ਤੁਹਾਨੂੰ ਨਹੀਂ ਲਿਖਦਾ ਸਗੋਂ ਪੁਰਾਣਾ ਹੁਕਮ ਜਿਹੜਾ ਤੁਹਾਨੂੰ ਸ਼ੁਰੂ ਤੋਂ ਮਿਲਿਆ ਸੀ। ਪੁਰਾਣਾ ਹੁਕਮ ਉਹੀ ਬਚਨ ਹੈ ਜਿਹੜਾ ਤੁਸੀਂ ਸੁਣਿਆ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 8] ਫੇਰ ਇੱਕ ਨਵਾਂ ਹੁਕਮ ਤੁਹਾਨੂੰ ਲਿਖਦਾ ਹਾਂ ਅਤੇ ਇਹ ਗੱਲ ਮਸੀਹ ਵਿੱਚ ਅਤੇ ਤੁਹਾਡੇ ਵਿੱਚ ਸੱਚ ਹੈ ਕਿਉਂ ਜੋ ਹਨ੍ਹੇਰਾ ਹਟਦਾ ਜਾਂਦਾ ਹੈ ਅਤੇ ਸੱਚਾ ਚਾਨਣ ਹੁਣ ਚਮਕਣ ਲੱਗ ਪਿਆ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 9] ਉਹ ਜਿਹੜਾ ਆਖਦਾ ਹੈ ਕਿ ਮੈਂ ਚਾਨਣ ਵਿੱਚ ਹਾਂ ਅਤੇ ਆਪਣੇ ਭਰਾ ਨਾਲ ਵੈਰ ਰੱਖਦਾ ਹੈ ਉਹ ਹੁਣ ਤੱਕ ਹਨ੍ਹੇਰੇ ਵਿੱਚ ਹੀ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 10] ਉਹ ਜਿਹੜਾ ਆਪਣੇ ਭਰਾ ਨਾਲ ਪਿਆਰ ਰੱਖਦਾ ਹੈ ਉਹ ਚਾਨਣ ਵਿੱਚ ਰਹਿੰਦਾ ਹੈ ਅਤੇ ਉਸ ਵਿੱਚ ਠੋਕਰ ਦਾ ਕਾਰਨ ਨਹੀਂ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 11] ਪਰ ਉਹ ਜਿਹੜਾ ਆਪਣੇ ਭਰਾ ਨਾਲ ਵੈਰ ਰੱਖਦਾ ਹੈ ਸੋ ਹਨ੍ਹੇਰੇ ਵਿੱਚ ਹੈ ਅਤੇ ਹਨ੍ਹੇਰੇ ਵਿੱਚ ਚਲਦਾ ਹੈ ਅਤੇ ਨਹੀਂ ਜਾਣਦਾ ਕਿ ਮੈਂ ਕਿੱਧਰ ਨੂੰ ਚੱਲਿਆ ਜਾਂਦਾ ਹਾਂ ਇਸ ਲਈ ਜੋ ਹਨ੍ਹੇਰੇ ਨੇ ਉਸ ਦੀਆਂ ਅੱਖਾਂ ਨੂੰ ਅੰਨ੍ਹਾ ਕਰ ਦਿੱਤਾ ਹੈ।
