[GNV | EN | NT | Titus | Chapter 1 | Verse 1] Paul a seruaunt of God, and an Apostle of Iesus Christ, according to the faith of Gods elect, and the acknowledging of the trueth, which is according vnto godlines,
[GNV | EN | NT | Titus | Chapter 1 | Verse 2] Vnto the hope of eternall life, which God that cannot lie, hath promised before the world began:
[GNV | EN | NT | Titus | Chapter 1 | Verse 3] But hath made his worde manifest in due time through the preaching, which is committed vnto me, according to the commandement of God our Sauiour:
[GNV | EN | NT | Titus | Chapter 1 | Verse 4] To Titus my naturall sonne according to the common faith, Grace, mercie and peace from God the Father, and from the Lord Iesus Christ our Sauiour.
[GNV | EN | NT | Titus | Chapter 1 | Verse 5] For this cause left I thee in Creta, that thou shouldest continue to redresse the thinges that remaine, and shouldest ordeine Elders in euery citie, as I appointed thee,
[GNV | EN | NT | Titus | Chapter 1 | Verse 6] If any be vnreproueable, the husband of one wife, hauing faithfull children, which are not slandered of riot, neither are disobedient.
[GNV | EN | NT | Titus | Chapter 1 | Verse 7] For a Bishop must bee vnreproueable, as Gods steward, not froward, not angrie, not giuen to wine, no striker, not giuen to filthie lucre,
[GNV | EN | NT | Titus | Chapter 1 | Verse 8] But harberous, one that loueth goodnesse, wise, righteous, holy, temperate,
[GNV | EN | NT | Titus | Chapter 1 | Verse 9] Holding fast that faithfull worde according to doctrine, that he also may bee able to exhort with wholesome doctrine, and conuince them that say against it.
[GNV | EN | NT | Titus | Chapter 1 | Verse 10] For there are many disobedient and vaine talkers and deceiuers of mindes, chiefly they of the Circumcision,
[GNV | EN | NT | Titus | Chapter 1 | Verse 11] Whose mouthes must bee stopped, which subuert whole houses, teaching things, which they ought not, for filthie lucres sake.
[GNV | EN | NT | Titus | Chapter 1 | Verse 12] One of themselues, euen one of their owne prophets said, The Cretians are alwaies liars, euill beastes, slowe bellies.
[GNV | EN | NT | Titus | Chapter 1 | Verse 13] This witnesse is true: wherefore conuince them sharply, that they may be sound in ye faith,
[GNV | EN | NT | Titus | Chapter 1 | Verse 14] And not taking heede to Iewish fables and commandements of men, that turne away from the trueth.
[GNV | EN | NT | Titus | Chapter 1 | Verse 15] Vnto the pure are all things pure, but vnto them that are defiled, and vnbeleeuing, is nothing pure, but euen their mindes and consciences are defiled.
[GNV | EN | NT | Titus | Chapter 1 | Verse 16] They professe that they know God, but by works they deny him, and are abominable and disobedient, and vnto euery good worke reprobate.
