[IRV | BN | NT | Ephesians | Chapter 6 | Verse 1] ছেলেমেয়েরা, তোমরা প্রভুতে পিতামাতাকে মান্য কর, কারণ এটাই ঠিক।
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 2] “তোমার পিতাকে ও তোমার মাতাকে সম্মান কর,” এটা প্রতিজ্ঞার প্রথম আদেশ,
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 3] “যেন তোমার মঙ্গল হয় এবং তুমি পৃথিবীতে দীর্ঘজীবী হও।”
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 4] আর পিতারা, তোমরা নিজ নিজ ছেলেমেয়েদেরকে রাগিও না, বরং প্রভুর শাসনে ও শৃঙ্খলার মাধ্যমে তাদেরকে মানুষ করে তোলো।
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 5] চাকরেরা, যেমন তোমরা খ্রীষ্টকে মেনে চল তেমনি ভয় ও সম্মানের সঙ্গে ও হৃদয়ের সততা অনুযায়ী নিজ শরীরের জাগতিক প্রভুদের আদেশ মেনে চল;
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 6] মানুষের সন্তুষ্ট করার মত সেবা না করে, বরং খ্রীষ্টের দাসের মত প্রাণের সাথে ঈশ্বরের ইচ্ছা পালন করছ বলে, মানুষের সেবা নয়,
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 7] বরং প্রভুরই সেবা করছ বলে আনন্দেই দাসের কাজ কর;
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 8] জেনে রেখো, কোন ভাল কাজ করলে প্রতিটি মানুষ, সে চাকর হোক বা স্বাধীন মানুষ হোক, প্রভুর থেকে তার ফল পাবে।
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 9] আর মনিবের। তোমরা তাদের সঙ্গে সেই রকম ব্যবহার কর, তাদের হুমকি দেওয়া ছাড়া, জেনে রেখো, তাদের এবং তোমাদেরও প্রভু স্বর্গে আছেন, আর তিনি কারও পক্ষপাতিত্ব করেন না।
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 10] শেষ কথা এই, তোমরা প্রভুতে ও তাঁর শক্তির প্রতাপে শক্তিশালী হও।
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 11] ঈশ্বরের সব যুদ্ধের সাজ পরিধান কর, যেন শয়তানের নানারকম মন্দ পরিকল্পনার সামনে দাঁড়াতে পার।
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 12] কারণ দেহ এবং রক্তের সঙ্গে নয়, কিন্তু পরাক্রম সকলের সঙ্গে, কর্তৃত্ব সকলের সঙ্গে, এই অন্ধকারের জগতপতিদের সঙ্গে, স্বর্গীয় স্থানে দুষ্ট আত্মাদের সঙ্গে আমাদের মল্লযুদ্ধ হচ্ছে।
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 13] এই জন্য তোমরা ঈশ্বরের সব যুদ্ধের সাজ গ্রহণ কর, যেন সেই দুদিনের র প্রতিরোধ করতে এবং সব শেষ করে দাঁড়িয়ে থাকতে পার।
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 14] অতএব সত্যের কোমর বন্ধনীতে বদ্ধকটি হয়ে,
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 15] ধার্মিকতার বুকপাটা পরে এবং শান্তির সুসমাচারের প্রস্তুতির জুতো পায়ে দিয়ে দাঁড়িয়ে থাক;
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 16] এই সব ছাড়া বিশ্বাসের ঢালও গ্রহণ কর, যার দিয়ে তোমরা সেই মন্দ আত্মার সব আগুনের তীরকে নেভাতে পারবে;
[IRV | BN | NT | Ephesians | Chapter 6 | Verse 17] এবং উদ্ধারের শিরস্ত্রাণ ও আত্মার খড়গ, অর্থাৎ ঈশ্বরের বাক্য গ্রহণ কর।
