[OEB | EN | OT | Joel | Chapter 1 | Verse 1] The Lord’s message that came to Joel, son of Pethuel.
[OEB | EN | OT | Joel | Chapter 1 | Verse 2] Hear this, elders, pay attention, all inhabitants of the land. Has anything like this happened in your days, or in the days of your ancestors?
[OEB | EN | OT | Joel | Chapter 1 | Verse 3] Recount it to your children; let your children tell it to their children, and their children to the generation that follows.
[OEB | EN | OT | Joel | Chapter 1 | Verse 4] That which the cutting locust has left, the swarming locust has eaten, that which the swarming locust has left, the hopping locust has eaten, and that which the hopping locust has left, the destroying locust has eaten.
[OEB | EN | OT | Joel | Chapter 1 | Verse 5] Awake, drunkards, and weep, and wail, all drinkers of wine; the new wine is cut off from your mouth.
[OEB | EN | OT | Joel | Chapter 1 | Verse 6] For a nation has come up on my land, powerful, and numberless; its teeth are the teeth of a lion, and its jaw-teeth are like those of a lioness.
[OEB | EN | OT | Joel | Chapter 1 | Verse 7] It has laid waste my vines, and barked my fig tree; it has peeled and cast it away, bleached are the branches.
[OEB | EN | OT | Joel | Chapter 1 | Verse 8] Wail as a bride, clad in sack-cloth, for the husband of her youth.
[OEB | EN | OT | Joel | Chapter 1 | Verse 9] Cut off are the cereal and drink-offerings from the house of the Lord; in mourning are the priests, who minister at the Lord’s altar.
[OEB | EN | OT | Joel | Chapter 1 | Verse 10] The fields are blasted, the land is in mourning, for ruined is the corn, the new wine fails and the oil is dried up.
[OEB | EN | OT | Joel | Chapter 1 | Verse 11] Be dismayed, farmers; wail, vine-dressers. For the wheat and the barley; for the harvest is lost from the fields.
[OEB | EN | OT | Joel | Chapter 1 | Verse 12] The vine fails to bear fruit, and the fig tree is drooping; the pomegranate, palm, and apple, all the trees of the field are dried up. The people’s joy withers.
[OEB | EN | OT | Joel | Chapter 1 | Verse 13] Put on sackcloth, and beat your breasts, priests; wail, ministers of the altar; come, lie all night in sack-cloth, ministers of God; for cereal-offering and drink-offering are cut off from the house of your God.
[OEB | EN | OT | Joel | Chapter 1 | Verse 14] Sanctify a fast, summon an assembly, gather the elders and all the inhabitants of the land into the house of the Lord your God, cry to the Lord:
[OEB | EN | OT | Joel | Chapter 1 | Verse 15] Alas for the day! Near at hand is the day of the Lord, and as destruction from the Almighty it comes.
[OEB | EN | OT | Joel | Chapter 1 | Verse 16] Is not food cut off from before us, gladness and joy from the house of our God?
[OEB | EN | OT | Joel | Chapter 1 | Verse 17] The grains shrivel under their hoes, the storehouses are desolate, the barns broken down, for the corn is withered.
[OEB | EN | OT | Joel | Chapter 1 | Verse 18] How the herds of cattle bellow in distress, for they have no pasture! The flocks of sheep are forlorn.
[OEB | EN | OT | Joel | Chapter 1 | Verse 19] To you, the Lord, I cry. For fire has devoured the pastures of the wilderness, and flame has scorched all the trees of the field.
[OEB | EN | OT | Joel | Chapter 1 | Verse 20] The wild animals also look up to you longingly, for the water-courses are dried up, and fire has devoured the pastures of the wilderness.
