[LXX | EL | OT | Exodus | Chapter 9 | Verse 1] Εἶπε δὲ Κύριος πρὸς Μωυσῆν, εἴσελθε πρὸς Φαραὼ, καὶ ἐρεῖς αὐτῷ, τάδε λέγει Κύριος ὁ Θεὸς τῶν Ἑβραίων, ἐξαπόστειλον τὸν λαόν μου, ἵνα μοι λατρεύσωσι.
[LXX | EL | OT | Exodus | Chapter 9 | Verse 2] Εἰ μὲν οὖν μὴ βούλει ἐξαποστεῖλαι τὸν λαόν μου, ἀλλὰ ἔτι ἐγκρατεῖς αὐτοῦ,
[LXX | EL | OT | Exodus | Chapter 9 | Verse 3] Ἰδοὺ, χεὶρ Κυρίου ἐπέσται ἐν τοῖς κτήνεσί σου τοῖς ἐν τοῖς πεδίοις, ἔν τε τοῖς ἵπποις, καὶ ἐν τοῖς ὑποζυγίοις, καὶ ταῖς καμήλοις, καὶ βουσὶ, καὶ προβάτοις, θάνατος μέγας σφόδρα.
[LXX | EL | OT | Exodus | Chapter 9 | Verse 4] Καὶ παραδοξάσω ἐγὼ ἐν τῷ καιρῷ ἐκείνῳ ἀνὰ μέσον τῶν κτηνῶν τῶν Αἰγυπτίων, καὶ ἀνὰ μέσον τῶν κτηνῶν τῶν υἱῶν Ἰσραήλ· οὐ τελευτήσει ἀπὸ πάντων τῶν τοῦ Ἰσραὴλ υἱῶν ῥητόν.
[LXX | EL | OT | Exodus | Chapter 9 | Verse 5] Καὶ ἔδωκεν ὁ Θεὸς ὅρον, λέγων, ἐν τῇ αὔριον ποιήσει Κύριος τὸ ῥῆμα τοῦτο ἐπὶ τῆς γῆς.
[LXX | EL | OT | Exodus | Chapter 9 | Verse 6] Καὶ ἐποίησε Κύριος τὸ ῥῆμα τοῦτο τῇ ἐπαύριον· καὶ ἐτελεύτησε πάντα τὰ κτήνη τῶν Αἰγυπτίων· ἀπὸ δὲ τῶν κτηνῶν τῶν υἱῶν Ἰσραὴλ οὐκ ἐτελεύτησεν οὐδέν.
[LXX | EL | OT | Exodus | Chapter 9 | Verse 7] Ἰδὼν δὲ Φαραὼ ὅτι οὐκ ἐτελεύτησεν ἀπὸ πάντων τῶν κτηνῶν τῶν υἱῶν Ἰσραὴλ οὐδὲν, ἐβαρύνθη ἡ καρδία Φαραὼ, καὶ οὐκ ἐξαπέστειλε τὸν λαόν.
[LXX | EL | OT | Exodus | Chapter 9 | Verse 8] Εἶπε δὲ Κύριος πρὸς Μωυσῆν καὶ Ἀαρὼν, λέγων, λάβετε ὑμεῖς πληρεῖς τὰς χεῖρας αἰθάλης καμιναίας, καὶ πασάτω Μωυσῆς εἰς τὸν οὐρανὸν ἐναντίον Φαραὼ, καὶ ἐναντίον τῶν θεραπόντων αὐτοῦ.
[LXX | EL | OT | Exodus | Chapter 9 | Verse 9] Καὶ γενηθήτω κονιορτὸς ἐπὶ πᾶσαν τὴν γῆν Αἰγύπτου· καὶ ἔσται ἐπὶ τοὺς ἀνθρώπους, καὶ ἐπὶ τὰ τετράποδα, ἕλκη, φλυκτίδες ἀναζέουσαι ἔν τε τοῖς ἀνθρώποις, καὶ ἐν τοῖς τετράποσιν, ἐν πάσῃ γῇ Αἰγύπτου.
[LXX | EL | OT | Exodus | Chapter 9 | Verse 10] Καὶ ἔλαβεν τὴν αἰθάλην τῆς καμιναίας ἐναντίον Φαραὼ, καὶ ἔπασεν αὐτὴν Μωυσῆς εἰς τὸν οὐρανόν· καὶ ἐγένετο ἕλκη, φλυκτίδες ἀναζέουσαι, ἔν τε τοῖς ἀνθρώποις, καὶ ἐν τοῖς τετράποσι.
[LXX | EL | OT | Exodus | Chapter 9 | Verse 11] Καὶ οὐκ ἠδύναντο οἱ φαρμακοὶ στῆναι ἐναντίον Μωυσῆ διὰ τὰ ἕλκη· ἐγένετο γὰρ τὰ ἕλκη ἐν τοῖς φαρμακοῖς, καὶ ἐν πάσῃ γῇ Αἰγύπτου.
[LXX | EL | OT | Exodus | Chapter 9 | Verse 12] Ἐσκλήρυνε δὲ Κύριος τὴν καρδίαν Φαραὼ, καὶ οὐκ εἰσήκουσεν αὐτῶν, καθὰ συνέταξε Κύριος.
[LXX | EL | OT | Exodus | Chapter 9 | Verse 13] Εἶπε δὲ Κύριος πρὸς Μωυσῆν, ὄρθρισον τὸ πρωῒ, καὶ στῆθι ἐναντίον Φαραὼ, καὶ ἐρεῖς πρὸς αὐτὸν, τάδε λέγει Κύριος ὁ Θεὸς τῶν Ἑβραίων, ἐξαπόστειλον τὸν λαόν μου, ἵνα λατρεύσωσί μοι.
