[LXX | EL | OT | Exodus | Chapter 26 | Verse 1] Καὶ τὴν σκηνὴν ποιήσεις, δέκα αὐλαίας ἐκ βύσσου κεκλωσμένης, καὶ ὑακίνθου, καὶ πορφύρας, καὶ κοκκίνου κεκλωσμένου χερουβὶμ· ἐργασίᾳ ὑφάντου ποιήσεις αὐτάς.
[LXX | EL | OT | Exodus | Chapter 26 | Verse 2] Μῆκος τῆς αὐλαίας τῆς μιᾶς ὀκτὼ καὶ εἴκοσι πήχεων, καὶ εὖρος τεσσάρων πήχεων ἡ αὐλαία ἡ μία ἔσται· μέτρον τὸ αὐτὸ ἔσται πάσαις ταῖς αὐλαίαις.
[LXX | EL | OT | Exodus | Chapter 26 | Verse 3] Πέντε δὲ αὐλαῖαι ἔσονται ἐξ ἀλλήλων ἐχόμεναι ἡ ἑτέρα ἐκ τῆς ἑτέρας· καὶ πέντε αὐλαῖαι ἔσονται συνεχόμεναι ἑτέρα τῇ ἑτέρᾳ.
[LXX | EL | OT | Exodus | Chapter 26 | Verse 4] Καὶ ποιήσεις αὐταῖς ἀγκύλας ὑακινθίνας ἐπὶ τοῦ χείλους τῆς αὐλαίας τῆς μιᾶς, ἐκ τοῦ ἑνὸς μέρους εἰς τὴν συμβολήν· καὶ οὕτω ποιήσεις ἐπὶ τοῦ χείλους τῆς αὐλαίας τῆς ἐξωτέρας πρὸς τῇ συμβολῇ τῇ δευτέρᾳ.
[LXX | EL | OT | Exodus | Chapter 26 | Verse 5] Πεντήκοντα ἀγκύλας ποιήσεις τῇ αὐλαίᾳ τῇ μιᾷ, καὶ πεντήκοντα ἀγκύλας ποιήσεις ἐκ τοῦ μέρους τῆς αὐλαίας κατὰ τὴν συμβολὴν τῆς δευτέρας, ἀντιπρόσωποι ἀντιπίπτουσαι ἀλλήλαις εἰς ἑκάστην.
[LXX | EL | OT | Exodus | Chapter 26 | Verse 6] Καὶ ποιήσεις κρίκους πεντήκοντα χρυσοῦς· καὶ συνάψεις τὰς αὐλαίας ἑτέραν τῇ ἑτέρα τοῖς κρίκοις· καὶ ἔσται ἡ σκηνὴ μία.
[LXX | EL | OT | Exodus | Chapter 26 | Verse 7] Καὶ ποιήσεις δέῤῥεις τριχίνας σκέπην ἐπὶ τῆς σκηνῆς, ἕνδεκα δέῤῥεις ποιήσεις αὐτάς.
[LXX | EL | OT | Exodus | Chapter 26 | Verse 8] Τὸ μῆκος τῆς δέῤῥεως τῆς μιᾶς, τριάκοντα πήχεων, καὶ τεσσάρων πήχεων τὸ εὖρος τῆς δέῤῥεως τῆς μιᾶς· τὸ αὐτὸ μέτρον ἔσται ταῖς ἕνδεκα δέῤῥεσι.
[LXX | EL | OT | Exodus | Chapter 26 | Verse 9] Καὶ συνάψεις τὰς πέντε δέῤῥεις ἐπὶ τὸ αὐτὸ, καὶ τὰς ἓξ δέῤῥεις ἐπὶ τὸ αὐτό· καὶ ἐπιδιπλώσεις τὴν δέῤῥιν τὴν ἕκτην κατὰ πρόσωπον τῆς σκηνῆς.
[LXX | EL | OT | Exodus | Chapter 26 | Verse 10] Καὶ ποιήσεις ἀγκύλας πεντήκοντα ἐπὶ τοῦ χείλους τῆς δέῤῥεως τῆς μιᾶς, τῆς ἀναμέσον κατὰ συμβολήν· καὶ πεντήκοντα ἀγκύλας ποιήσεις ἐπὶ τοῦ χείλους τῆς δέῤῥεως, τῆς συναπτούσης τῆς δευτέρας.
[LXX | EL | OT | Exodus | Chapter 26 | Verse 11] Καὶ ποιήσεις κρίκους χαλκοῦς πεντήκοντα· καὶ συνάψεις τοὺς κρίκους ἐκ τῶν ἀγκυλῶν, καὶ συνάψεις τὰς δέῤῥεις, καὶ ἔσται ἕν.
[LXX | EL | OT | Exodus | Chapter 26 | Verse 12] Καὶ ὑποθήσεις τὸ πλεονάζον ἐν ταῖς δέῤῥεσι τῆς σκηνῆς· τὸ ἥμισυ τῆς δέῤῥεως τὸ ὑπολελειμμένον ὑποκαλύψεις εἰς τὸ πλεονάζον τῶν δέῤῥεων τῆς σκηνῆς, ὑποκαλύψεις ὀπίσω τῆς σκηνῆς.
