[LXX | EL | OT | Exodus | Chapter 31 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Exodus | Chapter 31 | Verse 2] ἰδοὺ ἀνακέκλημαι ἐξ ὀνόματος τὸν Βεσελεὴλ τὸν τοῦ Οὐρείου τὸν Ὣρ, ἐκ τῆς φυλῆς Ἰούδα.
[LXX | EL | OT | Exodus | Chapter 31 | Verse 3] Καὶ ἐνέπλησα αὐτὸν πνεῦμα θεῖον σοφίας καὶ συνέσεως καὶ ἐπιστήμης, ἐν παντὶ ἔργῳ διανοεῖσθαι,
[LXX | EL | OT | Exodus | Chapter 31 | Verse 4] καὶ ἀρχιτεκτονῆσαι, ἐργάζεσθαι τὸ χρυσίον, καὶ τὸ ἀργύριον, καὶ τὸν χαλκὸν, καὶ τὴν ὑάκινθον, καὶ τὴν πορφύραν, καὶ τὸ κόκκινον τὸ νηστὸν,
[LXX | EL | OT | Exodus | Chapter 31 | Verse 5] καὶ τὰ λιθουργικὰ, καὶ εἰς τὰ ἔργα τὰ τεκτονικὰ τῶν ξύλων, ἐργάζεσθαι κατὰ πάντα τὰ ἔργα.
[LXX | EL | OT | Exodus | Chapter 31 | Verse 6] Καὶ ἐγὼ ἔδωκα αὐτὸν καὶ τὸν Ἐλιὰβ τὸν τοῦ Ἀχισαμὰχ ἐκ φυλῆς Δάν· καὶ παντὶ συνετῷ καρδίᾳ δέδωκα σύνεσιν·
[LXX | EL | OT | Exodus | Chapter 31 | Verse 7] καὶ πονήσουσι πάντα ὅσα συνέταξά σοι, τὴν σκηνὴν τοῦ μαρτυρίου, καὶ τὴν κιβωτὸν τῆς διαθήκης, καὶ τὸ ἱλαστήριον τὸ ἐπʼ αὐτῆς, καὶ τὴν διασκευὴν τῆς σκηνῆς,
[LXX | EL | OT | Exodus | Chapter 31 | Verse 8] καὶ τὰ θυσιαστήρια, καὶ τὴν τράπεζαν καὶ πάντα τὰ σκεύη αὐτῆς, καὶ τὴν λυχνίαν τὴν καθαρὰν καὶ πάντα τὰ σκεύη αὐτῆς
[LXX | EL | OT | Exodus | Chapter 31 | Verse 9] καὶ τὸν λουτῆρα καὶ τὴν βάσιν αὐτοῦ,
[LXX | EL | OT | Exodus | Chapter 31 | Verse 10] καὶ τὰς στολὰς τὰς λειτουργικὰς Ἀαρὼν, καὶ τὰς στολὰς τῶν υἱῶν αὐτοῦ ἱερατεύειν μοι,
[LXX | EL | OT | Exodus | Chapter 31 | Verse 11] καὶ τὸ ἔλαιον τῆς χρίσεως, καὶ τὸ θυμίαμα τῆς συνθέσεως τοῦ ἁγίου· κατὰ πάντα ὅσα ἐγὼ ἐνετειλάμην σοι, ποιήσουσι.
[LXX | EL | OT | Exodus | Chapter 31 | Verse 12] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Exodus | Chapter 31 | Verse 13] Καὶ σὺ σύνταξον τοῖς υἱοῖς Ἰσραὴλ, λέγων, Ὁρᾶτε, καὶ τὰ σάββατά μου φυλάξεσθε· σημεῖόν ἐστι παρʼ ἐμοὶ καὶ ἐν ὑμῖν εἰς τὰς γενεὰς ὑμῶν, ἵνα γνῶτε ὅτι ἐγὼ Κύριος ὁ ἁγιάξων ὑμᾶς.
[LXX | EL | OT | Exodus | Chapter 31 | Verse 14] καὶ φυλάξεσθε τὰ σάββατα, ὅτι ἅγιον τοῦτό ἐστι Κυρίῳ ὑμῖν· ὁ βεβηλῶν αὐτὸ, θανάτῳ θανατωθήσεται· πᾶς ὃς ποιήσει ἐν αὐτῷ ἔργον, ἐξολοθρευθήσεται ἡ ψυχὴ ἐκείνη ἐκ μέσου τοῦ λαοῦ αὐτοῦ.
[LXX | EL | OT | Exodus | Chapter 31 | Verse 15] ἓξ ἡμέρας ποιήσεις ἔργα, τῇ δὲ ἡμέρᾳ τῇ ἑβδόμῃ σάββατα, ἀνάπαυσις ἁγία τῷ κυρίῳ· πᾶς ὃς ποιήσει ἔργον τῇ ἡμέρᾳ τῇ ἑβδόμῃ θανατωθήσεται.
[LXX | EL | OT | Exodus | Chapter 31 | Verse 16] Καὶ φυλάξουσιν οἱ υἱοὶ Ἰσραὴλ τὰ σάββατα, ποιεῖν αὐτὰ εἰς τὰς γενεὰς αὐτῶν·
[LXX | EL | OT | Exodus | Chapter 31 | Verse 17] Διαθήκη αἰώνιος ἐν ἐμοὶ καὶ τοῖς υἱοῖς Ἰσραὴλ, σημεῖόν ἐστιν ἐν ἐμοὶ αἰώνιον· ὅτι ἓξ ἡμεραις ἐποίησε Κύριος τὸν οὐρανὸν καὶ τὴν γῆν, καὶ τῇ ἡμέρᾳ τῇ ἑβδόμῃ κατέπαυσε, καὶ ἐπαύσατο.
[LXX | EL | OT | Exodus | Chapter 31 | Verse 18] Καὶ ἔδωκε Μωυσῇ ἡνίκα κατέπαυσε λαλῶν αὐτῷ ἐν τῷ ὄρει τῷ Σινὰ, τὰς δύο πλάκας τοῦ μαρτυρίου, πλάκας λιθίνας γεγραμμένας τῷ δακτύλῳ τοῦ Θεοῦ.
