[LXX | EL | OT | Exodus | Chapter 37 | Verse 1] Καὶ ἐποίησαν τῇ σκηνῇ δέκα αὐλαίας·
[LXX | EL | OT | Exodus | Chapter 37 | Verse 2] ὀκτὼ καὶ εἴκοσι πήχεων μῆκος τῆς αὐλαίας τῆς μιᾶς· τὸ αὐτὸ ἦν πάσαις· καὶ τεσσάρων πήχεων τὸ εὖρος τῆς αὐλαίας τῆς μιᾶς.
[LXX | EL | OT | Exodus | Chapter 37 | Verse 3] καὶ ἐποίησαν τὸ καταπέτασμα ἐξ ὑακίνθου, καὶ πορφύρας, καὶ κοκκίνου νενησμένου, καὶ βύσσου κεκλωσμένης, ἔργον ὑφαντὸυ χερουβείμ·
[LXX | EL | OT | Exodus | Chapter 37 | Verse 4] καὶ ἐπέθηκαν αὐτὸ ἐπὶ τέσσαρας στύλους ἀσήπτους κατακεχρυσωμένους ἐν χρυσίῳ· καὶ αἱ κεφαλίδες αὐτῶν χρυσαῖ, καὶ αἱ βάσεις αὐτῶν τέσσαρες ἀργυραῖ.
[LXX | EL | OT | Exodus | Chapter 37 | Verse 5] καὶ ἐποίησαν τὸ καταπέτασμα τῆς θύρας τῆς σκηνῆς τοῦ μαρτυρίου ἐξ ὑακίνθου, καὶ πορφύρας, καὶ κοκκίνου νενησμένου, καὶ βύσσου κεκλωσμένης, ἔργον ὑφαντὸντοῦ χερουβείμ·
[LXX | EL | OT | Exodus | Chapter 37 | Verse 6] καὶ τοὺς στύλους αὐτῶν πέντε, καὶ τοὺς κρίκους· καὶ τὰς κεφαλίδας αὐτῶν, καὶ τὰς ψαλίδας αὐτῶν κατεχρύσωσαν χρυσίῳ· καὶ αἱ βάσεις αὐτῶν πέντε χαλκαῖ.
[LXX | EL | OT | Exodus | Chapter 37 | Verse 7] Καὶ ἐποίησαν τὴν αὐλῆν τὰ πρὸς Λίβα, ἱστία τῆς αὐλῆς ἐκ βύσσου κεκλωσμένης ἑκατὸν ἐφʼ ἑκατόν·
[LXX | EL | OT | Exodus | Chapter 37 | Verse 8] καὶ οἱ στύλοι αὐτῶν εἴκοσι, καὶ αἱ βάσεις αὐτῶν εἴκοσι.
[LXX | EL | OT | Exodus | Chapter 37 | Verse 9] καὶ τὸ κλίτος τὸ πρὸς Βοῤῥᾶν, ἑκατὸν ἐφʼ ἑκατόν· καὶ τὸ κλίτος τὸ πρὸς Νότον, ἑκατὸν ἐφʼ ἑκατόν· καὶ οἱ στύλοι αὐτῶν εἴκοσι, καὶ αἱ βάσεις αὐτῶν εἴκοσι·
[LXX | EL | OT | Exodus | Chapter 37 | Verse 10] Καὶ τὸ κλίτος τὸ πρὸς θάλασσαν αὐλαῖαι πεντήκοντα πήχεων· στύλοι αὐτῶν δέκα, καὶ αἱ βάσεις αὐτῶν δέκα·
[LXX | EL | OT | Exodus | Chapter 37 | Verse 11] Καὶ τὸ κλίτος τὸ πρὸς ἀνατολὰς πεντήκοντα πήχεων ἱστία, πεντεαίδεκα πήχεων τὸ κατὰ νώτου·
