[LXX | EL | OT | Exodus | Chapter 29 | Verse 1] Καὶ ταῦτά ἐστιν, ἃ ποιήσεις αὐτοῖς· ἁγιάσεις αὐτοὺς, ὥστε ἱερατεύειν μοι αὐτούς· λήψῃ δὲ μοσχάριον ἐκ βοῶν ἓν, καὶ κριοὺς ἀμώμους δύο,
[LXX | EL | OT | Exodus | Chapter 29 | Verse 2] καὶ ἄρτους ἀζύμους πεφυραμένους ἑν ἐλαίῳ, καὶ λάγανα ἄζυμα κεχρισμένα ἐν ἐλαίῳ· σεμίδαλιν ἐκ πυρῶν ποιήσεις αὐτά.
[LXX | EL | OT | Exodus | Chapter 29 | Verse 3] Καὶ ἐπιθήσεις αὐτὰ ἐπὶ κανοῦν ἕν· καὶ προσοίσεις αὐτὰ ἐπὶ τῷ κανῷ· καὶ τὸ μοσχάριον, καὶ τοὺς δύο κριούς.
[LXX | EL | OT | Exodus | Chapter 29 | Verse 4] Καὶ Ἀαρὼν καὶ τοὺς υἱοὺς αὐτοῦ προσάξεις ἐπὶ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου, καὶ λούσεις αὐτοὺς ἐν ὕδατι.
[LXX | EL | OT | Exodus | Chapter 29 | Verse 5] Καὶ λαβὼν τὰς στολὰς, ἐνδύσεις Ἀαρὼν τὸν ἀδελφόν σου καὶ τὸν χιτῶνα τὸν ποδήρη, καὶ τὴν ἐπωμίδα, καὶ τὸ λογεῖον· καὶ συνάψεις αὐτῷ τὸ λογεῖον πρὸς τὴν ἐπωμίδα.
[LXX | EL | OT | Exodus | Chapter 29 | Verse 6] Καὶ ἐπιθήσεις τὴν μίτραν ἐπὶ τὴν κεφαλὴν αὐτοῦ, καὶ ἐπιθήσεις τὸ πέταλον τὸ ἁγίασμα ἐπὶ τὴν μίτραν.
[LXX | EL | OT | Exodus | Chapter 29 | Verse 7] Καὶ λήψῃ τοῦ ἐλαίου τοῦ χρίσματος· καὶ ἐπιχεεῖς αὐτὸ ἐπὶ τὴν κεφαλὴν αὐτοῦ, καὶ χρίσεις αὐτόν.
[LXX | EL | OT | Exodus | Chapter 29 | Verse 8] Καὶ τοὺς υἱοὺς αὐτοῦ προσάξεις, καὶ ἐνδύσεις αὐτοὺς χιτῶνας.
[LXX | EL | OT | Exodus | Chapter 29 | Verse 9] Καὶ ζώσεις αὐτοὺς ταῖς ζωναῖς, καὶ περιθήσεις αὐτοῖς τὰς κιδάρεις· καὶ ἔσται αὐτοῖς ἱερατῖα μοι εἰς τὸν αἰῶνα· καὶ τελειώσεις Ἀαρὼν τὰς χεῖρας αὐτοῦ, καὶ τὰς χεῖρας τῶν υἱῶν αὐτοῦ.
[LXX | EL | OT | Exodus | Chapter 29 | Verse 10] Καὶ προσάξεις τὸν μόσχον ἐπὶ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου· καὶ ἐπιθήσουσιν Ἀαρὼν καὶ οἱ υἱοὶ αὐτοῦ τὰς χεῖρας αὐτῶν ἐπὶ τὴν κεφαλὴν τοῦ μόσχου, ἔναντι Κυρίου, παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου.
[LXX | EL | OT | Exodus | Chapter 29 | Verse 11] Καὶ σφάξεις τὸν μόσχον ἔναντι Κυρίου, παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου.
