[LXX | EL | OT | Exodus | Chapter 40 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Exodus | Chapter 40 | Verse 2] ἐν ἡμέρᾳ μιᾷ τοῦ μηνὸς τοῦ πρώτου νουμηνίᾳ, στήσεις τὴν σκηνὴν τοῦ μαρτυρίου.
[LXX | EL | OT | Exodus | Chapter 40 | Verse 3] Καὶ θήσεις τὴν κιβωτὸν τοῦ μαρτυρίου, καὶ σκεπάσεις τὴν κιβωτὸν τῷ καταπετάσματι.
[LXX | EL | OT | Exodus | Chapter 40 | Verse 4] Καὶ εἰσοίσεις τὴν τράπεζαν, καὶ προθήσεις τὴν πρόθεσιν αὐτῆς· καὶ εἰσοίσεις τὴν λυχνίαν, καὶ ἐπιθήσεις τοὺς λύχνους αὐτῆς.
[LXX | EL | OT | Exodus | Chapter 40 | Verse 5] Καὶ θήσεις τὸ θυσιαστήριον τὸ χρυσοῦν, εἰς τὸ θυμιᾷν ἐναντίον τῆς κιβωτοῦ· καὶ ἐπιθήσεις κάλυμμα καταπετάσματος ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου.
[LXX | EL | OT | Exodus | Chapter 40 | Verse 6] Καὶ τὸ θυσιαστήριον τῶν καρπωμάτων θήσεις παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου·
[LXX | EL | OT | Exodus | Chapter 40 | Verse 8] καὶ περιθήσεις τὴν σκηνήν, καὶ πάντα τὰ αὐτῆς ἁγιάσεις κύκλῳ.
[LXX | EL | OT | Exodus | Chapter 40 | Verse 9] Καὶ λήψῃ τὸ ἔλαιον τοῦ χρίσματος, καὶ χρίσεις τὴν σκηνὴν, καὶ πάντα τὰ ἐν αὐτῇ, καὶ ἁγιάσεις αὐτὴν, καὶ πάντα τὰ σκεύη αὐτῆς, καὶ ἔσται ἁγία.
[LXX | EL | OT | Exodus | Chapter 40 | Verse 10] Καὶ χρίσεις τὸ θυσιαστήριον τῶν καρπωμάτων, καὶ πάντα τὰ σκεύη αὐτοῦ· καὶ ἁγιάσεις τὸ θυσιαστήριον, καὶ ἔσται τὸ θυσιαστήριον ἅγιον τῶν ἁγίων.
[LXX | EL | OT | Exodus | Chapter 40 | Verse 12] Καὶ προσάξεις Ἀαρὼν καὶ τοὺς υἱοὺς αὐτοῦ ἐπὶ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου, καὶ λούσεις αὐτοὺς ὕδατι.
[LXX | EL | OT | Exodus | Chapter 40 | Verse 13] Καὶ ἐνδύσεις Ἀαρὼν τὰς στολὰς τὰς ἁγίας, καὶ χρίσεις αὐτὸν, καὶ ἁγιάσεις αὐτὸν, καὶ ἱερατεύει μοι.
[LXX | EL | OT | Exodus | Chapter 40 | Verse 14] Καὶ τοὺς υἱοὺς αὐτοῦ προσάξεις, καὶ ἐνδύσεις αὐτοὺς χιτῶνας.
