[LXX | EL | OT | Exodus | Chapter 28 | Verse 1] Καὶ σὺ προσαγάγου πρὸς σεαυτὸν τόν τε Ἀαρὼν τὸν ἀδελφόν σου, καὶ τοὺς υἱοὺς αὐτοῦ, καὶ ἐκ τῶν υἱῶν Ἰσραὴλ, ἱερατεύειν μοι Ἀαρὼν, καὶ Ναδὰβ, καὶ Ἀβιοὺδ, καὶ Ἐλεάζαρ, καὶ Ἰθάμαρ, υἱοὺς Ἀαρών.
[LXX | EL | OT | Exodus | Chapter 28 | Verse 2] Καὶ ποιήσεις στολὴν ἁγίαν Ἀαρὼν τῷ ἀδελφῷ σου εἰς τιμὴν καὶ δόξαν.
[LXX | EL | OT | Exodus | Chapter 28 | Verse 3] Καὶ σύ λάλησον πᾶσι τοῖς σοφοῖς τῇ διανοίᾳ, οὓς ἐνέπλησα πνεύματος σοφίας καὶ αἰσθήσεως· καὶ ποιήσουσι τὴν στολὴν τὴν ἁγίαν Ἀαρὼν εἰς τὸ ἅγιον, ἐν ᾗ ἱερατεύσει μοι.
[LXX | EL | OT | Exodus | Chapter 28 | Verse 4] Καὶ αὗται αἱ στολαὶ, ἃς ποιησουσι· τὸ περιστήθιον, καὶ τὴν ἐπωμίδα, καὶ τὸν ποδήρη, καὶ χιτῶνα κοσυμβωτὸν, καὶ κίδαριν, καὶ ζώνην· καὶ ποιήσουσι στολὰς ἁγίας Ἀαρὼν καὶ τοῖς υἱοῖς αὐτοῦ εἰς τὸ ἱερατεύειν μοι.
[LXX | EL | OT | Exodus | Chapter 28 | Verse 5] Καὶ αὐτοὶ λήψονται τὸ χρυσίον, καὶ τὸν ὑάκινθον, καὶ τὴν πορφύραν, καὶ τὸ κόκκινον, καὶ τὴν βύσσον.
[LXX | EL | OT | Exodus | Chapter 28 | Verse 6] Καὶ ποιήσουσι τὴν ἐπωμίδα ἐκ βύσσου κεκλωσμένης, ἔργον ὑφαντὸν ποικιλτοῦ.
[LXX | EL | OT | Exodus | Chapter 28 | Verse 7] Δύο ἐπωμίδες συνέχουσαι ἔσονται αὐτῷ ἑτέρα τὴν ἑτέραν, ἐπὶ τοῖς δυσὶ μέρεσιν ἐξηρτισμέναι.
[LXX | EL | OT | Exodus | Chapter 28 | Verse 8] Καὶ τὸ ὕφασμα τῶν ἐπωμίδων ὅ ἐστιν ἐπʼ αὐτῷ, κατὰ τὴν ποίησιν ἐξ αὐτοῦ ἔσται ἐκ χρυσίου καθαροῦ, καὶ ὑακίνθου, καὶ πορφύρας, καὶ κοκκίνου διανενησμένου, καὶ βύσσου κεκλωσμένης.
[LXX | EL | OT | Exodus | Chapter 28 | Verse 9] Καὶ λήψῃ τοὺς δύο λίθους, λίθους σμαράγδου, καὶ γλύψεις ἐν αὐτοῖς τὰ ὀνόματα τῶν υἱῶν Ἰσραήλ.
[LXX | EL | OT | Exodus | Chapter 28 | Verse 10] Ἓξ ὀνόματα ἐπὶ τὸν λίθον τὸν ἕνα, καὶ τὰ ἓξ ὀνόματα τὰ λοιπὰ ἐπὶ τὸν λίθον τὸν δεύτερον κατὰ τὰς γενέσεις αὐτῶν.
[LXX | EL | OT | Exodus | Chapter 28 | Verse 11] Ἔργον λιθουργικῆς τέχνης· γλύμμα σφραγίδος διαγλύψεις τοὺς δύο λίθους ἐπὶ τοῖς ὀνόμασι τῶς υἱῶν Ἰσρσήλ.
