[LXX | EL | OT | Exodus | Chapter 38 | Verse 1] Καὶ ἐποίησε Βεσελεὴλ τὴν κιβωτόν,
[LXX | EL | OT | Exodus | Chapter 38 | Verse 2] καὶ κατεχρύσωσεν αὐτὴν χρωσίῳ καθαρῷ ἔσωθεν καὶ ἔξωθεν·
[LXX | EL | OT | Exodus | Chapter 38 | Verse 3] καὶ ἐχώνευσεν αὐτῇ τέσσαρας δακτυλίους χρυσοῦς· δύο ἐπὶ τὸ κλίτος τὸ ἓν, καὶ δύο ἐπὶ τὸ κλίτος τὸ δεύτερον,
[LXX | EL | OT | Exodus | Chapter 38 | Verse 4] εὐρεῖς τοῖς διωστῆρσιν, ὥστε αἴρειν αὐτὴν ἐν αὐτοῖς.
[LXX | EL | OT | Exodus | Chapter 38 | Verse 5] Καὶ ἐποίησε τὸ ἱλαστήριον ἐπάνωθεν τῆς κιβωτοῦ ἐκ χρυσίου καθαροῦ,
[LXX | EL | OT | Exodus | Chapter 38 | Verse 6] καὶ τοὺς δύο χερουβεὶμ χρυσοῦς·
[LXX | EL | OT | Exodus | Chapter 38 | Verse 7] χεροὺβ ἕνα ἐπὶ τὸ ἄκρον τοῦ ἱλαστηρίου τὸ ἓν, καὶ χεροὺβ ἕνα ἐπὶ τὸ ἄκρον τοῦ ἱλαστηρίου τὸ δεύτερον,
[LXX | EL | OT | Exodus | Chapter 38 | Verse 8] σκιάζοντα ταῖς πτέρυξιν αὐτῶν ἐπὶ τὸ ἱλαστήριον.
[LXX | EL | OT | Exodus | Chapter 38 | Verse 9] Καὶ ἐποίησε τὴν τράπεζαν τὴν προκειμένην ἐκ χρυσίου καθαροῦ,
[LXX | EL | OT | Exodus | Chapter 38 | Verse 10] καὶ ἐχώνευσεν αὐτῇ τέσσαρας δακτυλίους, δύο ἐπὶ τοῦ κλίτους τοῦ ἑνὸς, καὶ δύο ἐπὶ τοῦ κλίτους τοῦ δευτέρου, εὐρεῖς, ὥστε αἴρειν τοῖς διωστῆρσιν ἐν αὐτοῖς.
[LXX | EL | OT | Exodus | Chapter 38 | Verse 11] Καὶ τοὺς διωστῆρας τῆς κιβωτοῦ καὶ τῆς τραπέζης ἐποίησε, καὶ κατεχρύσωσεν αὐτοὺς χρυσίῳ.
[LXX | EL | OT | Exodus | Chapter 38 | Verse 12] Καὶ ἐποίησε τὰ σκεύη τῆς τραπέζης, τά τε τρυβλία, καὶ τὰς θυίσκας, καὶ τοὺς κυάθους, καὶ τὰ σπονδεῖα, ἐν οἷς σπείσει ἐν αὐτοῖς, χρυσᾶ.
[LXX | EL | OT | Exodus | Chapter 38 | Verse 13] Καὶ ἐποίησε τὴν λυχνίαν ἣ φωτίζει, χρυσῆν,
[LXX | EL | OT | Exodus | Chapter 38 | Verse 14] στερεὰν τὸν καυλόν, καὶ τοὺς καλαμίσκους ἐξ ἀμφοτέρων τῶν μερῶν αὐτῆς·
[LXX | EL | OT | Exodus | Chapter 38 | Verse 15] ἐκ τῶν καλαμίσκων αὐτῆς οἱ βλαστοὶ ἐκ τῶν καλαμίσκων αὐτῆς οἱ βλαστοὶ ἐξέχοντες· τρεῖς ἐκ τούτου, καὶ τρεῖς ἐκ τούτου, ἐξισούμενοι ἀλλήλοις.
[LXX | EL | OT | Exodus | Chapter 38 | Verse 16] Καὶ τὰ λαμπάδια αὐτῶν, ἅ ἐστιν ἐπὶ τῶν ἄκρων, καρυωτὰ ἐξ αὐτῶν· καὶ τὰ ἐνθέμια ἐξ αὐτῶν, ἵνα ὦσιν οἱ λύχνοι ἐπʼ αὐτῶν· καὶ τὸ ἐνθέμιον τὸ ἕβδομον, τὸ ἐπʼ ἄκρου τοῦ λαμπαδίου, ἐπὶ τῆς κορυφῆς ἄνωθεν, στερεὸν ὅλον χρυσοῦν·
[LXX | EL | OT | Exodus | Chapter 38 | Verse 17] Καὶ ἑπτὰ λύχνους ἐπʼ αὐτῆς χρυσοῦς, καὶ τὰς λαβίδας αὐτῆς χρυσᾶς, καὶ τὰς ἐπαρυστρίδας αὐτῶν χρυσᾶς.
[LXX | EL | OT | Exodus | Chapter 38 | Verse 18] Οὗτος περιηργύρωσε τοὺς στύλους, καὶ ἐχώνευσε τῷ στύλῳ δακτυλίους χρυσοῦς, καὶ ἐχρύσωσε τοὺς μοχλοὺς χρυσίῳ, καὶ κατεχρύσωσε τοὺς στύλους τοῦ καταπετάσματος χρυσίῳ, καὶ ἐποίησε τὰς ἀγκύλας χρυσᾶς.
[LXX | EL | OT | Exodus | Chapter 38 | Verse 19] Οὗτος ἐποίησε καὶ τοὺς κρίκους τῆς σκηνῆς χρυσοῦς, καὶ τοὺς κρίκους τῆς αὐλῆς, καὶ κρίκους εἰς τὸ ἐκτείνειν τὸ κατακάλυμμα ἄνωθεν χαλκοῦς·
[LXX | EL | OT | Exodus | Chapter 38 | Verse 20] Οὗτος ἐχώνευσε τὰς κεφαλίδας τὰς ἀργυρᾶς τῆς σκηνῆς, καὶ τὰς κεφαλίδας τὰς χαλκᾶς τῆς θύρας τῆς σκηνῆς, καὶ τὴν πύλην τῆς αὐλῆς· καὶ ἀγκύλας ἐποίησε τοῖς στύλοις ἀργυρᾶς, ἐπὶ τῶν στύλων οὗτος περιηργύρωσεν αὐτάς·
[LXX | EL | OT | Exodus | Chapter 38 | Verse 21] Οὗτος ἐποίησε τοὺς πασσάλους τῆς σκηνῆς, καὶ τοὺς πασσάλους τῆς αὐλῆς χαλκοῦς·
[LXX | EL | OT | Exodus | Chapter 38 | Verse 22] Οὗτος ἐποίησε τὸ θυσιαστήριον τὸ χαλκοῦν ἐκ τῶν πυρείων τῶν χαλκῶν, ἃ ἦσαν τοῖς ἀνδράσιν τοῖς καταστασιάσασι μετὰ τῆς Κορὲ συναγωγῆς·
[LXX | EL | OT | Exodus | Chapter 38 | Verse 23] Οὗτος ἐποίησε πάντα τὰ σκεύη τοῦ θυσιαστηρίου, καὶ τὸ πυρεῖον αὐτοῦ, καὶ τὴν βάσιν, καὶ τὰς φιάλας, καὶ τὰς κρεάγρας τὰς χαλκᾶς·
[LXX | EL | OT | Exodus | Chapter 38 | Verse 24] Οὗτος ἐποίησε θυσιαστηρίῳ παράθεμα, ἔργον δικτυωτὸν κάτωθεν τοῦ πυρείου ὑπὸ αὐτὸ ἕως τοῦ ἡμίσους αὐτοῦ· καὶ ἐπέθηκεν αὐτῷ τέσσαρας δακτυλίους ἐκ τῶν τεσσάρων μερῶν τοῦ παραθέματος τοῦ θυσιαστηρίου χαλκοῦς, εὐρεῖς τοῖς μοχλοῖς, ὥστε αἴρειν ἐν αὐτοῖς τὸ θυσιαστήριον·
[LXX | EL | OT | Exodus | Chapter 38 | Verse 25] Οὗτος ἐποίησε τὸ ἔλαιον τῆς χρίσεως τὸ ἅγιον, καὶ τὴν σύνθεσιν τοῦ θυμιάματος καθαρὸν ἔργον μυρεψοῦ·
[LXX | EL | OT | Exodus | Chapter 38 | Verse 26] Οὗτος ἐποίησε τὸν λουτῆρα τὸν χαλκοῦν, καὶ τὴν βάσιν αὐτοῦ χαλκῆν ἐκ τῶν κατόπτρων τῶν νηστευσασῶν, αἳ ἐνήστευσαν παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου, ἐν ᾗ ἡμέρᾳ ἔπηξεν αὐτήν.
[LXX | EL | OT | Exodus | Chapter 38 | Verse 27] Καὶ ἐποίησε τὸν λουτῆρα, ἵνα νίπτωνται ἐξ αὐτοῦ Μωυσῆς καὶ Ἀαρὼν καὶ οἱ υἱοὶ αὐτοῦ τὰς χεῖρας αὐτῶν καὶ τοὺς πόδας, εἰσπορευομένων αὐτῶν εἰς τὴν σκηνὴν τοῦ μαρτυρίου, ἢ ὅταν προσπορεύωνται πρὸς τὸ θυσιαστήριον λειτουργεῖν, ἐνίπτοντο ἐξ αὐτοῦ, καθάπερ συνέταξε Κύριος τῷ Μωυσῇ.
