[LXX | EL | OT | Exodus | Chapter 30 | Verse 1] Καὶ ποιήσεις θυσιαστήριον θυμιάματος ἐκ ξύλων ἀσήπτων.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 2] Καὶ ποιήσεις αὐτὸ πήχεος τὸ μῆκος, καὶ πήχεος τὸ εὖρος· τετράγωνον ἔσται· καὶ δύο πήχεων τὸ ὕψος· ἐξ αὐτοῦ ἔσται τὰ κέρατα αὐτοῦ.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 3] Καὶ καταχρυσώσεις χρυσίῳ καθαρῷ τὴν ἐσχάραν αὐτοῦ, καὶ τοὺς τοίχους αὐτοῦ κύκλῳ, καὶ τὰ κέρατα αὐτοῦ· καὶ ποιήσεις αὐτῷ στρεπτὴν στεφάνην χρυσῆν κύκλῳ.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 4] Καὶ δύο δακτυλίους χρυσοῦς καθαροὺς ποιήσεις ὑπὸ τὴν στρεπτὴν στεφάνην αὐτοῦ, εἰς τὰ δύο κλίτη ποιήσεις ἐν τοῖς δυσὶ πλευροῖς· καὶ ἔσονται ψαλίδες ταῖς σκυτάλαις, ὥστε αἴρειν αὐτὸ ἐν αὐταῖς.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 5] Καὶ ποιήσεις σκυτάλας ἐκ ξύλων ἀσήπτων, καὶ καταχρυσώσεις αὐτὰς χρυσίῳ.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 6] Καὶ θήσεις αὐτὸ ἀπέναντι τοῦ καταπετάσματος, τοῦ ὄντος ἐπὶ τῆς κιβωτοῦ τῶν μαρτυρίων, ἐν οἷς γνωσθήσομαί σοι ἐκεῖθεν.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 7] Καὶ θυμιάσει ἐπʼ αὐτοῦ Ἀαρὼν θυμίαμα σύνθετον λεπτὸν τὸ πρωῒ πρωΐ· ὅταν ἐπισκευάζῃ τοὺς λύχνους, θυμιάσει ἐπʼ αὐτοῦ.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 8] Καὶ ὅταν ἐξάπτῃ Ἀαρὼν τοὺς λύχνους ὀψὲ, θυμιάσει ἐπʼ αὐτοῦ. θυμίαμα ἐνδελεχισμοῦ διαπαντὸς ἔναντι Κυρίου εἰς γενεὰς αὐτῶν.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 9] Καὶ οὐκ ἀνοίσει ἐπʼ αὐτοῦ θυμίαμα ἕτερον· κάρπωμα, θυσίαν, και σπονδὴν οὐ σπείσεις ἐπʼ αὐτοῦ.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 10] Καὶ ἐξιλάσεται ἐπʼ αὐτοῦ Ἀαρὼν ἐπὶ τῶν κεράτων αὐτοῦ ἅπαξ τοῦ ἐνιαυτοῦ· ἀπὸ τοῦ αἵματος τοῦ καθαρισμοῦ καθαριεῖ αὐτὸ εἰς γενεὰς αὐτῶν· ἅγιον τῶν ἁγίων ἐστὶ Κυρίῳ.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 11] Καὶ ἑλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Exodus | Chapter 30 | Verse 12] ἐὰν λάβῃς τὸν συλλογισμὸν τῶν υἱῶν Ἰσραὴλ ἐν τῇ ἐπισκοπῇ αὐτῶν, καὶ δώσουσιν ἕκαστος λύτρα τῆς ψυχῆς αὐτοῦ Κυρίῳ, καὶ οὐκ ἔσται ἐν αὐτοῖς πτῶσις ἐν τῇ ἐπισκοπῇ αὐτῶν.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 13] Καὶ τοῦτό ἐστιν ὅ δώσουσιν ὅσοι ἂν παραπορεύωνται τὴν ἐπίσκεψιν· τὸ ἥμισυ τοῦ διδράχμου ὅ ἐστιν κατὰ τὸ δίδραχμον τὸ ἅγιον, εἴκοσι ὀβολοὶ τὸ δίδραχμον, τὸ δὲ ἥμισυ τοῦ διδράχμου εἰσφορὰ Κυρίῳ.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 14] Πᾶς ὁ παραπορευόμενος εἰς τὴν ἐπίσκεψιν ἀπὸ εἰκοσαετοῦς καὶ ἐπάνω, δώσουσι τὴν εἰσφορὰν Κυρίῳ.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 15] Ὁ πλουτῶν οὐ προσθήσει, καὶ ὁ πενόμενος οὐκ ἐλαττονήσει ἀπὸ τοῦ ἡμίσεως τοῦ διδράχμου ἐν τῷ διδόναι τὴν εἰσφορὰν Κυρίῳ, ἐξιλάσασθαι περὶ τῶν ψυχῶν ὑμῶν.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 16] Καὶ λήψῃ τὸ ἀργύριον τῆς εἰσφορᾶς παρὰ τῶν υἱῶν Ἰσραήλ, καὶ δώσεις αὐτὸ εἰς τὸ κάτεργον τῆς σκηνῆς τοῦ μαρτυρίου· καὶ ἔσται τοῖς υἱοῖς Ἰσραὴλ μνημόσυνον ἔναντι Κυρίου, ἐξιλάσασθαι περὶ τῶν ψυχῶν ὑμῶν.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 17] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Exodus | Chapter 30 | Verse 18] ποίησον λουτῆρα χαλκοῦν, καὶ βάσιν αὐτῷ χαλκῆν, ὥστε νίπτεσθαι· καὶ θήσεις αὐτὸν ἀνὰ μέσον τῆς σκηνῆς τοῦ μαρτυρίου καὶ ἀνὰ μέσον τοῦ θυσιαστηρίου· καὶ ἐκχεεῖς εἰς αὐτὸν ὕδωρ.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 19] Καὶ νίψεται Ἀαρὼν καὶ οἱ υἱοὶ αὐτοῦ ἑξ αὐτοῦ τὰς χεῖρας, καὶ τοὺς πόδας ὕδατι.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 20] Ὅταν εἰσπορεύωνται εἰς τὴν σκηνὴν τοῦ μαρτυρίου, νίψονται ὕδατι, καὶ οὐ μὴ ἀποθάνωσιν, ὅταν προσπορεύωνται πρὸς τὸ θυσιαστήριον λειτουργεῖν καὶ ἀναφέρειν τὰ ὁλοκαυτώματα Κυρίῳ.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 21] Νίψονται τὰς χεῖρας καὶ τοὺς πόδας ὕδατι, ὅταν εἰσπορεύωνται εἰς τὴν σκηνὴν τοῦ μαρτυρίου, νίψονται ὕδατι, ἵνα μὴ ἀποθάνωσι· καὶ ἔσται αὐτοῖς νόμιμον αἰώνιον, αὐτῷ καὶ ταῖς γενεαῖς αὐτοῦ μετʼ αὐτόν.
