[LXX | EL | OT | Exodus | Chapter 15 | Verse 1] Τότε ᾖσε Μωυσῆς καὶ οἱ υἱοὶ Ἰσραὴλ τὴν ᾠδὴν ταύτην τῷ Θεῷ, καὶ εἶπαν, λέγοντες, ᾄσωμεν τῷ Κυρίῳ, ἐνδόξως γὰρ δεδόξασται· ἵππον καὶ ἀναβάτην ἔῤῥιψεν εἰς θάλασσαν.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 2] Βοηθὸς καὶ σκεπαστὴς ἐγένετό μοι εἰς σωτηρίαν· οὗτός μου Θεὸς, καὶ δοξάσω αὐτόν· Θεὸς τοῦ πατρός μου, καὶ ὑψώσω αὐτόν.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 3] Κύριος συντρίβων πολέμους, Κύριος ὄνομα αὐτῷ.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 4] Ἅρματα Φαραὼ, καὶ τὴν δύναμιν αὐτοῦ, ἔῤῥιψεν εἰς θάλασσαν, ἐπιλέκτους ἀναβάτας τριστάτας· κατεπόθησαν ἐν ἐρυθρᾷ θαλάσσῃ·
[LXX | EL | OT | Exodus | Chapter 15 | Verse 5] Πόντῳ ἐκάλυψεν αὐτούς· κατέδυσαν εἰς βυθὸν ὡσεὶ λίθος.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 6] Ἡ δεξιά σου, Κύριε, δεδόξασται ἐν ἰσχύϊ· ἡ δεξιά σου χεὶρ, Κύριε, ἔθραυσεν ἐχθρούς.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 7] Καὶ τῷ πλήθει τῆς δόξης σου συνέτριψας τοὺς ὑπεναντίους· ἀπέστειλας τὴν ὀργήν σου κατέφαγεν αὐτοὺς ὡς καλάμην.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 8] Καὶ διὰ πνεύματος τοῦ θυμοῦ σου διέστη τὸ ὕδωρ· ἐπάγη ὡσεὶ τεῖχος τὰ ὕδατα· ἐπάγη τὰ κύματα ἐν μέσῳ τῆς θαλάσσης.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 9] Εἶπεν ὁ ἐχθρὸς, διώξας καταλήψομαι, μεριῶ σκῦλα· ἐμπλήσω ψυχήν μου, ἀνελῶ τῇ μαχαίρῃ μου, κυριεύσει ἡ χείρ μου.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 10] Ἀπέστειλας τὸ πνεῦμά σου· ἐκάλυψεν αὐτοὺς θάλασσα· ἔδυσαν ὡσεὶ μόλιβος ἐν ὕδατι σφοδρῷ.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 11] Τίς ὅμοιός σοι ἐν θεοῖς, Κύριε; τίς ὅμοιός σοι; δεδοξασμένος ἐν ἁγίοις, θαυμαστὸς ἐν δόξαις, ποιῶν τέρατα.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 12] Ἐξέτεινας τὴν δεξιάν σου· κατέπιεν αὐτοὺς γῆ.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 13] Ὡδήγησας τῇ δικαιοσύνῃ σου τὸν λαόν σου τοῦτον, ὃν ἐλυτρώσω· παρεκάλεσας τῇ ἰσχύϊ σου εἰς κατάλυμα ἅγιόν σου.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 14] Ἤκουσαν ἔθνη, καὶ ὠργίσθησαν· ὠδῖνες ἔλαβον κατοικοῦντας Φυλιστιείμ.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 15] Τότε ἔσπευσαν ἡγεμόνες Ἐδὼμ, καὶ ἄρχοντες Μωαβιτῶν· ἔλαβεν αὐτοὺς τρόμος· ἐτάκησαν πάντες οἱ κατοικοῦντες Χαναάν.
[LXX | EL | OT | Exodus | Chapter 15 | Verse 16] Ἐπιπέσοι ἐπʼ αὐτοὺς τρόμος καὶ φόβος· μεγέθει βραχίονός σου ἀπολιθωθήτωσαν, ἕως ἂν παρέλθῃ ὁ λαός σου, Κύριε· ἕως ἂν παρέλθῃ ὁ λαός σου οὗτος, ὃν ἐκτήσω.
