[LXX | EL | OT | Exodus | Chapter 4 | Verse 1] Ἀπεκρίθη δὲ Μωυσῆς, καὶ εἶπεν, ἐὰν μὴ πιστεύσωσί μοι, μηδὲ εἰσακούσωσι τῆς φωνῆς μου, ἐροῦσι γὰρ, ὅτι οὐκ ὦπταί σοι ὁ Θεὸς, τί ἐρῶ πρὸς αὐτούς;
[LXX | EL | OT | Exodus | Chapter 4 | Verse 2] Εἶπε δὲ αὐτῳ Κύριος, τί τοῦτό ἐστι τὸ ἐν τῇ χειρί σου; ὁ δὲ εἶπε, ῥάβδος.
[LXX | EL | OT | Exodus | Chapter 4 | Verse 3] Καὶ εἶπε, ῥίψον αὐτὴν ἐπὶ τὴν γῆν· καὶ ἔῤῥιψεν αὐτὴν ἐπὶ τὴν γῆν, καὶ ἐγένετο ὄφις· καὶ ἔφυγε Μωυσῆς ἀπʼ αὐτοῦ.
[LXX | EL | OT | Exodus | Chapter 4 | Verse 4] Καὶ εἶπε Κύριος πρὸς Μωυσῆν, ἔκτεινον τῆν χεῖρα, καὶ ἐπιλαβοῦ τῆς κέρκου· ἐκτείνας οὖν τὴν χεῖρα ἐπελάβετο τῆς κέρκου· καὶ ἐγένετο ῥάβδος ἐν τῇ χειρὶ αὐτοῦ.
[LXX | EL | OT | Exodus | Chapter 4 | Verse 5] Ἵνα πιστεύσωσί σοι, ὅτι ὦπταί σοι ὁ Θεὸς τῶν πατέρων αὐτῶν, Θεὸς Ἀβραὰμ, καὶ Θεὸς Ἰσαὰκ, καὶ Θεὸς Ἰακώβ.
[LXX | EL | OT | Exodus | Chapter 4 | Verse 6] Εἶπε δὲ αὐτῷ Κύριος πάλιν, εἰσένεγκον τὴν χεῖρά σου εἰς τὸν κόλπον σου· καὶ εἰσήνεγκε τὴν χεῖρα αὐτοῦ εἰς τὸν κόλπον αὐτοῦ· καὶ ἐξήνεγκεν τὴν χεῖρα αὐτοῦ ἐκ τοῦ κόλπου αὐτοῦ, καὶ ἐγενήθη ἡ χεὶρ αὐτοῦ ὡσεὶ χιών.
[LXX | EL | OT | Exodus | Chapter 4 | Verse 7] Καὶ εἶπεν πάλιν, εἰσένεγκον τὴν χεῖρά σου εἰς τὸν κόλπον σου· καὶ εἰσήνεγκε τὴν χεῖρα εἰς τὸν κόλπον αὐτοῦ· καὶ ἐξήνεγκεν αὐτὴν ἐκ τοῦ κόλπου αὐτοῦ, καὶ πάλιν ἀπεκατέστη εἰς τὴν χρόαν τῆς σαρκὸς αὐτῆς.
[LXX | EL | OT | Exodus | Chapter 4 | Verse 8] Ἐὰν δὲ μὴ πιστεύσωσί σοι, μηδὲ εἰσακούσωσι τῆς φωνῆς τοῦ σημείου τοῦ πρώτου, πιστεύσουσί σοι τῆς φωνῆς τοῦ σημείου τοῦ δετέρου.
[LXX | EL | OT | Exodus | Chapter 4 | Verse 9] Καὶ ἔσται ἐὰν μὴ πιστεύσωσί σοι τοῖς δυσὶ σημείοις τούτοις, μηδὲ εἰσακούσωσι τῆς φωνῆς σου, λήψῃ ἀπὸ τοῦ ὕδατος τοῦ ποταμοῦ, καὶ ἐκχεεῖς ἐπὶ τὸ ξηρόν· καὶ ἔσται τὸ ὕδωρ, ὃ ἐὰν λάβῃς ἀπὸ τοῦ ποταμοῦ, αἷμα ἐπὶ τοῦ ξηροῦ.
[LXX | EL | OT | Exodus | Chapter 4 | Verse 10] Εἶπε δὲ Μωυσῆς πρὸς Κύριον, δέομαι, Κύριε· οὐχ ἱκανός εἰμι πρὸ τῆς χθὲς οὐδὲ πρὸ τῆς τρίτης ἡμέρας, οὐδὲ ἀφʼ οὗ ἤρξω λαλεῖν τῷ θεράποντί σου· ἰσχνόφωνος καὶ βραδύγλωσσος ἐγώ εἰμι.
[LXX | EL | OT | Exodus | Chapter 4 | Verse 11] Εἶπε δὲ Κύριος πρὸς Μωυσῆν, τίς ἔδωκε στόμα ἀνθρώπῳ; καὶ τίς ἐποιήσε δύσκωφον καὶ κωφὸν, βλέποντα καὶ τυφλόν; οὐκ ἐγὼ ὁ Θεός;
