[LXX | EL | OT | Exodus | Chapter 35 | Verse 1] Καὶ συνήθροισε Μωυσῆς πᾶσαν συναγωγὴν υἱῶν Ἰσραὴλ, καὶ εἶπεν, οὗτοι οἱ λόγοι, οὓς εἶπε Κύριος ποιῆσαι αὐτούς.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 2] Ἓξ ἡμέρας ποιήσεις ἔργα, τῇ δὲ ἡμέρᾳ τῇ ἑβδόμῃ κατάπαυσις· ἅγια, σάββατα· ἀνάπαυσις Κυρίῳ· πᾶς ὁ ποιῶν ἔργον ἐν αὐτῇ, τελευτάτω.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 3] Οὐ καύσετε πῦρ ἐν πάσῃ κατοικίᾳ ὑμῶν τῇ ἡμέρᾳ τῶν σαββάτων· ἐγὼ Κύριος.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 4] Καὶ εἶπε Μωυσῆς πρὸς πᾶσαν συναγωγὴν υἱῶν Ἰσραὴλ, λέγων, τοῦτο τὸ ῥῆμα, ὃ συνέταξε Κύριος, λέγων,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 5] λάβετε παρʼ ὑμῶν αὐτῶν ἀφαίρεμα Κυρίῳ· πᾶς ὁ καταδεχόμενος τῇ καρδίᾳ, οἴσουσι τὰς ἀπαρχὰς Κυρίῳ, χρυσίον, ἀργύριον, χαλκὸν,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 6] ὑάκινθον, πορφύραν, κόκκινον διπλοῦν διανενησμένον, καὶ βύσσον κεκλωσμένην, καὶ τρίχας αἰγείας,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 7] καὶ δέρματα κριῶν ἠρυθροδανωμένα, καὶ δέρματα ὑακινθινα, καὶ ξύλα ἄσηπτα,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 9] καὶ λίθους σαρδίου, καὶ λίθους εἰς τὴν γλυφὴν εἰς τὴν ἐπωμίδα καὶ τὸν ποδήρη.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 10] Καὶ πᾶς σοφὸς τῇ καρδίᾳ ἐν ὑμῖν, ἐλθὼν ἐργαζέσθω πάντα ὅσα συνέταξε Κύριος·
[LXX | EL | OT | Exodus | Chapter 35 | Verse 11] Τὴν σκηνὴν, καὶ τὰ παραρύματα, καὶ τὰ κατακαλύμματα, καὶ τὰ διατόνια, καὶ τοὺς μοχλοὺς, καὶ τοὺς στύλους,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 12] καὶ τὴν κιβωτὸν τοῦ μαρτυρίου, καὶ τοὺς ἀναφορεῖς αὐτῆς, καὶ τὸ ἱλαστήριον αὐτῆς, καὶ τὸ καταπέτασμα, καὶ τὰ ἱστία τῆς αὐλῆς, καὶ τοὺς στύλους αὐτῆς, καὶ τοὺς λίθους τοὺς τῆς σμαράγδου, καὶ τὸ θυμίαμα, καὶ τὸ ἔλαιον τοῦ χρίσματος,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 13] καὶ τὴν τράπεζαν καὶ πάντα τὰ σκεύη αὐτῆς,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 14] καὶ τὴν λυχνίαν τοῦ φωτὸς καὶ πάντα τὰ σκεύη αὐτῆς,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 16] καὶ τὸ θυσιαστήριον καὶ πάντα τὰ σκεύη αὐτοῦ,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 19] καὶ τὰς στολὰς τὰς ἁγίας Ἀαρὼν τοῦ ἱερέως, καὶ τὰς στολὰς ἐν αἷς λειτουργήσουσιν ἐν αὐταῖς, καὶ τοὺς χιτῶνας τοῖς υἱοῖς Ἀαρὼν τῆς ἱερατίας, καὶ τὸ ἔλαιον τοῦ χρίσματος, καὶ τὸ θυμίαμα τῆς συνθέσεως.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 20] Καὶ ἐξῆλθε πᾶσα συναγωγὴ υἱῶν Ἰσραὴλ ἀπὸ Μωυσῆ.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 21] Καὶ ἤνεγκαν ἕκαστος, ὧν ἔφερεν ἡ καρδία αὐτῶν, καὶ ὅσοις ἔδοξε τῇ ψυχῇ αὐτῶν, ἀφαίρεμα· καὶ ἤνεγκαν ἀφαίρεμα Κυρίῳ εἰς πάντα τὰ ἔργα τῆς σκηνῆς τοῦ μαρτυρίου, καὶ εἰς πάντα τὰ κάτεργα αὐτῆς καὶ εἰς πάσας τὰς στολὰς τοῦ ἁγίου.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 22] Καὶ ἤνεγκαν οἱ ἄνδρες παρὰ τῶν γυναικῶν, πᾶς ᾧ ἔδοξε τῇ διανοίᾳ, ἤνεγκαν σφραγίδας, καὶ ἐνώτια, καὶ δακτυλίους, καὶ ἐμπλόκια, καὶ περιδέξια, πᾶν σκεῦος χρυσοῦν.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 23] Καὶ πάντες ὅσοι ἤνεγκαν ἀφαιρέματα χρυσίου Κυρίῳ, καὶ παρʼ ᾧ εὑρέθη βύσσος· καὶ δέρματα ὑακίνθινα καὶ δέρματα κριῶν ἠρυθροδανωμένα ἤνεγκαν.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 24] Καὶ πᾶς ὁ ἀφαιρῶν ἀφαίρεμα, ἤνεγκαν ἀργύριον καὶ χαλκὸν, τὰ ἀφαιρέματα Κυρίῳ· καὶ παρʼ οἷς εὑρέθη ξύλα ἄσηπτα· καὶ εἰς πάντα τὰ ἔργα τῆς παρασκευῆς ἤνεγκαν.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 25] Καὶ πᾶσα γυνὴ σοφὴ τῇ διανοίᾳ ταῖς χερσὶ νήθειν, ἤνεγκαν νενησμένα, τὴν ὑάκινθον, καὶ τὴν πορφύραν, καὶ τὸ κόκκινον, καὶ τὴν βύσσον.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 26] Καὶ πᾶσαι αἱ γυναῖκες, αἷς ἔδοξε τῇ διανοίᾳ αὐτῶν ἐν σοφίᾳ, ἔνησαν τὰς τρίχας τὰς αἰγείας.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 27] Καὶ οἱ ἄρχοντες ἤνεγκαν τοὺς λίθους τῆς σμαράγδου, καὶ τοὺς λίθους τῆς πληρώσεως εἰς τὴν ἐπωμίδα, καὶ τὸ λογεῖον,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 28] καὶ τὰς συνθέσεις, καὶ εἰς τὸ ἔλαιον τῆς χρίσεως, καὶ τὴν συνθεσιν τοῦ θυμιάματος.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 29] Καὶ πᾶς ἀνὴρ καὶ γυνὴ, ὧν ἔφερεν ἡ διάνοια αὐτῶν εἰσελθόντας ποιεῖν πάντα τὰ ἔργα, ὅσα συνέταξε Κύριος ποιῆσαι αὐτὰ διὰ Μωυσῆ, ἤνεγκαν οἱ υἱοὶ Ἰσραὴλ, ἀφαίρεμα Κυρίῳ.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 30] Καὶ εἶπε Μωυσῆς τοῖς υἱοῖς Ἰσραὴλ, Ἰδοὺ ἀνακέκληκεν ὁ Θεὸς ἐξ ὀνόματος τὸν Βεσελεὴλ τὸν τοῦ Οὐρείου τὸν Ὢρ, ἐκ τῆς φυλῆς Ἰούδα,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 31] καὶ ἐνέπλησεν αὐτὸν πνεῦμα θεῖον σοφίας καὶ συνέσεως, καὶ ἐπιστήμης πάντων,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 32] ἀρχιτεκτονεῖν κατὰ πάντα τὰ ἔργα τῆς ἀρχιτεκτονίας, ποιεῖν τὸ χρυσίον καὶ τὸ ἀργύριον καὶ τὸν χαλκόν,
[LXX | EL | OT | Exodus | Chapter 35 | Verse 33] καὶ λιθουργῆσαι τὸν λίθον, καὶ κατεργάζεσθαι τὰ ξύλα, καὶ ποιεῖν ἐν παντὶ ἔργῳ σοφίας.
[LXX | EL | OT | Exodus | Chapter 35 | Verse 34] Καὶ προβιβάσαι γε ἔδωκεν ἐν τῇ διανοίᾳ αὐτῷ τε, καὶ τῷ Ἐλιὰβ τῷ τοῦ Ἀχισαμὰκ, ἐκ φυλῆς Δάν·
[LXX | EL | OT | Exodus | Chapter 35 | Verse 35] Καὶ ἐνέπλησεν αὐτοὺς σοφίας, συνέσεως, διανοίας, πάντα συνιέναι ποιῆσαι τὰ ἔργα τοῦ ἁγίου, καὶ τὰ ὑφαντὰ καὶ ποικιλτὰ ὑφάναι τῷ κοκκίνῳ, καὶ τῇ βύσσῳ, ποιεῖν πᾶν ἔργον ἀρχιτεκτονίας, ποικιλίας.
