[LXX | EL | OT | Exodus | Chapter 23 | Verse 1] Οὐ παραδέξῃ ἀκοὴν ματαίαν· οὐ συγκαταθήσῃ μετὰ τοῦ ἀδίκου γενέσθαι μάρτυς ἄδικος.
[LXX | EL | OT | Exodus | Chapter 23 | Verse 2] Οὐκ ἔσῃ μετὰ πλειόνων ἐπὶ κακίᾳ· οὐ προστεθήσῃ μετὰ πλήθους ἐκκλῖναι μετὰ τῶν πλειόνων, ὥστε ἑκκλεῖσαι κρίσιν.
[LXX | EL | OT | Exodus | Chapter 23 | Verse 3] Καὶ πένητα οὐκ ἐλεήσεις ἐν κρίσει.
[LXX | EL | OT | Exodus | Chapter 23 | Verse 4] Ἐὰν δὲ συναντήσῃς τῷ βοῒ τοῦ ἐχθροῦ σου, ἢ τῷ ὑποζυγίῳ αὐτοῦ πλανωμένοις, ἀποστρέψας ἀποδώσεις αὐτῷ.
[LXX | EL | OT | Exodus | Chapter 23 | Verse 5] Ἐὰν δὲ ἴδῃς τὸ ὑποζύγιον τοῦ ἐχθροῦ σου πεπτωκὸς ὑπὸ τὸν γόμον αὐτοῦ, οὐ παρελεύσῃ αὐτὸ, ἀλλὰ συναρεῖς αὐτὸ μετʼ αὐτοῦ.
[LXX | EL | OT | Exodus | Chapter 23 | Verse 6] Οὐ διαστρέψεις κρίμα πένητος ἐν κρίσει αὐτοῦ.
[LXX | EL | OT | Exodus | Chapter 23 | Verse 7] Ἀπὸ παντὸς ῥήματος ἀδίκου ἀποστήσῃ· ἀθῷον καὶ δίκαιον οὐκ ἀποκτενεῖς· καὶ οὐ δικαιώσεις τὸν ἀσεβῆ ἕνεκεν δώρων.
[LXX | EL | OT | Exodus | Chapter 23 | Verse 8] Καὶ δῶρα οὐ λήψῃ· τὰ γὰρ δῶρα ἐκτυφλοῖ ὀφθαλμοὺς βλεπόντων, καὶ λυμαῖνεται ῥήματα δίκαια.
[LXX | EL | OT | Exodus | Chapter 23 | Verse 9] Καὶ προσήλυτον οὐ θλίψετε· ὑμεῖς γὰρ οἴδατε τὴν ψυχὴν τοῦ προσηλύτου· αὐτοὶ γὰρ προσήλυτοι ἦτε ἐν γῇ Αἰγύπτῳ.
[LXX | EL | OT | Exodus | Chapter 23 | Verse 10] Ἓξ ἔτη σπερεῖς τὴν γῆν σου, καὶ συνάξεις τὰ γεννήματα αὐτῆς.
[LXX | EL | OT | Exodus | Chapter 23 | Verse 11] Τῷ δὲ ἑβδόμῳ ἄφεσιν ποιήσεις, καὶ ἀνήσεις αὐτὴν, καὶ ἔδονται οἱ πτωχοὶ τοῦ ἔθνους σου· τὰ δὲ ὑπολειπόμενα ἔδεται τὰ ἄγρια θηρία· οὕτως ποιήσεις τὸν ἀμπελῶνά σου, καὶ τὸν ἐλαιῶνά σου.
[LXX | EL | OT | Exodus | Chapter 23 | Verse 12] Ἓξ ἡμέρας ποιήσεις τὰ ἔργα σου, τῇ δὲ ἡμέρᾳ τῇ ἑβδόμῃ, ἀνάπαυσις· ἵνα ἀναπαύσηται ὁ βοῦς σου, καὶ τὸ ὑποζύγιόν σου, καὶ ἵνα ἀναψύξῃ ὁ υἱὸς τῆς παιδίσκης σου καὶ ὁ προσήλυτος.
