[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 1] Wherefore, laying aside all maliciousnes, and all guile, and dissimulation, and enuie, and all euill speaking,
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 2] As newe borne babes desire that sincere milke of the woorde, that yee may growe thereby,
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 3] Because yee haue tasted that the Lord is bountifull.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 4] To whome comming as vnto a liuing stone disallowed of men, but chosen of God and precious,
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 5] Yee also as liuely stones, bee made a spirituall house, an holy Priesthoode to offer vp spirituall sacrifices acceptable to God by Iesus Christ.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 6] Wherefore also it is conteyned in the Scripture, Beholde, I put in Sion a chiefe corner stone, elect and precious: and hee that beleeueth therein, shall not be ashamed.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 7] Vnto you therefore which beleeue, it is precious: but vnto them which be disobedient, the stone which the builders disallowed, the same is made the head of the corner,
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 8] And a stone to stumble at, and a rocke of offence, euen to them which stumble at the woorde, being disobedient, vnto the which thing they were euen ordeined.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 9] But yee are a chosen generation, a royall Priesthoode, an holy nation, a people set at libertie, that yee shoulde shewe foorth the vertues of him that hath called you out of darkenesse into his marueilous light,
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 10] Which in time past were not a people, yet are nowe the people of God: which in time past were not vnder mercie, but nowe haue obteined mercie.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 11] Dearely beloued, I beseeche you, as strangers and pilgrims, abstaine from fleshly lusts, which fight against the soule,
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 12] And haue your conuersation honest among the Gentiles, that they which speake euill of you as of euill doers, may by your good woorkes which they shall see, glorifie God in the day of visitation.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 13] Therefore submit your selues vnto all maner ordinance of man for the Lordes sake, whether it be vnto the King, as vnto the superiour,
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 14] Or vnto gouernours, as vnto them that are sent of him, for the punishment of euill doers, and for the praise of them that doe well.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 15] For so is the will of God, that by well doing ye may put to silence the ignorance of the foolish men,
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 16] As free, and not as hauing the libertie for a cloke of maliciousnesse, but as the seruauntes of God.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 17] Honour all men: loue brotherly fellowship: feare God: honour the King.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 18] Seruaunts, be subiect to your masters with all feare, not onely to the good and courteous, but also to the froward.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 19] For this is thanke worthie, if a man for conscience toward God endure griefe, suffering wrongfully.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 20] For what praise is it, if when ye be buffeted for your faultes, yee take it paciently? but and if when ye doe well, ye suffer wrong and take it paciently, this is acceptable to God.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 21] For hereunto ye are called: for Christ also suffred for you, leauing you an ensample that ye should follow his steppes.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 22] Who did no sinne, neither was there guile found in his mouth.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 23] Who when hee was reuiled, reuiled not againe: when hee suffered, hee threatned not, but comitted it to him that iudgeth righteously.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 24] Who his owne selfe bare our sinnes in his body on the tree, that we being dead to sinne, should liue in righteousnesse: by whose stripes ye were healed.
[GNV | EN | NT | 1 Peter | Chapter 2 | Verse 25] For ye were as sheepe going astray: but are nowe returned vnto the shepheard and Bishop of your soules.
