[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 1] The elders which are among you, I beseech which am also an elder, and a witnesse of the sufferings of Christ, and also a partaker of the glory that shalbe reueiled,
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 2] Feede the flocke of God, which dependeth vpon you, caring for it not by constraint, but willingly: not for filthy lucre, but of a ready minde:
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 3] Not as though ye were lords ouer Gods heritage, but that yee may bee ensamples to the flocke.
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 4] And when that chiefe shepheard shall appeare, ye shall receiue an incorruptible crowne of glory.
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 5] Likewise ye yonger, submit your selues vnto the elders, and submit your selues euery man, one to another: decke your selues inwardly in lowlinesse of minde: for God resisteth the proude, and giueth grace to the humble.
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 6] Humble your selues therefore vnder the mightie hand of God, that he may exalt you in due time.
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 7] Cast all your care on him: for he careth for you.
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 8] Be sober, and watch: for your aduersarie the deuil as a roaring lyon walketh about, seeking whom he may deuoure:
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 9] Whom resist stedfast in the faith, knowing that the same afflictions are accomplished in your brethren which are in the world.
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 10] And the God of all grace, which hath called vs vnto his eternall glory by Christ Iesus, after that ye haue suffered a litle, make you perfite, confirme, strengthen and stablish you.
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 11] To him be glory and dominion for euer and euer, Amen.
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 12] By Syluanus a faithfull brother vnto you, as I suppose, haue I written briefly, exhorting and testifying how that this is the true grace of God, wherein ye stand.
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 13] The Church that is at Babylon elected together with you, saluteth you, and Marcus my sonne.
[GNV | EN | NT | 1 Peter | Chapter 5 | Verse 14] Greete yee one another with the kisse of loue. Peace be with you all which are in Christ Iesus, Amen.
