[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 1] Likewise let the wiues bee subiect to their husbands, that euen they which obey not the worde, may without the worde be wonne by the conuersation of the wiues,
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 2] While they beholde your pure conuersation, which is with feare.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 3] Whose apparelling, let it not be that outwarde, with broyded heare, and golde put about, or in putting on of apparell:
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 4] But let it bee the hidde man of the heart, which consisteth in the incorruption of a meeke and quiet spirite, which is before God a thing much set by.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 5] For euen after this maner in time past did the holy women, which trusted in God, tire them selues, and were subiect to their husbands.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 6] As Sara obeyed Abraham, and called him Sir: whose daughters ye are, whiles yee doe well, not being afraide of any terrour.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 7] Likewise ye husbands, dwel with them as men of knowledge, giuing honour vnto the woman, as vnto the weaker vessell, euen as they which are heires together of the grace of life, that your prayers be not interrupted.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 8] Finally, be ye all of one minde: one suffer with another: loue as brethren: bee pitifull: bee courteous,
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 9] Not rendring euil for euill, neither rebuke for rebuke: but contrarywise blesse, knowing that ye are thereunto called, that ye should be heires of blessing.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 10] For if any man long after life, and to see good dayes, let him refraine his tongue from euill, and his lippes that they speake no guile.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 11] Let him eschew euil, and do good: let him seeke peace, and follow after it.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 12] For the eyes of the Lord are ouer the righteous, and his eares are open vnto their prayers: and the face of the Lord is against them that do euil.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 13] And who is it that will harme you, if ye follow that which is good?
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 14] Notwithstanding blessed are ye, if ye suffer for righteousnes sake. Yea, feare not their feare, neither be troubled.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 15] But sanctifie the Lord God in your hearts: and be ready alwayes to giue an answere to euery man that asketh you a reason of the hope that is in you, with meekenesse and reuerence,
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 16] Hauing a good coscience, that whe they speake euill of you as of euill doers, they may be ashamed, which slander your good conuersation in Christ.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 17] For it is better (if the will of God be so) that ye suffer for well doing, then for euil doing.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 18] For Christ also hath once suffered for sinnes, the iust for the vniust, that he might bring vs to God, and was put to death concerning the flesh, but was quickened by the spirit.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 19] By the which hee also went, and preached vnto the spirits that are in prison.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 20] Which were in time passed disobedient, when once the long suffering of God abode in the dayes of Noe, while the Arke was preparing, wherein fewe, that is, eight soules were saued in the water.
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 21] Whereof the baptisme that nowe is, answering that figure, (which is not a putting away of the filth of the flesh, but a confident demaunding which a good conscience maketh to God) saueth vs also by the resurrection of Iesus Christ,
[GNV | EN | NT | 1 Peter | Chapter 3 | Verse 22] Which is at the right hand of God, gone into heauen, to whom the Angels, and Powers, and might are subiect.
