[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 1] কিন্তু পবিত্র আত্মা পরিষ্কার ভাবে বলেছেন, পরবর্তীকালে কিছু লোক ছলনাকারী আত্মাতে ও ভূতদের শিক্ষায় মন দিয়ে ঈশ্বরের প্রতি বিশ্বাস পরিত্যাগ করবে।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 2] এটা এমন মিথ্যাবাদীদের ভণ্ডামিতে ঘটবে, যাদের নিজের বিবেক, গরম লোহার দাগের মত দাগযুক্ত হয়েছে।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 3] তারা বিয়ে করতে মানা করে এবং কোনো কোনো খাবার খেতে মানা করে, যা যা ঈশ্বর এই উদ্দেশ্যে তৈরী করেছেন, কিন্তু যারা বিশ্বাসী ও সত্যকে জানে, তারা যেন তাঁকে ধন্যবাদ দিয়ে খাবার খায়।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 4] বাস্তবে ঈশ্বরের তৈরী সব কিছুই ভালো; ধন্যবাদ দিয়ে গ্রহণ করলে, কিছুই অগ্রাহ্য হয় না,
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 5] কারণ ঈশ্বরের বাক্য এবং প্রার্থনার মাধ্যমে তা পবিত্র হয়।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 6] এই সব কথা ভাইদেরকে মনে করিয়ে দিলে তুমি খ্রীষ্ট যীশুর ভালো দাস হবে; যে বিশ্বাসের ও ভালো শিক্ষার অনুসরণ করে আসছ, তার বাক্যে পরিপূর্ণ থাকবে;
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 7] কিন্তু ভক্তিহীন গল্প গ্রহণ কর না, তা বয়ষ্ক মহিলাদের বানানো গল্পের মতো।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 8] আর ঈশ্বরের ভক্তিতে নিজেকে দক্ষ কর; কারণ দেহের ব্যায়াম শুধু অল্প বিষয়ে উপকারী হয়; কিন্তু ভক্তি সব বিষয়ে উপকারী, তা এখনও আগামী জীবনের প্রতিজ্ঞাযুক্ত।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 9] এই কথা বিশ্বস্ত এবং সম্পূর্ণ গ্রহণের যোগ্য;
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 10] কারণ এরই জন্য আমরা কঠিন পরিশ্রম ও প্রাণপন চেষ্টা করছি; কারণ যিনি সব মানুষের, বিশেষভাবে বিশ্বাসীদের ত্রাণকর্ত্তা, আমরা সেই জীবন্ত ঈশ্বরের উপর আশা করে আসছি।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 11] তুমি এই সব বিষয় নির্দেশ করও শিক্ষা দাও।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 12] তোমার যৌবন কাউকে তুচ্ছ করতে দিও না; কিন্তু বাক্যে আচরণে, প্রেমে, বিশ্বাসে ও শুদ্ধতায় বিশ্বাসীদের আদর্শ হও।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 13] আমি যতদিন না আসি, তুমি পবিত্র শাস্ত্র পড়তে এবং উপদেশ ও শিক্ষা দিতে মনোযোগী থাক।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 14] তোমার হৃদয়ে সেই অনুগ্রহ দান অবহেলা কর না, যা ভাববাণীর মাধ্যমে প্রাচীনদের হাত রেখে তোমাকে দেওয়া হয়েছে।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 15] এ সব বিষয়ে চিন্তা কর, এসবের মধ্যে নিজেকে স্থির রাখো, যেন তোমার উন্নতি সবাই দেখতে পায়।
[IRV | BN | NT | 1 Timothy | Chapter 4 | Verse 16] নিজের বিষয়ে ও তোমার শিক্ষার বিষয়ে সাবধান হও, এ সবে স্থির থাক; কারণ তা করলে তুমি নিজেকে ও যারা তোমার কথা শোনে, তাদেরকেও উদ্ধার করবে।
