[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 1] Now I make known unto you brethren, the gospel which I preached unto you, which also ye received, wherein also ye stand,
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 2] by which also ye are saved; I make known, I say, in what words I preached it unto you, if ye hold it fast, except ye believed in vain.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 3] For I delivered unto you first of all that which also I received, how that Christ died for our sins according to the scriptures;
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 4] and that he was buried; and that he hath been raised on the third day according to the scriptures;
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 5] and that he appeared to Cephas; then to the twelve;
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 6] then he appeared to above five hundred brethren at once, of whom the greater part remain until now, but some are fallen asleep;
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 7] then he appeared to James; then to all the apostles;
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 8] and last of all, as unto one born out of due time, he appeared to me also.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 9] For I am the least of the apostles, that am not meet to be called an apostle, because I persecuted the church of God.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 10] But by the grace of God I am what I am: and his grace which was bestowed upon me was not found vain; but I laboured more abundantly than they all: yet not I, but the grace of God which was with me.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 11] Whether then it be I or they, so we preach, and so ye believed.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 12] Now if Christ is preached that he hath been raised from the dead, how say some among you that there is no resurrection of the dead?
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 13] But if there is no resurrection of the dead, neither hath Christ been raised:
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 14] and if Christ hath not been raised, then is our preaching vain, your faith also is vain.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 15] Yea, and we are found false witnesses of God; because we witnessed of God that he raised up Christ: whom he raised not up, if so be that the dead are not raised.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 16] For if the dead are not raised, neither hath Christ been raised:
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 17] and if Christ hath not been raised, your faith is vain; ye are yet in your sins.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 18] Then they also which are fallen asleep in Christ have perished.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 19] If in this life only we have hoped in Christ, we are of all men most pitiable.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 20] But now hath Christ been raised from the dead, the firstfruits of them that are asleep.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 21] For since by man came death, by man came also the resurrection of the dead.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 22] For as in Adam all die, so also in Christ shall all be made alive.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 23] But each in his own order: Christ the firstfruits; then they that are Christ’s, at his coming.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 24] Then cometh the end, when he shall deliver up the kingdom to God, even the Father; when he shall have abolished all rule and all authority and power.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 25] For he must reign, till he hath put all his enemies under his feet.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 26] The last enemy that shall be abolished is death.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 27] For, He put all things in subjection under his feet. But when he saith, All things are put in subjection, it is evident that he is excepted who did subject all things unto him.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 28] And when all things have been subjected unto him, then shall the Son also himself be subjected to him that did subject all things unto him, that God may be all in all.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 29] Else what shall they do which are baptized for the dead? If the dead are not raised at all, why then are they baptized for them?
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 30] Why do we also stand in jeopardy every hour?
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 31] I protest by that glorying in you, brethren, which I have in Christ Jesus our Lord, I die daily.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 32] If after the manner of men I fought with beasts at Ephesus, what doth it profit me? If the dead are not raised, let us eat and drink, for tomorrow we die.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 33] Be not deceived: Evil company doth corrupt good manners.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 34] Awake up righteously, and sin not; for some have no knowledge of God: I speak this to move you to shame.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 35] But some one will say, How are the dead raised? and with what manner of body do they come?
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 36] Thou foolish one, that which thou thyself sowest is not quickened, except it die:
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 37] and that which thou sowest, thou sowest not the body that shall be, but a bare grain, it may chance of wheat, or of some other kind;
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 38] but God giveth it a body even as it pleased him, and to each seed a body of its own.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 39] All flesh is not the same flesh: but there is one flesh of men, and another flesh of beasts, and another flesh of birds, and another of fishes.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 40] There are also celestial bodies, and bodies terrestrial: but the glory of the celestial is one, and the glory of the terrestrial is another.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 41] There is one glory of the sun, and another glory of the moon, and another glory of the stars; for one star differeth from another star in glory.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 42] So also is the resurrection of the dead. It is sown in corruption; it is raised in incorruption:
