[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 1] Be ye imitators of me, even as I also am of Christ.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 2] Now I praise you that ye remember me in all things, and hold fast the traditions, even as I delivered them to you.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 3] But I would have you know, that the head of every man is Christ; and the head of the woman is the man; and the head of Christ is God.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 4] Every man praying or prophesying, having his head covered, dishonoureth his head.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 5] But every woman praying or prophesying with her head unveiled dishonoureth her head: for it is one and the same thing as if she were shaven.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 6] For if a woman is not veiled, let her also be shorn: but if it is a shame to a woman to be shorn or shaven, let her be veiled.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 7] For a man indeed ought not to have his head veiled, forasmuch as he is the image and glory of God: but the woman is the glory of the man.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 8] For the man is not of the woman; but the woman of the man:
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 9] for neither was the man created for the woman; but the woman for the man:
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 10] for this cause ought the woman to have a sign of authority on her head, because of the angels.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 11] Howbeit neither is the woman without the man, nor the man without the woman, in the Lord.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 12] For as the woman is of the man, so is the man also by the woman; but all things are of God.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 13] Judge ye in yourselves: is it seemly that a woman pray unto God unveiled?
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 14] Doth not even nature itself teach you, that, if a man have long hair, it is a dishonour to him?
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 15] But if a woman have long hair, it is a glory to her: for her hair is given her for a covering.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 16] But if any man seemeth to be contentious, we have no such custom, neither the churches of God.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 17] But in giving you this charge, I praise you not, that ye come together not for the better but for the worse.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 18] For first of all, when ye come together in the church, I hear that divisions exist among you; and I partly believe it.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 19] For there must be also heresies among you, that they which are approved may be made manifest among you.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 20] When therefore ye assemble yourselves together, it is not possible to eat the Lord’s supper:
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 21] for in your eating each one taketh before other his own supper; and one is hungry, and another is drunken.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 22] What? have ye not houses to eat and to drink in? or despise ye the church of God, and put them to shame that have not? What shall I say to you? shall I praise you in this? I praise you not.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 23] For I received of the Lord that which also I delivered unto you, how that the Lord Jesus in the night in which he was betrayed took bread;
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 24] and when he had given thanks, he brake it, and said, This is my body, which is for you: this do in remembrance of me.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 25] In like manner also the cup, after supper, saying, This cup is the new covenant in my blood: this do, as oft as ye drink it, in remembrance of me.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 26] For as often as ye eat this bread, and drink the cup, ye proclaim the Lord’ s death till he come.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 27] Wherefore whosoever shall eat the bread or drink the cup of the Lord unworthily, shall be guilty of the body and the blood of the Lord.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 28] But let a man prove himself, and so let him eat of the bread, and drink of the cup.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 29] For he that eateth and drinketh, eateth and drinketh judgment unto himself, if he discern not the body.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 30] For this cause many among you are weak and sickly, and not a few sleep.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 31] But if we discerned ourselves, we should not be judged.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 32] But when we are judged, we are chastened of the Lord, that we may not be condemned with the world.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 33] Wherefore, my brethren, when ye come together to eat, wait one for another.
[ERV | EN | NT | 1 Corinthians | Chapter 11 | Verse 34] If any man is hungry, let him eat at home; that your coming together be not unto judgment. And the rest will I set in order whensoever I come.
