[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 1] Now concerning the things whereof ye wrote: It is good for a man not to touch a woman.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 2] But, because of fornications, let each man have his own wife, and let each woman have her own husband.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 3] Let the husband render unto the wife her due: and likewise also the wife unto the husband.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 4] The wife hath not power over her own body, but the husband: and likewise also the husband hath not power over his own body, but the wife.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 5] Defraud ye not one the other, except it be by consent for a season, that ye may give yourselves unto prayer, and may be together again, that Satan tempt you not because of your incontinency.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 6] But this I say by way of permission, not of commandment.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 7] Yet I would that all men were even as I myself. Howbeit each man hath his own gift from God, one after this manner, and another after that.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 8] But I say to the unmarried and to widows, It is good for them if they abide even as I.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 9] But if they have not continency, let them marry: for it is better to marry than to burn.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 10] But unto the married I give charge, yea not I, but the Lord, That the wife depart not from her husband
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 11] ( but and if she depart, let her remain unmarried, or else be reconciled to her husband); and that the husband leave not his wife.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 12] But to the rest say I, not the Lord: If any brother hath an unbelieving wife, and she is content to dwell with him, let him not leave her.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 13] And the woman which hath an unbelieving husband, and he is content to dwell with her, let her not leave her husband.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 14] For the unbelieving husband is sanctified in the wife, and the unbelieving wife is sanctified in the brother: else were your children unclean; but now are they holy.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 15] Yet if the unbelieving departeth, let him depart: the brother or the sister is not under bondage in such cases: but God hath called us in peace.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 16] For how knowest thou, O wife, whether thou shalt save thy husband? or how knowest thou, O husband, whether thou shalt save thy wife?
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 17] Only, as the Lord hath distributed to each man, as God hath called each, so let him walk. And so ordain I in all the churches.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 18] Was any man called being circumcised? let him not become uncircumcised. Hath any been called in uncircumcision? let him not be circumcised.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 19] Circumcision is nothing, and uncircumcision is nothing; but the keeping of the commandments of God.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 20] Let each man abide in that calling wherein he was called.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 21] Wast thou called being a bondservant? care not for it: but if thou canst become free, use it rather.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 22] For he that was called in the Lord, being a bondservant, is the Lord’ s freedman: likewise he that was called, being free, is Christ’ s bondservant.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 23] Ye were bought with a price; become not bondservants of men.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 24] Brethren, let each man, wherein he was called, therein abide with God.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 25] Now concerning virgins I have no commandment of the Lord: but I give my judgment, as one that hath obtained mercy of the Lord to be faithful.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 26] I think therefore that this is good by reason of the present distress, namely, that it is good for a man to be as he is.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 27] Art thou bound unto a wife? seek not to be loosed. Art thou loosed from a wife? seek not a wife.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 28] But and if thou marry, thou hast not sinned; and if a virgin marry, she hath not sinned. Yet such shall have tribulation in the flesh: and I would spare you.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 29] But this I say, brethren, the time is shortened, that henceforth both those that have wives may be as though they had none;
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 30] and those that weep, as though they wept not; and those that rejoice, as though they rejoiced not; and those that buy, as though they possessed not;
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 31] and those that use the world, as not abusing it: for the fashion of this world passeth away.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 32] But I would have you to be free from cares. He that is unmarried is careful for the things of the Lord, how he may please the Lord:
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 33] but he that is married is careful for the things of the world, how he may please his wife.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 34] And there is a difference also between the wife and the virgin. She that is unmarried is careful for the things of the Lord, that she may be holy both in body and in spirit: but she that is married is careful for the things of the world, how she may please her husband.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 35] And this I say for your own profit; not that I may cast a snare upon you, but for that which is seemly, and that ye may attend upon the Lord without distraction.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 36] But if any man thinketh that he behaveth himself unseemly toward his virgin daughter, if she be past the flower of her age, and if need so requireth, let him do what he will; he sinneth not; let them marry.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 37] But he that standeth stedfast in his heart, having no necessity, but hath power as touching his own will, and hath determined this in his own heart, to keep his own virgin daughter, shall do well.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 38] So then both he that giveth his own virgin daughter in marriage doeth well; and he that giveth her not in marriage shall do better.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 39] A wife is bound for so long time as her husband liveth; but if the husband be dead, she is free to be married to whom she will; only in the Lord.
[ERV | EN | NT | 1 Corinthians | Chapter 7 | Verse 40] But she is happier if she abide as she is, after my judgment: and I think that I also have the Spirit of God.
