[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 1] For ye your selues knowe, brethren, that our entrance in vnto you was not in vaine,
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 2] But euen after that we had suffered before, and were shamefully entreated at Philippi, (as ye knowe) we were bolde in our God, to speake vnto you the Gospell of God with much striuing.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 3] For our exhortation was not by deceite, nor by vncleannes, nor by guile.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 4] But as we were allowed of God, that the Gospel should be committed vnto vs, so we speake, not as they that please men, but God, which approoueth our hearts.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 5] Neither yet did we euer vse flattering wordes, as ye knowe, nor coloured couetousnes, God is recorde.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 6] Neither sought we prayse of men, neither of you, nor of others, when we might haue bene chargeable, as the Apostles of Christ.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 7] But we were gentle among you, euen as a nource cherisheth her children.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 8] Thus being affectioned toward you, our good will was to haue dealt vnto you, not the Gospel of God onely, but also our owne soules, because ye were deare vnto vs.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 9] For ye remember, brethren, our labour and trauaile: for we laboured day and night, because we would not be chargeable vnto any of you, and preached vnto you the Gospel of God.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 10] Ye are witnesses, and God also, how holily, and iustly, and vnblameably we behaued our selues among you that beleeue.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 11] As ye knowe how that we exhorted you, and comforted, and besought euery one of you (as a father his children)
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 12] That ye would walke worthy of God, who hath called you vnto his kingdome and glorie.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 13] For this cause also thanke we God without ceasing, that when ye receiued the worde of God, which ye heard of vs, ye receiued it not as the worde of men, but as it is in deede the worde of God, which also worketh in you that beleeue.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 14] For brethren, ye are become folowers of the Churches of God, which in Iudea are in Christ Iesus, because ye haue also suffred the same things of your owne countrey men, euen as they haue of the Iewes,
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 15] Who both killed the Lord Iesus and their owne Prophets, and haue persecuted vs away, and God they please not, and are contrary to all men,
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 16] And forbid vs to preach vnto the Gentiles, that they might be saued, to fulfill their sinnes alwayes: for the wrath of God is come on them, to the vtmost.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 17] For asmuch, brethren, as we were kept from you for a season, concerning sight, but not in the heart, we enforced the more to see your face with great desire.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 18] Therefore we would haue come vnto you (I Paul, at least once or twise) but Satan hindered vs.
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 19] For what is our hope or ioye, or crowne of reioycing? are not euen you it in the presence of our Lord Iesus Christ at his comming?
[GNV | EN | NT | 1 Thessalonians | Chapter 2 | Verse 20] Yea, ye are our glory and ioy.
