[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 1] Bvt of the times and seasons, brethren, yee haue no neede that I write vnto you.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 2] For ye your selues knowe perfectly, that the day of the Lord shall come, euen as a thiefe in the night.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 3] For when they shall say, Peace, and safetie, then shall come vpon them sudden destruction, as the trauaile vpon a woman with childe, and they shall not escape,
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 4] But ye, brethren, are not in darkenes, that that day shall come on you, as it were a thiefe.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 5] Yee are all the children of light, and the children of the day: we are not of the night, neither of darkenesse.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 6] Therefore let vs not sleepe as do other, but let vs watch and be sober.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 7] For they that sleepe, sleepe in the night, and they that be drunken, are drunken in the night.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 8] But let vs which are of the day, be sober, putting on the brest plate of faith and loue, and of the hope of saluation for an helmet.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 9] For God hath not appointed vs vnto wrath, but to obtaine saluation by the meanes of our Lord Iesus Christ,
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 10] Which died for vs, that whether we wake or sleepe, we should liue together with him.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 11] Wherefore exhort one another, and edifie one another, euen as ye doe.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 12] Nowe we beseeche you, brethren, that ye acknowledge them, which labour among you, and are ouer you in the Lord, and admonish you,
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 13] That yee haue them in singular loue for their workes sake. Bee at peace among your selues.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 14] We desire you, brethren, admonish them that are out of order: comfort ye feeble minded: beare with the weake: be pacient toward all men.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 15] See that none recompense euil for euil vnto any man: but euer follow that which is good, both toward your selues, and toward all men.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 16] Reioyce euermore.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 17] Pray continually.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 18] In all thinges giue thankes: for this is the will of God in Christ Iesus toward you.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 19] Quench not the Spirit.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 20] Despise not prophecying.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 21] Try all things, and keepe that which is good.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 22] Absteine from all appearance of euill.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 23] Nowe the very God of peace sanctifie you throughout: and I pray God that your whole spirite and soule and body, may be kept blamelesse vnto the comming of our Lord Iesus Christ.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 24] Faithfull is hee which calleth you, which will also doe it.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 25] Brethren, pray for vs.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 26] Greete all the brethren with an holy kisse.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 27] I charge you in the Lord, that this Epistle be read vnto all the brethren the Saintes.
[GNV | EN | NT | 1 Thessalonians | Chapter 5 | Verse 28] The grace of our Lord Iesus Christ be with you, Amen. ‘The first Epistle vnto the Thessalonians written from Athens.’
