[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 1] Τοῖς πᾶσιν ὁ χρόνος, καὶ καιρὸς τῷ παντὶ πράγματι ὑπὸ τὸν οὐρανόν.
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 2] Καιρὸς τοῦ τεκεῖν καὶ καιρὸς τοῦ ἀποθανεῖν, καιρὸς τοῦ φυτεῦσαι καὶ καιρὸς τοῦ ἐκτίλαι τὸ πεφυτευμένον·
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 3] Καιρὸς τοῦ ἀποκτεῖναι καὶ καιρὸς τοῦ ἰάσασθαι, καιρὸς τοῦ καθελεῖν καὶ καιρὸς τοῦ οἰκοδομεῖν·
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 4] Καιρὸς τοῦ κλαῦσαι καὶ καιρὸς τοῦ γελάσαι, καιρὸς τοῦ κόψασθαι καὶ καιρὸς τοῦ ὀρχήσασθαι·
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 5] Καιρὸς τοῦ βαλεῖν λίθους καὶ καιρὸς τοῦ συναγαγεῖν λίθους, καιρὸς τοῦ περιλαβεῖν καὶ καιρὸς τοῦ μακρυνθῆναι ἀπὸ περιλήψεως·
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 6] Καιρὸς τοῦ ζητῆσαι καὶ καιρὸς τοῦ ἀπολέσαι, καιρὸς τοῦ φυλάξαι καὶ καιρὸς τοῦ ἐκβαλεῖν·
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 7] Καιρὸς τοῦ ῥῆξαι καὶ καιρὸς τοῦ ῥάψαι, καιρὸς τοῦ σιγᾷν καὶ καιρὸς τοῦ λαλεῖν·
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 8] Καιρὸς τοῦ φιλῆσαι καὶ καιρὸς τοῦ μισῆσαι, καιρὸς πολέμου καὶ καιρὸς εἰρήνης.
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 9] Τίς περίσσεια τοῦ ποιοῦντος ἐν οἷς αὐτὸς μοχθεῖ;
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 10] Εἶδον σὺν πάντα τὸν περισπασμὸν, ὃν ἔδωκεν ὁ Θεὸς τοῖς υἱοῖς τῶν ἀνθρώπων τοῦ περισπᾶσθαι ἐν αὐτῷ.
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 11] Τὰ σύμπαντα ἃ ἐποίησε καλὰ ἐν καιρῷ αὐτοῦ· καί γε σύμπαντα τὸν αἰῶνα ἔδωκεν ἐν καρδίᾳ αὐτῶν, ὅπως μὴ εὕρῃ ὁ ἄνθρωπος τὸ ποίημα ὁ ἐποίησεν ὁ Θεὸς ἀπʼ ἀρχῆς καὶ μέχρι τέλους.
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 12] Ἔγνων ὅτι οὐκ ἔστιν ἀγαθὸν ἐν αὐτοῖς, εἰ μὴ τοῦ εὐφρανθῆναι καὶ τοῦ ποιεῖν ἀγαθὸν ἐν ζωῇ αὐτοῦ·
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 13] Καί γε πᾶς ὁ ἄνθρωπος ὃς φάγεται καὶ πίεται, καὶ ἴδῃ ἀγαθὸν ἐν παντὶ μόχθῳ αὐτοῦ, δόμα Θεοῦ ἐστιν.
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 14] Ἔγνων ὅτι πάντα ὅσα ἐποίησεν ὁ Θεὸς αὐτὰ ἔσται εἰς τὸν αἰῶνα, ἐπʼ αὐτῷ οὐκ ἔστι προσθεῖναι, καὶ ἀπʼ αὐτοῦ οὐκ ἔστιν ἀφελεῖν· καὶ ὁ Θεὸς ἐποίησεν, ἵνα φοβηθῶσιν ἀπὸ προσώπου αὐτοῦ.
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 15] Τὸ γενόμενον ἤδη ἐστί, καὶ ὅσα τοῦ γίνεσθαι ἤδη γέγονε, καὶ ὁ Θεὸς ζητήσει τὸν διωκόμενον.
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 16] Καὶ ἔτι εἶδον ὑπὸ τὸν ἥλιον τόπον τῆς κρίσεως, ἐκεῖ ὁ ἀσεβής· καὶ τόπον τοῦ δικαίου, ἐκεῖ ὁ εὐσεβής.
[LXX | EL | OT | Ecclesiastes | Chapter 3 | Verse 17] Καὶ εἶπα ἐγὼ ἐν καρδίᾳ μου, σὺν τὸν δίκαιον καὶ σὺν τὸν ἀσεβῆ κρινεῖ ὁ Θεός, ὅτι καιρὸς τῷ παντὶ πράγματι καὶ ἐπὶ παντὶ τῷ ποιήματι ἐκεῖ.
