[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 1] Μυῖαι θανατοῦσαι σαπριοῦσι σκευασίαν ἐλαίου ἡδύσματος· τίμιον ὀλίγον σοφίας ὑπὲρ δόξαν ἀφροσύνης μεγάλην.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 2] Καρδία σοφοῦ εἰς δεξιὸν αὐτοῦ, καὶ καρδία ἄφρονος εἰς ἀριστερὸν αὐτοῦ.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 3] Καί γε ἐν ὁδῷ ὅταν ἄφρων πορεύηται, καρδία αὐτοῦ ὑστερήσει, καὶ ἃ λογιεῖται πάντα ἀφροσύνη ἐστίν.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 4] Ἐὰν πνεῦμα τοῦ ἐξουσιάζοντος ἀναβῇ ἐπὶ σὲ, τόπον σου μὴ ἀφῇς, ὅτι ἴαμα καταπαύσει ἁμαρτίας μεγάλας.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 5] Ἔστι πονηρία ἣν εἶδον ὑπὸ τὸν ἥλιον, ὡς ἀκούσιον ἐξῆλθεν ἀπὸ προσώπου ἐξουσιάζοντος.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 6] Ἐδόθη ὁ ἄφρων ἐν ὕψεσι μεγάλοις, καὶ πλούσιοι ἐν ταπεινῷ καθήσονται.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 7] Εἶδον δούλους ἐφʼ ἵππους, καὶ ἄρχοντας πορευομένους ὡς δούλους ἐπὶ τῆς γῆς.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 8] Ὁ ὀρύσσων βόθρον, εἰς αὐτὸν ἐμπεσεῖται· καὶ καθαιροῦντα φραγμὸν, δήξεται αὐτὸν ὄφις,
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 9] Ἐξαίρων λίθους, διαπονηθήσεται ἐν αὐτοῖς· σχίζων ξύλα, κινδυνεύσει ἐν αὐτοῖς.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 10] Ἐὰν ἐκπέσῃ τὸ σιδήριον, καὶ αὐτὸς πρόσωπον ἐτάραξε· καὶ δυνάμεις δυναμώσει, καὶ περίσσεια τῷ ἀνδρὶ οὐ σοφία.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 11] Ἐὰν δάκῃ ὄφις ἐν οὐ ψιθυρισμῷ, καὶ οὐκ ἔστι περίσσεια τῷ ἐπᾴδοντι.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 12] Λόγοι στόματος σοφοῦ χάρις, καὶ χείλη ἄφρονος καταποντιοῦσιν αὐτόν.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 13] Ἀρχὴ λόγων στόματος αὐτοῦ ἀφροσύνη, καὶ ἐσχάτη στόματος αὐτοῦ περιφέρεια πονηρὰ,
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 14] καὶ ὁ ἄφρων πληθύνει λόγους· οὐκ ἔγνω ἄνθρωπος τί τὸ γενόμενον, καὶ τί τὸ ἐσόμενον, ὅ, τι ὀπίσω αὐτοῦ τίς ἀναγγελεῖ αὐτῷ;
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 15] Μόχθος τῶν ἀφρόνων κακώσει αὐτοὺς, ὃς οὐκ ἔγνω τοῦ πορευθῆναι εἰς πόλιν.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 16] Οὐαί σοι πόλις ἧς ὁ βασιλεύς σου νεώτερος, καὶ οἱ ἄρχοντές σου πρωῒ ἐσθίουσι.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 17] Μακαρία σὺ γῆ, ἧς ὁ βασιλεύς σου υἱὸς ἐλευθέρων, καὶ οἱ ἄρχοντές σου πρὸς καιρὸν φάγονται ἐν δυνάμει, καὶ οὐκ αἰσχυνθήσονται.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 18] Ἐν ὀκνηρίαις ταπεινωθήσεται ἡ δόκωσις, καὶ ἐν ἀργίᾳ χειρῶν στάξει ἡ οἰκία.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 19] Εἰς γέλωτα ποιοῦσιν ἄρτον, καὶ οἶνον καὶ ἔλαιον τοῦ εὐφρανθῆναι ζῶντας, καὶ τοῦ ἀργυρίου ταπεινώσει ἐπακούσεται τὰ πάντα.
[LXX | EL | OT | Ecclesiastes | Chapter 10 | Verse 20] Καί γε ἐν συνειδήσει σου βασιλέα μὴ καταράσῃ, καὶ ἐν ταμιείοις κοιτώνων σου μὴ καταράσῃ πλούσιον· ὅτι πετεινὸν τοῦ οὐρανοῦ ἀποίσει τὴν φωνήν σου, καὶ ὁ ἔχων τὰς πτέρυγας ἀπαγγελεῖ λόγον σου.
