[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 1] Καὶ μνήσθητι τοῦ κτίσαντός σε ἐν ἡμέραις νεότητός σου, ἕως ὅτου μὴ ἔλθωσιν αἱ ἡμέραι τῆς κακίας, καὶ φθάσουσιν ἔτη ἐν οἷς ἐρεῖς, οὐκ ἔστι μοι ἐν αὐτοῖς θέλημα.
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 2] Ἕως οὗ μὴ σκοτισθῇ ὁ ἥλιος καὶ τὸ φῶς, καὶ ἡ σελήνη καὶ οἱ ἀστέρες, καὶ ἐπιστρέψουσι τὰ νέφη ὀπίσω τοῦ ὑετοῦ.
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 3] Ἐν ἡμέρᾳ ᾗ ἐὰν σαλευθῶσι φύλακες τῆς οἰκίας, καὶ διαστραφῶσιν ἄνδρες τῆς δυνάμεως, καὶ ἤργησαν αἱ ἀλήθουσαι ὅτι ὠλιγώθησαν, καὶ σκοτάσουσιν αἱ βλέπουσαι ἐν ταῖς ὀπαῖς·
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 4] Καὶ κλείσουσι θύρας ἐν ἀγορᾷ, ἐν ἀσθενείᾳ φωνῆς τῆς ἀληθούσης· καὶ ἀναστήσεται εἰς φωνὴν τοῦ στρουθίου, καὶ ταπεινωθήσονται πᾶσαι αἱ θυγατέρες τοῦ ᾄσματος·
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 5] Καὶ εἰς τὸ ὕψος ὄψονται, καὶ θάμβοι ἐν τῇ ὁδῷ, καὶ ἀνθήσῃ τὸ ἀμύγδαλον, καὶ παχυνθῇ ἡ ἀκρὶς, καὶ διασκεδασθῇ ἡ κάππαρις, ὅτι ἐπορεύθη ὁ ἄνθρωπος εἰς οἶκον αἰῶνος αὐτοῦ, καὶ ἐκύκλωσαν ἐν ἀγορᾷ οἱ κοπτόμενοι.
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 6] Ἕως ὅτου μὴ ἀνατραπῇ τὸ σχοινίον τοῦ ἀργυρίου, καὶ συντριβῇ τὸ ἀνθέμιον τοῦ χρυσίου, καὶ συντριβῇ ὑδρία ἐπὶ τῇ πηγῇ, καὶ συντροχάσῃ ὁ τροχὸς ἐπὶ τὸν λάκκον·
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 7] Καὶ ἐπιστρέψῃ ὁ χοῦς ἐπὶ τὴν γῆν ὡς ἦν, καὶ τὸ πνεῦμα ἐπιστρέψῃ πρὸς τὸν Θεὸν ὃς ἔδωκεν αὐτό.
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 8] Ματαιότης ματαιοτήτων, εἶπεν ὁ Ἐκκλησιαστὴς, τὰ πάντα ματαιότης.
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 9] Καὶ περισσὸν ὅτι ἐγένετο Ἐκκλησιαστὴς σοφὸς, ὅτι ἐδίδαξε γνῶσιν σὺν τὸν ἄνθρωπον, καὶ οὖς ἐξιχνιάσεται κόσμιον παραβολῶν.
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 10] Πολλὰ ἐζήτησεν Ἐκκλησιαστὴς τοῦ εὑρεῖν λόγους θελήματος, καὶ γεγραμμένον εὐθύτητος, λόγους ἀληθείας.
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 11] Λόγοι σοφῶν ὡς τὰ βούκεντρα, καὶ ὡς ἧλοι πεφυτευμένοι, οἳ παρὰ τῶν συνθεμάτων ἐδόθησαν ἐκ ποιμένος ἑνός.
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 12] Καὶ περισσὸν ἐξ αὐτῶν υἱέ μου φύλαξαι· τοῦ ποιῆσαι βιβλία πολλὰ οὐκ ἔστι περασμὸς, καὶ μελέτη πολλὴ κόπωσις σαρκός.
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 13] Τέλος λόγου, τὸ πᾶν ἄκουε· τὸν Θεὸν φοβοῦ, καὶ τὰς ἐντολὰς αὐτοῦ φύλασσε· ὅτι τοῦτο πᾶς ὁ ἄνθρωπος.
[LXX | EL | OT | Ecclesiastes | Chapter 12 | Verse 14] Ὅτι σύμπαν τὸ ποίημα ὁ Θεὸς ἄξει ἐν κρίσει, ἐν παντὶ παρεωραμένῳ, ἐὰν ἀγαθὸν καὶ ἐὰν πονηρόν.
