[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 1] Ἀγαθὸν ὄνομα ὑπὲρ ἔλαιον ἀγαθὸν, καὶ ἡμέρα τοῦ θανάτου ὑπὲρ ἡμέραν γεννήσεως.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 2] Ἀγαθὸν πορευθῆναι εἰς οἶκον πένθους ἢ ὅτι πορευθῆναι εἰς οἶκον πότου· καθότι τοῦτο τέλος παντὸς ἀνθρώπου, καὶ ὁ ζῶν δώσει ἀγαθὸν εἰς καρδίαν αὐτοῦ.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 3] Ἀγαθὸν θυμὸς ὑπὲρ γέλωτα, ὅτι ἐν κακίᾳ προσώπου ἀγαθυνθήσεται καρδία.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 4] Καρδία σοφῶν ἐν οἴκῳ πένθους, καὶ καρδία ἀφρόνων ἐν οἴκῳ εὐφροσύνης.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 5] Ἀγαθὸν τὸ ἀκοῦσαι ἐπιτίμησιν σοφοῦ ὑπὲρ ἄνδρα ἁκούοντα ᾆσμα ἀφρόνων.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 6] Ὡς φωνὴ ἀκανθῶν ὑπὸ τὸν λέβητα, οὕτως γέλως τῶν ἀφρόνων· καί γε τοῦτο ματαιότης.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 7] Ὅτι ἡ συκοφαντία περιφέρει σοφὸν, καὶ ἀπόλλυσι τὴν καρδίαν εὐγενείας αὐτοῦ.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 8] Ἀγαθὴ ἐσχάτη λόγων ὑπὲρ ἀρχὴν αὐτοῦ, ἀγαθὸν μακρόθυμος ὑπὲρ ὑψηλὸν πνεύματι.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 9] Μὴ σπεύσῃς ἐν πνεύματί σου τοῦ θυμοῦσθαι, ὅτι θυμὸς ἐν κόλπῳ ἀφρόνων ἀναπαύσεται.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 10] Μὴ εἴπῃς, τί ἐγένετο, ὅτι αἱ ἡμέραι αἱ πρότεραι ἦσαν ἀγαθαὶ ὑπὲρ ταύτας; ὅτι οὐκ ἐν σοφίᾳ ἐπηρώτησας περὶ τούτου.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 11] Ἀγαθὴ σοφία μετὰ κληρονομίας, καὶ περίσσεια τοῖς θεωροῦσι τὸν ἥλιον.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 12] Ὅτι ἐν σκιᾷ αὐτῆς ἡ σοφία ὡς σκιὰ ἀργυρίου, καὶ περίσσεια γνώσεως τῆς σοφίας ζωοποιήσει τὸν παρʼ αὐτῆς.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 13] Ἴδε τὰ ποιήματα τοῦ Θεοῦ, ὅτι τίς δυνήσεται κοσμῆσαι ὃν ἂν ὁ Θεὸς διαστρέψῃ αὐτόν;
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 14] Ἐν ἡμέρᾳ ἀγαθωσύνης ζῆθι ἐν ἀγαθῷ, καὶ ἴδε ἐν ἡμέρᾳ κακίας· ἴδε, καί γε σὺν τούτῳ συμφώνως τοῦτο ἐποίησεν ὁ Θεὸς περὶ λαλιᾶς, ἵνα μὴ εὕρῃ ἄνθρωπος ὀπίσω αὐτοῦ οὐδέν.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 15] Σύμπαντα εἶδον ἐν ἡμέραις ματαιότητός μου· ἐστὶ δίκαιος ἀπολλύμενος ἐν δικαίῳ αὐτοῦ, καί ἐστιν ἀσεβὴς μένων ἐν κακίᾳ αὐτοῦ.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 16] Μὴ γίνου δίκαιος πολὺ, μηδὲ σοφίζου περισσὰ, μή ποτε ἐκπλαγῇς.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 17] Μὴ ἀσεβήσῃς πολὺ, καὶ μὴ γίνου σκληρὸς, ἵνα μὴ ἀποθάνῃς ἐν οὐ καιρῷ σου.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 18] Ἀγαθὸν τὸ ἀντέχεσθαί σε ἐν τούτῳ, καί γε ἀπὸ τούτου μὴ μιάνῃς τὴν χεῖρά σου, ὅτι φοβουμένοις τὸν Θεὸν ἐξελεύσεται τὰ πάντα.
