[IRV | PA | OT | Jeremiah | Chapter 50 | Verse 1] ਉਹ ਬਚਨ ਜਿਹੜਾ ਯਹੋਵਾਹ ਬਾਬਲ ਲਈ ਕਸਦੀਆਂ ਦੇ ਦੇਸ ਦੇ ਬਾਰੇ ਯਿਰਮਿਯਾਹ ਨਬੀ ਦੇ ਰਾਹੀਂ ਬੋਲਿਆ, -
[IRV | PA | OT | Jeremiah | Chapter 50 | Verse 2] ਕੌਮਾਂ ਦੇ ਵਿੱਚ ਦੱਸੋ ਅਤੇ ਸੁਣਾਓ, ਝੰਡਾ ਖੜਾ ਕਰੋ ਅਤੇ ਸੁਣਾਓ, ਨਾ ਲੁਕਾਓ ਪਰ ਆਖੋ, ਬਾਬਲ ਲੈ ਲਿਆ ਗਿਆ! ਬੇਲ ਸ਼ਰਮਿੰਦਾ ਹੋਇਆ, ਮਰੋਦਾਕ ਹੱਕਾ-ਬੱਕਾ ਹੋਇਆ, ਉਹ ਦੀਆਂ ਮੂਰਤਾਂ ਸ਼ਰਮਿੰਦਾ ਹੋਈਆਂ, ਉਹ ਦੇ ਬੁੱਤ ਹੱਕੇ-ਬੱਕੇ ਰਹਿ ਗਏ!।
[IRV | PA | OT | Jeremiah | Chapter 50 | Verse 3] ਉੱਤਰ ਵੱਲੋਂ ਉਹ ਦੇ ਵਿਰੁੱਧ ਇੱਕ ਕੌਮ ਚੜ੍ਹੀ ਆਉਂਦੀ ਹੈ ਜਿਹੜੀ ਉਹ ਦੇ ਦੇਸ ਨੂੰ ਵਿਰਾਨ ਕਰ ਦੇਵੇਗੀ ਅਤੇ ਉਹ ਦੇ ਵਿੱਚ ਕੋਈ ਨਾ ਵੱਸੇਗਾ। ਆਦਮੀਆਂ ਤੋਂ ਡੰਗਰਾਂ ਤੱਕ ਖਿਸਕ ਕੇ ਚੱਲੇ ਜਾਣਗੇ।
[IRV | PA | OT | Jeremiah | Chapter 50 | Verse 4] ਉਹਨਾਂ ਦਿਨਾਂ ਵਿੱਚ ਅਤੇ ਉਸ ਵੇਲੇ, ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ, ਇਸਰਾਏਲੀ ਅਤੇ ਯਹੂਦੀ ਇਕੱਠੇ ਆਉਣਗੇ, ਉਹ ਰੋਂਦੇ-ਰੋਂਦੇ ਆਉਣਗੇ, ਉਹ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਭਾਲਣਗੇ
[IRV | PA | OT | Jeremiah | Chapter 50 | Verse 5] ਉਹ ਆਪਣਿਆਂ ਮੂੰਹਾਂ ਨੂੰ ਉੱਧਰ ਕਰ ਕੇ ਸੀਯੋਨ ਦਾ ਰਾਹ ਪੁੱਛਣਗੇ ਕਿ ਆਓ, ਅਸੀਂ ਯਹੋਵਾਹ ਨਾਲ ਮਿਲ ਕੇ ਇੱਕ ਸਦੀਪਕਾਲ ਦਾ ਨੇਮ ਬੰਨ੍ਹੀਏ ਜਿਹੜਾ ਵਿਸਾਰਿਆ ਨਾ ਜਾਵੇਗਾ।
[IRV | PA | OT | Jeremiah | Chapter 50 | Verse 6] ਮੇਰੀ ਪਰਜਾ ਭੁੱਲੀ ਭੇਡ ਹੈ, ਉਹਨਾਂ ਦੇ ਆਜੜੀਆਂ ਨੇ ਉਹਨਾਂ ਨੂੰ ਕੁਰਾਹੇ ਪਾਇਆ, ਉਹਨਾਂ ਨੇ ਉਹਨਾਂ ਨੂੰ ਪਹਾੜਾਂ ਵਿੱਚ ਭੁਆਂਇਆ। ਉਹ ਪਹਾੜੀ ਤੋਂ ਟਿੱਲੇ ਨੂੰ ਗਏ, ਉਹ ਆਪਣੇ ਲੇਟਣ ਦਾ ਥਾਂ ਭੁੱਲ ਗਏ ਹਨ
[IRV | PA | OT | Jeremiah | Chapter 50 | Verse 7] ਉਹ ਸਾਰੇ ਜਿਹਨਾਂ ਨੇ ਉਹਨਾਂ ਨੂੰ ਲੱਭਿਆ ਉਹਨਾਂ ਨੂੰ ਖਾ ਗਏ। ਉਹਨਾਂ ਦੇ ਵਿਰੋਧੀਆਂ ਨੇ ਆਖਿਆ, ਅਸੀਂ ਦੋਸ਼ੀ ਨਹੀਂ ਹਾਂ, ਉਹਨਾਂ ਨੇ ਯਹੋਵਾਹ ਦੇ ਵਿਰੁੱਧ ਪਾਪ ਕੀਤਾ ਹੈ ਜਿਹੜਾ ਧਰਮ ਸਥਾਨ ਹੈ, ਹਾਂ, ਯਹੋਵਾਹ, ਉਹਨਾਂ ਦੇ ਪੁਰਖਿਆਂ ਦੀ ਆਸ।
[IRV | PA | OT | Jeremiah | Chapter 50 | Verse 8] ਬਾਬਲ ਦੇ ਵਿਚਕਾਰੋਂ ਨੱਠੋ ਅਤੇ ਕਸਦੀਆਂ ਦੇ ਦੇਸ ਵਿੱਚੋਂ ਨਿੱਕਲੋ ਅਤੇ ਇੱਜੜ ਦੇ ਅੱਗੇ ਬੱਕਰਿਆਂ ਵਾਂਗੂੰ ਹੋਵੋ
[IRV | PA | OT | Jeremiah | Chapter 50 | Verse 9] ਕਿਉਂ ਜੋ ਵੇਖੋ, ਮੈਂ ਉੱਤਰ ਦੇਸ ਵੱਲੋਂ ਵੱਡੀਆਂ ਕੌਮਾਂ ਦਾ ਇੱਕ ਦਲ ਪਰੇਰ ਕੇ ਬਾਬਲ ਦੇ ਵਿਰੁੱਧ ਚੜ੍ਹਾ ਲਿਆਉਂਦਾ ਹਾਂ। ਉਹ ਉਸ ਦੇ ਵਿਰੁੱਧ ਪਾਲਾਂ ਬੰਨ੍ਹਣਗੇ ਅਤੇ ਉੱਥੋਂ ਉਸ ਨੂੰ ਲੈ ਲੈਣਗੇ। ਉਹਨਾਂ ਦੇ ਤੀਰ ਇੱਕ ਘਾਗ ਸੂਰਮੇ ਦੇ ਹੋਣਗੇ ਜਿਹੜਾ ਖਾਲੀ ਹੱਥ ਨਹੀਂ ਮੁੜਦਾ
[IRV | PA | OT | Jeremiah | Chapter 50 | Verse 10] ਕਸਦੀ ਲੁੱਟੇ ਜਾਣਗੇ ਅਤੇ ਜਿਹੜੇ ਉਸ ਨੂੰ ਲੁੱਟਣਗੇ ਉਹ ਰੱਜ ਜਾਣਗੇ, ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ।
[IRV | PA | OT | Jeremiah | Chapter 50 | Verse 11] ਭਾਵੇਂ ਤੁਸੀਂ ਅਨੰਦ ਹੋਵੋ, ਭਾਵੇਂ ਤੁਸੀਂ ਬਾਗ਼ ਬਾਗ ਹੋਵੋ, ਹੇ ਮੇਰੀ ਮਿਲਖ਼ ਨੂੰ ਲੁੱਟਣ ਵਾਲਿਓ! ਭਾਵੇਂ ਤੁਸੀਂ ਘਾਹ ਉੱਤੇ ਵੱਛੀ ਵਾਂਗੂੰ ਮਸਤ ਹੋ, ਅਤੇ ਸਾਨ੍ਹ ਘੋੜੇ ਵਾਂਗੂੰ ਹਿਣਕੋ,
