[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 1] ਉਹ ਬਚਨ ਜਿਹੜਾ ਯਹੋਵਾਹ ਵੱਲੋਂ ਯਿਰਮਿਯਾਹ ਕੋਲ ਆਇਆ ਕਿ
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 2] ਉੱਠ ਅਤੇ ਘੁਮਿਆਰ ਦੇ ਘਰ ਨੂੰ ਉੱਤਰ ਜਾ। ਉੱਥੇ ਮੈਂ ਤੈਨੂੰ ਆਪਣੀਆਂ ਗੱਲਾਂ ਸੁਣਾਵਾਂਗਾ
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 3] ਤਾਂ ਮੈਂ ਘੁਮਿਆਰ ਦੇ ਘਰ ਨੂੰ ਉੱਤਰ ਗਿਆ ਅਤੇ ਵੇਖੋ, ਉਹ ਆਪਣੇ ਚੱਕ ਉੱਤੇ ਕੰਮ ਕਰ ਰਿਹਾ ਸੀ
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 4] ਉਹ ਭਾਂਡਾ ਜਿਹੜਾ ਉਹ ਮਿੱਟੀ ਦਾ ਬਣਾਉਂਦਾ ਸੀ ਘੁਮਿਆਰ ਦੇ ਹੱਥ ਵਿੱਚ ਵਿਗੜ ਗਿਆ। ਤਦ ਉਹ ਨੇ ਮੁੜ ਉਸ ਤੋਂ ਇੱਕ ਦੂਜਾ ਭਾਂਡਾ ਬਣਾਇਆ ਜਿਵੇਂ ਉਹ ਦੀ ਨਿਗਾਹ ਵਿੱਚ ਚੰਗਾ ਲੱਗਾ।
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 5] ਫਿਰ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਮੇਰੇ ਕੋਲ ਆਇਆ ਕਿ
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 6] ਹੇ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ, ਕੀ ਮੈਂ ਇਸ ਘੁਮਿਆਰ ਵਾਂਗੂੰ ਤੁਹਾਡੇ ਨਾਲ ਨਹੀਂ ਕਰ ਸਕਦਾ? ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ। ਵੇਖੋ, ਹੇ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ, ਜਿਵੇਂ ਮਿੱਟੀ ਘੁਮਿਆਰ ਦੇ ਹੱਥ ਵਿੱਚ ਹੈ ਤਿਵੇਂ ਤੁਸੀਂ ਮੇਰੇ ਹੱਥ ਵਿੱਚ ਹੋ
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 7] ਜਿਸ ਵੇਲੇ ਮੈਂ ਕਿਸੇ ਕੌਮ ਜਾਂ ਕਿਸੇ ਪਾਤਸ਼ਾਹੀ ਦੇ ਬਾਰੇ ਬੋਲਾਂ ਕਿ ਮੈਂ ਉਹ ਨੂੰ ਪੁੱਟ ਸੁੱਟਾਂਗਾ, ਢਾਹ ਦਿਆਂਗਾ ਅਤੇ ਨਾਸ ਕਰਾਂਗਾ
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 8] ਜੇ ਉਹ ਕੌਮ ਜਿਹ ਦੇ ਬਾਰੇ ਮੈਂ ਗੱਲ ਕੀਤੀ ਸੀ ਆਪਣੀ ਬਦੀ ਤੋਂ ਮੁੜੇ, ਤਦ ਮੈਂ ਉਸ ਬਦੀ ਤੋਂ ਪਛਤਾਵਾਂਗਾ, ਜਿਹੜੀ ਮੈਂ ਉਹ ਦੇ ਨਾਸ ਕਰਨ ਲਈ ਸੋਚੀ ਸੀ
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 9] ਅਤੇ ਜੇ ਕਿਸੇ ਵੇਲੇ ਮੈਂ ਕਿਸੇ ਕੌਮ ਜਾਂ ਕਿਸੇ ਪਾਤਸ਼ਾਹੀ ਬਾਰੇ ਬੋਲਾਂ ਕਿ ਉਹ ਨੂੰ ਬਣਾਵਾਂਗਾ ਅਤੇ ਲਾਵਾਂਗਾ
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 10] ਜੇ ਉਹ ਮੇਰੀ ਨਿਗਾਹ ਵਿੱਚ ਬੁਰਿਆਈ ਕਰੇ ਅਤੇ ਮੇਰੀ ਅਵਾਜ਼ ਨਾ ਸੁਣੇ ਤਾਂ ਮੈਂ ਵੀ ਉਸ ਭਲਿਆਈ ਤੋਂ ਪਛਤਾਵਾਂਗਾ ਜਿਹੜੀ ਮੈਂ ਉਸ ਨਾਲ ਭਲਿਆਈ ਕਰਨ ਲਈ ਆਖਿਆ ਸੀ
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 11] ਹੁਣ ਯਹੂਦਾਹ ਦੇ ਮਨੁੱਖਾਂ ਅਤੇ ਯਰੂਸ਼ਲਮ ਦੇ ਵਾਸੀਆਂ ਨੂੰ ਆਖ ਕਿ ਯਹੋਵਾਹ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ, - ਵੇਖੋ, ਮੈਂ ਤੁਹਾਡੇ ਵਿਰੁੱਧ ਇੱਕ ਬੁਰਿਆਈ ਕਰ ਰਿਹਾ ਹਾਂ ਅਤੇ ਤੁਹਾਡੇ ਵਿਰੁੱਧ ਇੱਕ ਮਤਾ ਸੋਚ ਰਿਹਾ ਹਾਂ। ਤੁਸੀਂ ਸਾਰੇ ਆਪਣੇ ਬੁਰੇ ਰਾਹ ਤੋਂ ਮੁੜੋ ਅਤੇ ਆਪਣੇ ਰਾਹ ਅਤੇ ਆਪਣੇ ਕੰਮਾਂ ਨੂੰ ਠੀਕ ਕਰੋ
