[IRV | PA | OT | Jeremiah | Chapter 38 | Verse 1] ਮੱਤਾਨ ਦੇ ਪੁੱਤਰ ਸ਼ਫਟਯਾਹ, ਪਸ਼ਹੂਰ ਦੇ ਪੁੱਤਰ ਗਦਲਯਾਹ, ਸ਼ਲਮਯਾਹ ਦੇ ਪੁੱਤਰ ਯੂਕਲ ਅਤੇ ਮਲਕੀਯਾਹ ਦੇ ਪੁੱਤਰ ਪਸ਼ਹੂਰ ਨੇ ਉਹ ਗੱਲਾਂ ਜਿਹੜੀਆਂ ਯਿਰਮਿਯਾਹ ਸਾਰੇ ਲੋਕਾਂ ਨੂੰ ਬੋਲਦਾ ਸੀ ਸੁਣੀਆਂ ਕਿ
[IRV | PA | OT | Jeremiah | Chapter 38 | Verse 2] ਯਹੋਵਾਹ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ, - ਜਿਹੜਾ ਇਸ ਸ਼ਹਿਰ ਵਿੱਚ ਟਿਕਿਆ ਰਹੇਗਾ ਉਹ ਤਲਵਾਰ, ਕਾਲ ਅਤੇ ਬਵਾ ਨਾਲ ਮਰੇਗਾ ਪਰ ਜਿਹੜਾ ਕਸਦੀਆਂ ਕੋਲ ਬਾਹਰ ਚਲਾ ਜਾਵੇਗਾ ਉਹ ਜੀਉਂਦਾ ਰਹੇਗਾ, ਉਹ ਦੀ ਜਾਣ ਉਹ ਦੇ ਵਿੱਚ ਲੁੱਟ ਦਾ ਮਾਲ ਹੋਵੇਗੀ ਅਤੇ ਉਹ ਜੀਵੇਗਾ
[IRV | PA | OT | Jeremiah | Chapter 38 | Verse 3] ਯਹੋਵਾਹ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ ਕਿ ਇਹ ਸ਼ਹਿਰ ਜ਼ਰੂਰ ਬਾਬਲ ਦੇ ਰਾਜਾ ਦੀ ਫੌਜ ਦੇ ਹੱਥ ਵਿੱਚ ਦਿੱਤਾ ਜਾਵੇਗਾ ਅਤੇ ਉਹ ਇਹ ਨੂੰ ਲੈ ਲਵੇਗਾ
[IRV | PA | OT | Jeremiah | Chapter 38 | Verse 4] ਤਾਂ ਸਰਦਾਰਾਂ ਨੇ ਰਾਜਾ ਨੂੰ ਆਖਿਆ, ਇਸ ਮਨੁੱਖ ਨੂੰ ਮਾਰ ਹੀ ਸੁੱਟੋ, ਇਸ ਲਈ ਜੋ ਉਹ ਯੋਧਿਆਂ ਦੇ ਹੱਥ ਜਿਹੜੇ ਇਸ ਸ਼ਹਿਰ ਦੇ ਵਿੱਚ ਬਚ ਰਹੇ ਹਨ ਅਤੇ ਸਾਰੇ ਲੋਕਾਂ ਦੇ ਹੱਥ ਢਿੱਲੇ ਕਰਦਾ ਹੈ ਜਦ ਉਹਨਾਂ ਦੇ ਲਈ ਇਹੋ ਜਿਹੀਆਂ ਗੱਲਾਂ ਬੋਲਦਾ ਹੈ ਕਿਉਂ ਜੋ ਇਹ ਮਨੁੱਖ ਇਹਨਾਂ ਦੀ ਸ਼ਾਂਤੀ ਨਹੀਂ ਸਗੋਂ ਬੁਰਿਆਈ ਭਾਲਦਾ ਹੈ
[IRV | PA | OT | Jeremiah | Chapter 38 | Verse 5] ਅੱਗੋਂ ਸਿਦਕੀਯਾਹ ਰਾਜਾ ਨੇ ਆਖਿਆ, ਵੇਖੋ, ਇਹ ਤੁਹਾਡੇ ਹੱਥ ਵਿੱਚ ਹੈ, ਅਤੇ ਰਾਜਾ ਤੁਹਾਡੇ ਵਿਰੁੱਧ ਕੋਈ ਗੱਲ ਨਹੀਂ ਕਰ ਸਕਦਾ
[IRV | PA | OT | Jeremiah | Chapter 38 | Verse 6] ਤਦ ਉਹਨਾਂ ਨੇ ਯਿਰਮਿਯਾਹ ਨੂੰ ਲਿਆ ਅਤੇ ਉਹ ਨੂੰ ਰਾਜਾ ਦੇ ਰਾਜਕੁਮਾਰ ਮਲਕੀਯਾਹ ਦੇ ਭੋਰੇ ਵਿੱਚ ਸੁੱਟ ਦਿੱਤਾ ਜਿਹੜਾ ਪਹਿਰੇਦਾਰਾਂ ਦੇ ਵੇਹੜੇ ਵਿੱਚ ਸੀ। ਉਹਨਾਂ ਨੇ ਯਿਰਮਿਯਾਹ ਨੂੰ ਰੱਸੀਆਂ ਨਾਲ ਲਮਕਾ ਦਿੱਤਾ ਅਤੇ ਭੋਹਰੇ ਵਿੱਚ ਪਾਣੀ ਨਹੀਂ ਸੀ ਸਗੋਂ ਚਿੱਕੜ ਸੀ ਅਤੇ ਯਿਰਮਿਯਾਹ ਚਿੱਕੜ ਵਿੱਚ ਖੁੱਭ ਗਿਆ।
[IRV | PA | OT | Jeremiah | Chapter 38 | Verse 7] ਜਦ ਅਬਦ-ਮਲਕ ਕੂਸ਼ੀ ਨੇ ਜਿਹੜਾ ਰਾਜਾ ਦੇ ਮਹਿਲ ਵਿੱਚ ਇੱਕ ਖੁਸਰਾ ਸੀ ਸੁਣਿਆ ਕਿ ਉਹਨਾਂ ਨੇ ਯਿਰਮਿਯਾਹ ਨੂੰ ਭੋਰੇ ਵਿੱਚ ਪਾ ਦਿੱਤਾ ਹੈ ਅਤੇ ਰਾਜਾ ਬਿਨਯਾਮੀਨ ਦੇ ਫਾਟਕ ਵਿੱਚ ਬੈਠਾ ਹੋਇਆ ਸੀ
[IRV | PA | OT | Jeremiah | Chapter 38 | Verse 8] ਤਦ ਅਬਦ-ਮਲਕ ਰਾਜਾ ਦੇ ਮਹਿਲ ਤੋਂ ਬਾਹਰ ਗਿਆ ਅਤੇ ਰਾਜਾ ਨੂੰ ਬੋਲਿਆ ਕਿ
[IRV | PA | OT | Jeremiah | Chapter 38 | Verse 9] ਹੇ ਪਾਤਸ਼ਾਹ, ਮੇਰੇ ਮਾਲਕ ਇਹਨਾਂ ਮਨੁੱਖਾਂ ਨੇ ਸਭ ਕੁਝ ਜੋ ਇਹਨਾਂ ਨੇ ਯਿਰਮਿਯਾਹ ਨਬੀ ਨਾਲ ਕੀਤਾ ਹੈ ਸੋ ਬੁਰਾ ਕੀਤਾ ਹੈ ਜਦੋਂ ਇਹਨਾਂ ਨੇ ਉਹ ਨੂੰ ਭੋਰੇ ਵਿੱਚ ਪਾ ਦਿੱਤਾ ਹੈ। ਉੱਥੇ ਉਹ ਕਾਲ ਨਾਲ ਮਰ ਜਾਵੇਗਾ ਕਿਉਂ ਜੋ ਸ਼ਹਿਰ ਵਿੱਚ ਹੋਰ ਰੋਟੀ ਹੈ ਨਹੀਂ
[IRV | PA | OT | Jeremiah | Chapter 38 | Verse 10] ਤਾਂ ਰਾਜਾ ਨੇ ਅਬਦ-ਮਲਕ ਕੂਸ਼ੀ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਕਿ ਐਥੋਂ ਤੀਹ ਮਨੁੱਖ ਆਪਣੇ ਨਾਲ ਲੈ ਅਤੇ ਯਿਰਮਿਯਾਹ ਨਬੀ ਨੂੰ ਮਰਨ ਤੋਂ ਪਹਿਲਾਂ ਭੋਰੇ ਵਿੱਚੋਂ ਕੱਢ
[IRV | PA | OT | Jeremiah | Chapter 38 | Verse 11] ਸੋ ਅਬਦ-ਮਲਕ ਨੇ ਮਨੁੱਖਾਂ ਨੂੰ ਆਪਣੇ ਨਾਲ ਲੈ ਕੇ ਰਾਜਾ ਦੇ ਮਹਿਲ ਨੂੰ ਖ਼ਜ਼ਾਨੇ ਹੇਠ ਗਿਆ ਅਤੇ ਉੱਥੋਂ ਪੁਰਾਣੇ ਚਿੱਥੜੇ ਅਤੇ ਹੰਢੇ ਹੋਏ ਲੀੜੇ ਲਏ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਰੱਸੀਆਂ ਨਾਲ ਯਿਰਮਿਯਾਹ ਕੋਲ ਭੋਰੇ ਵਿੱਚ ਲਮਕਾਇਆ
