[IRV | PA | OT | Jeremiah | Chapter 13 | Verse 1] ਯਹੋਵਾਹ ਨੇ ਮੈਨੂੰ ਇਸ ਤਰ੍ਹਾਂ ਆਖਿਆ ਕਿ ਜਾ ਅਤੇ ਆਪਣੇ ਲਈ ਇੱਕ ਕਤਾਨ ਦਾ ਕਮਰ ਕੱਸਾ ਮੁੱਲ ਲੈ ਅਤੇ ਉਹ ਨੂੰ ਆਪਣੇ ਲੱਕ ਉੱਤੇ ਪਾ ਲੈ ਪਰ ਉਹ ਨੂੰ ਪਾਣੀ ਵਿੱਚ ਨਾ ਭੇਵੀਂ
[IRV | PA | OT | Jeremiah | Chapter 13 | Verse 2] ਸੋ ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਬਚਨ ਦੇ ਅਨੁਸਾਰ ਇੱਕ ਕਮਰ ਕੱਸਾ ਮੁੱਲ ਲਿਆ ਅਤੇ ਉਹ ਨੂੰ ਆਪਣੇ ਲੱਕ ਉੱਤੇ ਪਾ ਲਿਆ
[IRV | PA | OT | Jeremiah | Chapter 13 | Verse 3] ਤਾਂ ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਦੂਜੀ ਵਾਰ ਮੇਰੇ ਕੋਲ ਆਇਆ ਕਿ
[IRV | PA | OT | Jeremiah | Chapter 13 | Verse 4] ਜਿਹੜਾ ਕਮਰ ਕੱਸਾ ਤੂੰ ਮੁੱਲ ਲਿਆ ਹੈ ਅਤੇ ਜਿਹੜਾ ਤੇਰੇ ਲੱਕ ਉੱਤੇ ਹੈ ਉਹ ਨੂੰ ਲੈ, ਉੱਠ ਅਤੇ ਫ਼ਰਾਤ ਨੂੰ ਜਾ ਅਤੇ ਉੱਥੇ ਉਹ ਨੂੰ ਇੱਕ ਚੱਟਾਨ ਦੀ ਤੇੜ ਵਿੱਚ ਲੁਕਾ ਦੇ
[IRV | PA | OT | Jeremiah | Chapter 13 | Verse 5] ਸੋ ਮੈਂ ਗਿਆ ਅਤੇ ਉਹ ਫ਼ਰਾਤ ਕੋਲ ਲੁਕਾ ਦਿੱਤਾ ਜਿਵੇਂ ਯਹੋਵਾਹ ਨੇ ਮੈਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਸੀ
[IRV | PA | OT | Jeremiah | Chapter 13 | Verse 6] ਤਾਂ ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਬਹੁਤ ਦਿਨਾਂ ਦੇ ਅੰਤ ਵਿੱਚ ਯਹੋਵਾਹ ਨੇ ਮੈਨੂੰ ਆਖਿਆ, ਉੱਠ ਕੇ ਫ਼ਰਾਤ ਨੂੰ ਜਾ ਅਤੇ ਉਸ ਕਮਰ ਕੱਸੇ ਨੂੰ ਉੱਥੋਂ ਲੈ ਲੈ ਜਿਹ ਦੇ ਲੁਕਾਉਣ ਦਾ ਮੈਂ ਤੈਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਸੀ
[IRV | PA | OT | Jeremiah | Chapter 13 | Verse 7] ਤਾਂ ਮੈਂ ਫ਼ਰਾਤ ਨੂੰ ਗਿਆ ਅਤੇ ਮੈਂ ਪੁੱਟਿਆ ਅਤੇ ਉਸ ਕਮਰ ਕੱਸੇ ਨੂੰ ਉਸ ਥਾਓਂ ਲਿਆ ਜਿੱਥੇ ਮੈਂ ਉਸ ਨੂੰ ਲੁਕਾਇਆ ਸੀ ਅਤੇ ਵੇਖੋ, ਉਹ ਵਿਗੜ ਗਿਆ ਸੀ, ਉਹ ਕਿਸੇ ਕੰਮ ਦਾ ਨਾ ਰਿਹਾ।
[IRV | PA | OT | Jeremiah | Chapter 13 | Verse 8] ਤਾਂ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਮੇਰੇ ਕੋਲ ਆਇਆ ਕਿ
[IRV | PA | OT | Jeremiah | Chapter 13 | Verse 9] ਯਹੋਵਾਹ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ ਕਿ ਮੈਂ ਐਉਂ ਹੀ ਯਹੂਦਾਹ ਦੇ ਹੰਕਾਰ ਅਤੇ ਯਰੂਸ਼ਲਮ ਦੇ ਵੱਡੇ ਹੰਕਾਰ ਨੂੰ ਵਿਗਾੜ ਦਿਆਂਗਾ
[IRV | PA | OT | Jeremiah | Chapter 13 | Verse 10] ਇਹ ਬੁਰੀ ਪਰਜਾ ਜਿਹੜੀ ਮੇਰੀਆਂ ਗੱਲਾਂ ਸੁਣਨ ਤੋਂ ਮੁੱਕਰਦੀ ਹੈ ਅਤੇ ਆਪਣੇ ਦਿਲ ਦੀ ਆਕੜ ਵਿੱਚ ਚੱਲਦੀ ਹੈ, ਜਿਹੜੀ ਹੋਰਨਾਂ ਦੇਵਤਿਆਂ ਦੇ ਪਿੱਛੇ ਚੱਲਦੀ, ਉਹਨਾਂ ਦੀ ਪੂਜਾ ਕਰਦੀ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਮੱਥਾ ਟੇਕਦੀ ਹੈ, ਉਹ ਇਸ ਕਮਰ ਕੱਸੇ ਵਾਂਗੂੰ ਹੈ ਜਿਹੜਾ ਕਿਸੇ ਕੰਮ ਦਾ ਨਹੀਂ
[IRV | PA | OT | Jeremiah | Chapter 13 | Verse 11] ਕਿਉਂ ਜੋ ਜਿਵੇਂ ਕਮਰ ਕੱਸਾ ਕਿਸੇ ਮਨੁੱਖ ਦੇ ਲੱਕ ਨਾਲ ਬੱਝਾ ਰਹਿੰਦਾ ਹੈ ਤਿਵੇਂ ਇਸਰਾਏਲ ਦਾ ਸਾਰਾ ਘਰਾਣਾ ਅਤੇ ਯਹੂਦਾਹ ਦਾ ਸਾਰਾ ਘਰਾਣਾ ਮੇਰੇ ਨਾਲ ਬਝੇ ਰਹਿਣ, ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ, ਭਈ ਉਹ ਮੇਰੇ ਲਈ ਪਰਜਾ, ਨਾਮ, ਉਸਤਤ ਅਤੇ ਸੁਹੱਪਣ ਹੋਣ ਪਰ ਉਹਨਾਂ ਨੇ ਨਾ ਮੰਨਿਆ l
