[IRV | PA | OT | Jeremiah | Chapter 48 | Verse 1] ਮੋਆਬ ਦੇ ਵਿਖੇ, ਸੈਨਾਂ ਦਾ ਯਹੋਵਾਹ ਇਸਰਾਏਲ ਦਾ ਪਰਮੇਸ਼ੁਰ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ, ਨਬੋ ਲਈ ਅਫ਼ਸੋਸ! ਉਹ ਵਿਰਾਨ ਜੋ ਹੋ ਗਿਆ, ਕਿਰਯਾਤਾਇਮ ਸ਼ਰਮਿੰਦਾ ਹੋਇਆ, ਉਹ ਲੈ ਗਿਆ, ਉੱਚਾ ਬੁਰਜ ਵੀ ਸ਼ਰਮਿੰਦਾ ਹੋਇਆ ਅਤੇ ਘਬਰਾ ਗਿਆ।
[IRV | PA | OT | Jeremiah | Chapter 48 | Verse 2] ਮੋਆਬ ਦੀ ਵਡਿਆਈ ਫੇਰ ਨਾ ਹੋਵੇਗੀ, ਹਸ਼ਬੋਨ ਵਿੱਚ ਉਹ ਦੇ ਵਿਰੁੱਧ ਬੁਰਿਆਈ ਦੀਆਂ ਜੁਗਤਾਂ ਕੀਤੀਆਂ ਗਈਆਂ ਹਨ, ਕਿ ਆਓ, ਅਸੀਂ ਉਹ ਨੂੰ ਕੌਮ ਹੋਣ ਤੋਂ ਕੱਟ ਸੁੱਟੀਏ! ਹੇ ਮਦਮੇਨ ਸ਼ਹਿਰ, ਤੂੰ ਵੀ ਚੁੱਪ ਕਰਾਇਆ ਜਾਵੇਂਗਾ, ਤਲਵਾਰ ਤੇਰਾ ਪਿੱਛਾ ਕਰੇਗੀ!
[IRV | PA | OT | Jeremiah | Chapter 48 | Verse 3] ਹੋਰੋਨਇਮ ਸ਼ਹਿਰ ਵਿੱਚੋਂ ਦੁਹਾਈ ਦੀ ਆਵਾਜ਼, ਉਜਾੜ ਅਤੇ ਭੰਨ ਤੋੜ!
[IRV | PA | OT | Jeremiah | Chapter 48 | Verse 4] ਮੋਆਬ ਭੰਨਿਆ ਤੋੜਿਆ ਗਿਆ, ਉਹ ਦੇ ਨਿਆਣਿਆਂ ਦਾ ਚਿੱਲਾਉਣਾ ਸੁਣਾਈ ਦਿੰਦਾ ਹੈ।
[IRV | PA | OT | Jeremiah | Chapter 48 | Verse 5] ਕਿਉਂ ਜੋ ਲੂਹੀਥ ਦੀ ਚੜ੍ਹਾਈ ਉੱਤੇ, ਉਹ ਰੋਂਦੇ-ਰੋਂਦੇ ਚੜ੍ਹਦੇ ਹਨ, ਹੋਰੋਨਇਮ ਦੀ ਉਤਰਾਈ ਉੱਤੇ ਤਾਂ ਉਹਨਾਂ ਨੇ ਭੰਨ ਤੋੜ ਦੀ ਦੁਹਾਈ ਦੇ ਦੁੱਖ ਨੂੰ ਸੁਣਿਆ ਹੈ।
[IRV | PA | OT | Jeremiah | Chapter 48 | Verse 6] ਨੱਠੋ! ਆਪਣੀਆਂ ਜਾਨਾਂ ਨੂੰ ਬਚਾਓ! ਉਜਾੜ ਵਿਚਲੇ ਸੁੱਕੇ ਰੁੱਖ ਵਾਂਗੂੰ ਹੋ ਜਾਓ!
[IRV | PA | OT | Jeremiah | Chapter 48 | Verse 7] ਇਸ ਲਈ ਕਿ ਤੂੰ ਆਪਣਿਆਂ ਕੰਮਾਂ ਅਤੇ ਆਪਣਿਆਂ ਖ਼ਜ਼ਾਨਿਆਂ ਉੱਤੇ ਭਰੋਸਾ ਕੀਤਾ ਹੈ, ਤੂੰ ਵੀ ਲੈ ਲਿਆ ਜਾਵੇਗਾ, ਕਮੋਸ਼ ਗ਼ੁਲਾਮੀ ਵਿੱਚ ਜਾਵੇਗਾ, ਉਹ ਦੇ ਜਾਜਕ ਅਤੇ ਉਹ ਦੇ ਸਰਦਾਰ ਇਕੱਠੇ।
[IRV | PA | OT | Jeremiah | Chapter 48 | Verse 8] ਬਰਬਾਦ ਕਰਨ ਵਾਲਾ ਹਰੇਕ ਸ਼ਹਿਰ ਉੱਤੇ ਆਵੇਗਾ, ਅਤੇ ਕੋਈ ਸ਼ਹਿਰ ਨਾ ਬਚੇਗਾ, ਵਾਦੀ ਮਿਟ ਜਾਵੇਗੀ, ਮੈਦਾਨ ਦਾ ਸੱਤਿਆਨਾਸ ਕੀਤਾ ਜਾਵੇਗਾ, ਜਿਵੇਂ ਯਹੋਵਾਹ ਨੇ ਆਖਿਆ ਹੈ।
[IRV | PA | OT | Jeremiah | Chapter 48 | Verse 9] ਮੋਆਬ ਨੂੰ ਖੰਭ ਲਾ ਦਿਓ, ਕਿ ਉਹ ਉੱਡ ਕੇ ਚਲਾ ਜਾਵੇ। ਉਹ ਦੇ ਸ਼ਹਿਰ ਵਿਰਾਨ ਹੋ ਜਾਣ, ਉਹਨਾਂ ਵਿੱਚ ਵੱਸਣ ਵਾਲਾ ਕੋਈ ਨਾ ਹੋਵੇ।
[IRV | PA | OT | Jeremiah | Chapter 48 | Verse 10] ਸਰਾਪੀ ਹੈ ਉਹ ਜਿਹੜਾ ਯਹੋਵਾਹ ਦਾ ਕੰਮ ਆਲਸੀ ਨਾਲ ਕਰਦਾ ਹੈ! ਅਤੇ ਸਰਾਪੀ ਹੈ ਉਹ ਜਿਹੜਾ ਆਪਣੀ ਤਲਵਾਰ ਨੂੰ ਲਹੂ ਵਹਾਉਣ ਤੋਂ ਰੋਕਦਾ ਹੈ!।
[IRV | PA | OT | Jeremiah | Chapter 48 | Verse 11] ਮੋਆਬ ਆਪਣੀ ਜੁਆਨੀ ਤੋਂ ਅਮਨ ਵਿੱਚ ਰਿਹਾ, ਉਸ ਆਪਣਾ ਫੋਗ ਰੱਖ ਛੱਡਿਆ, ਨਾ ਉਹ ਇੱਕ ਭਾਂਡੇ ਵਿੱਚੋਂ ਦੂਜੇ ਭਾਂਡੇ ਵਿੱਚ ਉਲੱਦਿਆ ਗਿਆ, ਨਾ ਉਹ ਗ਼ੁਲਾਮੀ ਵਿੱਚ ਗਿਆ, ਇਸ ਲਈ ਉਹ ਦਾ ਸੁਆਦ ਉਹ ਦੇ ਵਿੱਚ ਕਾਇਮ ਰਿਹਾ, ਅਤੇ ਉਹ ਦੀ ਵਾਸ਼ਨਾ ਨਾ ਬਦਲੀ।
