[IRV | PA | OT | Jeremiah | Chapter 17 | Verse 1] ਯਹੂਦਾਹ ਦਾ ਪਾਪ, ਲੋਹੇ ਦੀ ਕਲਮ ਅਤੇ ਹੀਰੇ ਦੀ ਨੋਕ ਨਾਲ ਲਿਖਿਆ ਗਿਆ, ਉਹਨਾਂ ਦੇ ਦਿਲ ਦੀ ਤਖ਼ਤੀ ਉੱਤੇ ਅਤੇ ਤੁਹਾਡੀਆਂ ਜਗਵੇਦੀਆਂ ਦੇ ਸਿੰਗਾਂ ਉੱਤੇ ਉੱਕਰਿਆ ਗਿਆ
[IRV | PA | OT | Jeremiah | Chapter 17 | Verse 2] ਉਹਨਾਂ ਦੇ ਪੁੱਤਰ ਹਰੇ ਰੁੱਖਾਂ ਕੋਲ ਪਹਾੜੀਆਂ ਉੱਤੇ ਅਤੇ ਉੱਚਿਆਈਆਂ ਉੱਤੇ ਉਹਨਾਂ ਦੀਆਂ ਜਗਵੇਦੀਆਂ ਅਤੇ ਟੁੰਡਾਂ ਨੂੰ ਚੇਤੇ ਕਰਦੇ ਹਨ
[IRV | PA | OT | Jeremiah | Chapter 17 | Verse 3] ਹੇ ਖੇਤ ਵਿਚਲੇ ਮੇਰੇ ਪਰਬਤ, ਤੇਰਾ ਮਾਲ ਅਤੇ ਤੇਰੇ ਸਾਰੇ ਖਜ਼ਾਨੇ, ਤੇਰੇ ਉੱਚੇ ਸਥਾਨ ਤੇਰੀਆਂ ਸਾਰੀਆਂ ਹੱਦਾਂ ਵਿੱਚ ਪਾਪ ਦੇ ਕਾਰਨ ਮੈਂ ਲੁੱਟੇ ਜਾਣ ਲਈ ਦੇ ਦਿਆਂਗਾ
[IRV | PA | OT | Jeremiah | Chapter 17 | Verse 4] ਤੂੰ ਆਪ ਹੀ ਆਪਣੀ ਮਿਰਾਸ ਨੂੰ ਜਿਹੜੀ ਮੈਂ ਤੈਨੂੰ ਦਿੱਤੀ ਛੱਡ ਦੇਵੇਂਗਾ ਅਤੇ ਉਸ ਦੇਸ ਵਿੱਚ ਜਿਹ ਨੂੰ ਤੂੰ ਨਹੀਂ ਜਾਣਦਾ ਮੈਂ ਤੈਥੋਂ ਤੇਰੇ ਵੈਰੀਆਂ ਦੀ ਟਹਿਲ ਕਰਾਵਾਂਗਾ ਕਿਉਂ ਜੋ ਤੁਸੀਂ ਮੇਰੇ ਕ੍ਰੋਧ ਦੀ ਅੱਗ ਭੜਕਾਈ ਹੈ ਜਿਹੜੀ ਸਦਾ ਬਲਦੀ ਰਹੇਗੀ।
[IRV | PA | OT | Jeremiah | Chapter 17 | Verse 5] ਯਹੋਵਾਹ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ, - ਸਰਾਪ ਉਸ ਮਰਦ ਉੱਤੇ ਜਿਹੜਾ ਆਦਮੀ ਦਾ ਭਰੋਸਾ ਕਰਦਾ ਹੈ, ਅਤੇ ਬਸ਼ਰ ਨੂੰ ਆਪਣੀ ਬਾਂਹ ਬਣਾਉਂਦਾ ਹੈ, ਜਿਹ ਦਾ ਦਿਲ ਯਹੋਵਾਹ ਵੱਲੋਂ ਫਿਰ ਜਾਂਦਾ ਹੈ!
[IRV | PA | OT | Jeremiah | Chapter 17 | Verse 6] ਉਹ ਥਲ ਦੇ ਰਤਮੇ ਵਾਂਗੂੰ ਹੈ, ਉਹ ਕੋਈ ਭਲਿਆਈ ਆਉਂਦੀ ਨਾ ਵੇਖੇਗਾ, ਉਹ ਉਜਾੜ ਦੇ ਸੜੇ ਹੋਏ ਥਾਵਾਂ ਵਿੱਚ ਵੱਸੇਗਾ, ਵਿਰਾਨ ਕੱਲਰ ਸ਼ੋਰ ਵਿੱਚ।
[IRV | PA | OT | Jeremiah | Chapter 17 | Verse 7] ਮੁਬਾਰਕ ਹੈ ਉਹ ਮਰਦ ਜਿਹ ਦਾ ਭਰੋਸਾ ਯਹੋਵਾਹ ਉੱਤੇ ਹੈ, ਜਿਹ ਦਾ ਭਰੋਸਾ ਯਹੋਵਾਹ ਹੈ!
[IRV | PA | OT | Jeremiah | Chapter 17 | Verse 8] ਉਹ ਉਸ ਰੁੱਖ ਵਾਂਗੂੰ ਹੈ ਜਿਹੜਾ ਪਾਣੀ ਉੱਤੇ ਲੱਗਿਆ ਹੋਇਆ ਹੈ, ਜਿਹੜਾ ਨਦੀ ਵੱਲ ਆਪਣੀਆਂ ਜੜ੍ਹਾਂ ਫੈਲਾਉਂਦਾ ਹੈ। ਜਦ ਗਰਮੀ ਆਵੇ ਤਾਂ ਉਸ ਨੂੰ ਡਰ ਨਹੀਂ, ਸਗੋਂ ਉਹ ਦੇ ਪੱਤੇ ਹਰੇ ਰਹਿੰਦੇ ਹਨ, ਔੜ ਦੇ ਸਾਲ ਉਹ ਨੂੰ ਚਿੰਤਾ ਨਾ ਹੋਵੇਗੀ, ਨਾ ਉਹ ਫਲ ਲਿਆਉਣ ਤੋਂ ਰੁਕੇਗਾ।
[IRV | PA | OT | Jeremiah | Chapter 17 | Verse 9] ਦਿਲ ਸਭ ਚੀਜ਼ਾਂ ਨਾਲੋਂ ਧੋਖੇਬਾਜ਼ ਹੈ, ਉਹ ਪੁੱਜ ਕੇ ਖ਼ਰਾਬ ਹੈ, ਉਹ ਨੂੰ ਕੌਣ ਜਾਣ ਸਕਦਾ ਹੈ?
[IRV | PA | OT | Jeremiah | Chapter 17 | Verse 10] ਮੈਂ ਯਹੋਵਾਹ ਦਿਲ ਨੂੰ ਪਰਖਦਾ ਹਾਂ, ਅਤੇ ਗੁਰਦਿਆਂ ਨੂੰ ਪਰਤਾਉਂਦਾ ਹਾਂ, ਭਈ ਹਰ ਮਨੁੱਖ ਨੂੰ ਉਹ ਦੇ ਚਾਲ-ਚਲਣ ਅਨੁਸਾਰ, ਅਤੇ ਉਹ ਦੇ ਕੰਮਾਂ ਦੇ ਫਲਾਂ ਅਨੁਸਾਰ ਬਦਲਾ ਦੇ।
[IRV | PA | OT | Jeremiah | Chapter 17 | Verse 11] ਉਹ ਆਦਮੀ ਜਿਹੜਾ ਇਨਸਾਫ਼ ਦੇ ਬਿਨਾਂ ਧਨ ਇਕੱਠਾ ਕਰਦਾ ਹੈ, ਉਸ ਤਿੱਤਰ ਵਰਗਾ ਹੋਵੇਗਾ ਜੋ ਉਹਨਾਂ ਆਂਡਿਆਂ ਉੱਤੇ ਬੈਠੇ ਜਿਹੜੇ ਉਹ ਨੇ ਨਹੀਂ ਦਿੱਤੇ। ਉਹ ਦੇ ਦਿਨਾਂ ਦੇ ਅੱਧ ਵਿੱਚ ਉਹ ਉਸ ਤੋਂ ਛੁੱਟ ਜਾਵੇਗਾ, ਅਤੇ ਓੜਕ ਨੂੰ ਉਹ ਮੂਰਖ ਬਣੇਗਾ।
