[IRV | PA | OT | Jeremiah | Chapter 46 | Verse 1] ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਜਿਹੜਾ ਕੌਮਾਂ ਦੇ ਬਾਰੇ ਯਿਰਮਿਯਾਹ ਨਬੀ ਨੂੰ ਆਇਆ।
[IRV | PA | OT | Jeremiah | Chapter 46 | Verse 2] ਮਿਸਰ ਲਈ। ਮਿਸਰ ਦੇ ਰਾਜੇ ਫ਼ਿਰਊਨ ਨਕੋਹ ਦੀ ਫੌਜ ਦੇ ਬਾਰੇ ਜਿਹੜੀ ਕਰਕਮੀਸ਼ ਵਿੱਚ ਦਰਿਆ ਫ਼ਰਾਤ ਉੱਤੇ ਸੀ ਜਿਹ ਨੂੰ ਬਾਬਲ ਦੇ ਰਾਜਾ ਨਬੂਕਦਨੱਸਰ ਨੇ ਯਹੂਦਾਹ ਦੇ ਰਾਜਾ ਯੋਸ਼ੀਯਾਹ ਦੇ ਪੁੱਤਰ ਯਹੋਯਾਕੀਮ ਦੇ ਚੌਥੇ ਸਾਲ ਵਿੱਚ ਫਤਹ ਕਰ ਲਿਆ ਸੀ, -
[IRV | PA | OT | Jeremiah | Chapter 46 | Verse 3] ਸਿਪਰ ਅਤੇ ਢਾਲ਼ ਤਿਆਰ ਕਰੋ, ਲੜਾਈ ਲਈ ਨੇੜੇ ਆਓ!
[IRV | PA | OT | Jeremiah | Chapter 46 | Verse 4] ਘੋੜਿਆਂ ਨੂੰ ਜੋਵੋ, ਹੇ ਅਸਵਾਰੋ, ਸਵਾਰ ਹੋਵੋ! ਟੋਪਾਂ ਨਾਲ ਖੜੇ ਹੋ ਜਾਓ, ਆਪਣਿਆਂ ਨੇਜ਼ਿਆਂ ਨੂੰ ਲਸ਼ਕਾਓ, ਸੰਜੋ ਨੂੰ ਪਹਿਨੋ!
[IRV | PA | OT | Jeremiah | Chapter 46 | Verse 5] ਮੈਂ ਇਹ ਕਿਉਂ ਵੇਖਿਆ? ਉਹ ਘਬਰਾਏ ਹੋਏ ਹਨ, ਅਤੇ ਪਿਛਾਹਾਂ ਨੂੰ ਮੁੜੇ ਹਨ। ਉਹਨਾਂ ਦੇ ਸੂਰਮੇ ਮਾਰੇ ਗਏ ਹਨ, ਉਹ ਛੇਤੀ ਨਾਲ ਨੱਠ ਗਏ, ਉਹ ਪਿੱਛੇ ਨਹੀਂ ਵੇਖਦੇ, - ਆਲੇ-ਦੁਆਲੇ ਭੈਅ ਹੈ! ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ।
[IRV | PA | OT | Jeremiah | Chapter 46 | Verse 6] ਛੋਹਲਾ ਨਾ ਨੱਠੇ, ਨਾ ਸੂਰਮਾ ਬਚੇ, - ਉੱਤਰ ਵਲ ਦਰਿਆ ਫ਼ਰਾਤ ਦੇ ਕੰਢੇ ਉੱਤੇ ਉਹਨਾਂ ਨੇ ਠੋਕਰ ਖਾਧੀ ਅਤੇ ਡਿੱਗ ਪਏ।
[IRV | PA | OT | Jeremiah | Chapter 46 | Verse 7] ਉਹ ਕੌਣ ਹੈ ਜਿਹੜਾ ਨੀਲ ਨਦੀ ਵਾਂਗੂੰ ਉੱਛਲਦਾ ਹੈ, ਨਦੀਆਂ ਵਾਂਗੂੰ ਜਿਹਨਾਂ ਦੇ ਪਾਣੀ ਠਾਠਾਂ ਮਾਰਦੇ ਹਨ?
[IRV | PA | OT | Jeremiah | Chapter 46 | Verse 8] ਮਿਸਰ ਨੀਲ ਨਦੀ ਵਾਂਗੂੰ ਉੱਛਲਦਾ ਹੈ, ਨਦੀਆਂ ਵਾਂਗੂੰ ਉਹ ਦੇ ਪਾਣੀ ਉੱਛਲਦੇ ਹਨ। ਉਸ ਆਖਿਆ, ਮੈਂ ਉੱਛਲਾਂਗਾ, ਮੈਂ ਧਰਤੀ ਨੂੰ ਢੱਕ ਲਵਾਂਗਾ, ਮੈਂ ਸ਼ਹਿਰ ਨੂੰ, ਉਹਨਾਂ ਦੇ ਵਾਸੀਆਂ ਨੂੰ ਨਾਸ ਕਰਾਂਗਾ!
[IRV | PA | OT | Jeremiah | Chapter 46 | Verse 9] ਹੇ ਘੋੜਿਓ, ਉਤਾਹਾਂ ਜਾਓ, ਹੇ ਰਥੋ, ਢਿਲਕਦੇ ਫਿਰੋ! ਸੂਰਮੇ ਬਾਹਰ ਨਿੱਕਲਣ, ਕੂਸ਼ੀ ਅਤੇ ਪੂਟੀ ਜਿਹਨਾਂ ਢਾਲਾਂ ਫੜ੍ਹੀਆਂ ਹੋਈਆਂ ਹਨ, ਲੂਦੀ ਜਿਹੜੇ ਧਣੁੱਖ ਨੂੰ ਫੜ੍ਹ ਕੇ ਝੁਕਾ ਲੈਂਦੇ ਹਨ।
[IRV | PA | OT | Jeremiah | Chapter 46 | Verse 10] ਉਹ ਸੈਨਾਂ ਦੇ ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਦਾ ਦਿਨ ਹੈ, ਇੱਕ ਬਦਲਾ ਲੈਣ ਦਾ ਦਿਨ, ਭਈ ਉਹ ਆਪਣੇ ਵਿਰੋਧੀਆਂ ਤੋਂ ਬਦਲਾ ਲਵੇ। ਤਲਵਾਰ ਖਾ ਕੇ ਰੱਜੇਗੀ, ਅਤੇ ਉਹਨਾਂ ਦੇ ਲਹੂ ਨਾਲ ਮਸਤ ਹੋਵੇਗੀ, ਕਿਉਂ ਜੋ ਸੈਨਾਂ ਦੇ ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਲਈ ਇੱਕ ਬਲੀ ਹੈ, ਉੱਤਰ ਦੇਸ ਵਿੱਚ ਫ਼ਰਾਤ ਦਰਿਆ ਕੋਲ।
[IRV | PA | OT | Jeremiah | Chapter 46 | Verse 11] ਗਿਲਆਦ ਨੂੰ ਚੜ੍ਹ ਜਾ ਅਤੇ ਬਲਸਾਨ ਲੈ, ਹੇ ਮਿਸਰ ਦੀਏ ਕੁਆਰੀਏ ਧੀਏ! ਤੂੰ ਏਵੇਂ ਬਹੁਤੀਆਂ ਦਵਾਈਆਂ ਵਰਤਦੀ ਹੈਂ, ਤੂੰ ਚੰਗੀ ਨਾ ਹੋਵੇਂਗੀ।
