[GNV | EN | OT | Ezra | Chapter 7 | Verse 1] Now after these things, in the reigne of Artahshashte King of Persia, was Ezra the sonne of Seraiah, the sonne of Azariah, the sonne of Hilkiah,
[GNV | EN | OT | Ezra | Chapter 7 | Verse 2] The sonne of Shallum, the sonne of Zadok, the sonne of Ahitub,
[GNV | EN | OT | Ezra | Chapter 7 | Verse 3] The sonne of Amariah, the sonne of Azariah, the sonne of Meraioth,
[GNV | EN | OT | Ezra | Chapter 7 | Verse 4] The sonne of Zeraiah, the sonne of Vzzi, the sonne of Bukki,
[GNV | EN | OT | Ezra | Chapter 7 | Verse 5] The sonne of Abishua, the sonne of Phinehas, the sonne of Eleazar, the sonne of Aaron, the chiefe Priest.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 6] This Ezra came vp from Babel, and was a Scribe prompt in the Lawe of Moses, which the Lord God of Israel had giuen, and the King gaue him all his request according to the hande of the Lord his God which was vpon him.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 7] And there went vp certaine of the children of Israel, and of the Priests, and the Leuites, and the singers, and the porters, and the Nethinims vnto Ierusalem, in the seuenth yere of King Artahshashte.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 8] And hee came to Ierusalem in the fift moneth, which was in the seuenth yeere of the King.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 9] For vpon the first day of the first moneth began he to goe vp from Babel, and on the first day of the fift moneth came he to Ierusalem, according to the good hande of his God that was vpon him.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 10] For Ezra had prepared his heart to seeke the Lawe of the Lord, and to doe it, and to teach the precepts and iudgements in Israel.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 11] And this is the copie of the letter that King Artahshashte gaue vnto Ezra the Priest and scribe, euen a writer of the words of the commadements of ye Lord, and of his statutes ouer Israel.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 12] ARTAHSHASHTE King of Kings to Ezra the Priest and perfite scribe of the Lawe of the God of heauen, and to Cheeneth.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 13] I haue giuen commandement, that euery one, that is willing in my kingdome of the people of Israel, and of the Priestes, and Leuites to goe to Ierusalem with thee, shall goe.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 14] Therefore art thou sent of the King and his seuen counsellers, to enquire in Iudah and Ierusalem, according to the lawe of thy God, which is in thine hand,
[GNV | EN | OT | Ezra | Chapter 7 | Verse 15] And to carry the siluer and the gold, which the King and his cousellers willingly offer vnto the God of Israel (whose habitation is in Ierusalem)
[GNV | EN | OT | Ezra | Chapter 7 | Verse 16] And all the siluer and gold that thou canst finde in all the prouince of Babel, with the free offring of the people, and that which the Priestes offer willingly to the house of their God which is in Ierusalem,
[GNV | EN | OT | Ezra | Chapter 7 | Verse 17] That thou mayest bye speedily with this siluer, bullocks, rammes, lambes, with their meate offrings and their drinke offrings: and thou shalt offer them vpon the altar of the house of your God, which is in Ierusalem.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 18] And whatsoeuer it pleaseth thee and thy brethren to do with the rest of the siluer, and gold, doe ye it according to the will of your God.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 19] And the vessels that are giuen thee for the seruice of the house of thy God, those deliuer thou before God in Ierusalem.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 20] And the residue that shall be needeful for the house of thy God, which shall be meete for thee to bestowe, thou shalt bestowe it out of the Kings treasure house,
[GNV | EN | OT | Ezra | Chapter 7 | Verse 21] And I King Artahshashte haue giuen commandemet to all the treasurers which are beyond the Riuer, that whatsoeuer Ezra the Priest and Scribe of the Law of the God of heauen shall require of you, that it be done incontinently,
[GNV | EN | OT | Ezra | Chapter 7 | Verse 22] Vnto an hundreth talents of siluer, vnto an hundreth measures of wheate, and vnto an hundreth baths of wine, and vnto an hundreth baths of oyle, and salt without writing.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 23] Whatsoeuer is by the commandement of the God of heauen, let it be done speedily for the house of the God of heauen: for why should he be wroth against the realme of the King, and his children?
[GNV | EN | OT | Ezra | Chapter 7 | Verse 24] And we certifie you, that vpon any of the Priestes, Leuites, singers, porters, Nethinims, or Ministers in this house of God, there shall no gouernour laye vpon them tolle, tribute nor custome.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 25] And thou Ezra (after the wisedome of thy God, that is in thine hand) set iudges and arbiters, which may iudge all the people that is beyond the Riuer, euen all that knowe the Lawe of thy God, and teach ye them that know it not.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 26] And whosoeuer will not doe the Lawe of thy God, and the Kings lawe, let him haue iudgement without delay, whether it be vnto death, or to banishment, or to confiscation of goods, or to imprisonment.
[GNV | EN | OT | Ezra | Chapter 7 | Verse 27] Blessed be the Lord God of our fathers, which so hath put in the Kings heart, to beautifie the house of the Lord that is in Ierusalem,
[GNV | EN | OT | Ezra | Chapter 7 | Verse 28] And hath enclined mercy toward me, before the King and his counsellers, and before all the Kings mightie Princes: and I was comforted by the hand of the Lord my God which was vpon me, and I gathered the chiefe of Israel to goe vp with me.
