[GNV | EN | OT | Ezra | Chapter 2 | Verse 1] These also are the sonnes of the prouince, that went vp out of the captiuitie (whome Nebuchadnezzar King of Babel had caried away vnto Babel) and returned to Ierusalem, and to Iudah, euery one vnto his citie,
[GNV | EN | OT | Ezra | Chapter 2 | Verse 2] Which came with Zerubbabel, to wit, Ieshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Biguai, Rehum, Baanah. The number of the men of the people of Israel was,
[GNV | EN | OT | Ezra | Chapter 2 | Verse 3] The sonnes of Parosh, two thousand, an hudreth seuentie and two:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 4] The sonnes of Shephatiah, three hundreth, seuentie and two:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 5] The sonnes of Arah, seuen hundreth, and seuentie and fiue:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 6] The sonnes of Pahath Moab, of the sonnes of Ieshua and Ioab, two thousand, eight hundreth and twelue:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 7] The sonnes of Elam, a thousande, two hundreth and foure and fiftie:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 8] The sonnes of Zattu, nine hundreth and fiue and fourtie:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 9] The sonnes of Zaccai, seuen hundreth and threescore:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 10] The sonnes of Bani, sixe hundreth and two and fourtie:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 11] The sonnes of Bebai, sixe hundreth, and three and twentie:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 12] The sonnes of Azgad a thousand, two hundreth and two and twentie:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 13] The sonnes of Adonikam, sixe hundreth, three score and sixe:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 14] The sonnes of Biguai, two thousand, and sixe and fiftie:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 15] The sonnes of Adin, foure hundreth and foure and fiftie:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 16] The sonnes of Ater of Hizkiah, ninetie and eight:
[GNV | EN | OT | Ezra | Chapter 2 | Verse 17] The sonnes of Bezai, three hundreth and three and twentie:
