[IRV | ML | OT | Proverbs | Chapter 4 | Verse 1] മക്കളേ, അപ്പന്റെ പ്രബോധനം കേട്ടു വിവേകം പ്രാപിക്കേണ്ടതിന്നു ശ്രദ്ധിപ്പിൻ.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 2] ഞാൻ നിങ്ങൾക്കു സൽബുദ്ധി ഉപദേശിച്ചുതരുന്നു; എന്റെ ഉപദേശം നിങ്ങൾ ഉപേക്ഷിക്കരുതു.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 3] ഞാൻ എന്റെ അപ്പന്നു മകനും എന്റെ അമ്മെക്കു ഓമനയും ഏകപുത്രനും ആയിരുന്നു;
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 4] അവൻ എന്നെ പഠിപ്പിച്ചു, എന്നോടു പറഞ്ഞതു: എന്റെ വചനങ്ങളെ ഹൃദയത്തിൽ സംഗ്രഹിച്ചുകൊൾക; എന്റെ കല്പനകളെ പ്രമാണിച്ചു ജീവിക്ക.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 5] ജ്ഞാനം സമ്പാദിക്ക: വിവേകം നേടുക; മറക്കരുതു; എന്റെ വചനങ്ങളെ വിട്ടുമാറുകയുമരുതു.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 6] അതിനെ ഉപേക്ഷിക്കരുതു; അതു നിന്നെ കാക്കും; അതിൽ പ്രിയം വെക്കുക; അതു നിന്നെ സൂക്ഷിക്കും;
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 7] ജ്ഞാനംതന്നേ പ്രധാനം; ജ്ഞാനം സമ്പാദിക്ക; നിന്റെ സകലസമ്പാദ്യത്താലും വിവേകം നേടുക.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 8] അതിനെ ഉയർത്തുക; അതു നിന്നെ ഉയർത്തും; അതിനെ ആലിംഗനം ചെയ്താൽ അതു നിനക്കു മാനം വരുത്തും.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 9] അതു നിന്റെ തലയെ അലങ്കാരമാല അണിയിക്കും; അതു നിന്നെ ഒരു മഹത്വകിരീടം ചൂടിക്കും.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 10] മകനേ കേട്ടു എന്റെ വചനങ്ങളെ കൈക്കൊൾക; എന്നാൽ നിനക്കു ദീർഘായുസ്സുണ്ടാകും.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 11] ജ്ഞാനത്തിന്റെ മാർഗ്ഗം ഞാൻ നിന്നെ ഉപദേശിക്കുന്നു; നേരെയുള്ള പാതയിൽ ഞാൻ നിന്നെ നടത്തുന്നു.
