[IRV | ML | OT | Proverbs | Chapter 20 | Verse 1] വീഞ്ഞു പരിഹാസിയും മദ്യം കലഹക്കാരനും ആകുന്നു; അതിനാൽ ചാഞ്ചാടി നടക്കുന്ന ആരും ജ്ഞാനിയാകയില്ല.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 2] രാജാവിന്റെ ഭീഷണം സിംഹഗർജ്ജനംപോലെ; അവനെ കോപിപ്പിക്കുന്നവൻ തന്റെ പ്രാണനോടു ദ്രോഹം ചെയ്യുന്നു.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 3] വ്യവഹാരം ഒഴിഞ്ഞിരിക്കുന്നതു പുരുഷന്നു മാനം; എന്നാൽ ഏതു ഭോഷനും ശണ്ഠകൂടും.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 4] മടിയൻ ശീതംനിമിത്തം ഉഴാതിരിക്കുന്നു; കൊയ്ത്തുകാലത്തു അവൻ ഇരക്കും; ഒന്നും കിട്ടുകയുമില്ല.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 5] മനുഷ്യന്റെ ഹൃദയത്തിലെ ആലോചന ആഴമുള്ള വെള്ളം; വിവേകമുള്ള പുരുഷനോ അതു കോരി എടുക്കും.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 6] മിക്ക മനുഷ്യരും തങ്ങളോടു ദയാലുവായ ഒരുത്തനെ കാണും; എന്നാൽ വിശ്വസ്തനായ ഒരുത്തനെ ആർ കണ്ടെത്തും?
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 7] പരമാർത്ഥതയിൽ നടക്കുന്നവൻ നീതിമാൻ; അവന്റെ ശേഷം അവന്റെ മക്കളും ഭാഗ്യവാന്മാർ.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 8] ന്യായാസനത്തിൽ ഇരിക്കുന്ന രാജാവു തന്റെ കണ്ണുകൊണ്ടു സകലദോഷത്തെയും പേറ്റിക്കളയുന്നു.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 9] ഞാൻ എന്റെ ഹൃദയത്തെ ശുദ്ധീകരിച്ചു പാപം ഒഴിഞ്ഞു നിർമ്മലനായിരിക്കുന്നു എന്നു ആർക്കു പറയാം?
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 10] രണ്ടുതരം തൂക്കവും രണ്ടുതരം അളവും രണ്ടും ഒരുപോലെ യഹോവെക്കു വെറുപ്പു.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 11] ബാല്യത്തിലെ ക്രിയകളാൽ തന്നേ ഒരുത്തന്റെ പ്രവൃത്തി വെടിപ്പും നേരുമുള്ളതാകുമോ എന്നു അറിയാം.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 12] കേൾക്കുന്ന ചെവി, കാണുന്ന കണ്ണു, ഇവ രണ്ടും യഹോവ ഉണ്ടാക്കി.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 13] ദരിദ്രനാകാതെയിരിക്കേണ്ടതിന്നു നിദ്രാപ്രിയനാകരുതു; നീ കണ്ണു തുറക്ക; നിനക്കു വേണ്ടുവോളം ആഹാരം ഉണ്ടാകും.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 14] വിലെക്കു വാങ്ങുന്നവൻ ചീത്തചീത്ത എന്നു പറയുന്നു; വാങ്ങി തന്റെ വഴിക്കു പോകുമ്പോഴോ അവൻ പ്രശംസിക്കുന്നു.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 15] പൊന്നും അനവധി മുത്തുകളും ഉണ്ടല്ലോ; പരിജ്ഞാനമുള്ള അധരങ്ങളോ വിലയേറിയ ആഭരണം.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 16] അന്യന്നു വേണ്ടി ജാമ്യം നില്ക്കുന്നവന്റെ വസ്ത്രം എടുത്തുകൊൾക; അന്യജാതിക്കാരന്നു വേണ്ടി ഉത്തരവാദി ആകുന്നവനോടു പണയം വാങ്ങുക.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 17] വ്യാജത്താൽ നേടിയ ആഹാരം മനുഷ്യന്നു മധുരം; പിന്നത്തേതിലോ അവന്റെ വായിൽ ചരൽ നിറയും.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 18] ഉദ്ദേശങ്ങൾ ആലോചനകൊണ്ടു സാധിക്കുന്നു; ആകയാൽ ഭരണസാമർത്ഥ്യത്തോടെ യുദ്ധം ചെയ്ക.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 19] നുണയനായി നടക്കുന്നവൻ രഹസ്യം വെളിപ്പെടുത്തുന്നു; ആകയാൽ വിടുവായനോടു ഇടപെടരുതു.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 20] ആരെങ്കിലും അപ്പനെയോ അമ്മയെയോ ദുഷിച്ചാൽ അവന്റെ വിളക്കു കൂരിരുട്ടിൽ കെട്ടുപോകും.
