[IRV | ML | OT | Proverbs | Chapter 1 | Verse 1] യിസ്രായേൽരാജാവായി ദാവീദിന്റെ മകനായ ശലോമോന്റെ സദൃശവാക്യങ്ങൾ.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 2] ജ്ഞാനവും പ്രബോധനവും പ്രാപിപ്പാനും വിവേകവചനങ്ങളെ ഗ്രഹിപ്പാനും
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 3] പരിജ്ഞാനം, നീതി, ന്യായം, നേർ എന്നിവെക്കായി പ്രബോധനം ലഭിപ്പാനും
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 4] അല്പബുദ്ധികൾക്കു സൂക്ഷ്മബുദ്ധിയും ബാലന്നു പരിജ്ഞാനവും വകതിരിവും നല്കുവാനും
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 5] ജ്ഞാനി കേട്ടിട്ടു വിദ്യാഭിവൃദ്ധി പ്രാപിപ്പാനും, ബുദ്ധിമാൻ സദുപദേശം സമ്പാദിപ്പാനും
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 6] സദൃശവാക്യങ്ങളും അലങ്കാരവചനങ്ങളും ജ്ഞാനികളുടെ മൊഴികളും കടങ്കഥകളും മനസ്സിലാക്കുവാനും അവ ഉതകുന്നു.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 7] യഹോവാഭക്തി ജ്ഞാനത്തിന്റെ ആരംഭമാകുന്നു; ഭോഷന്മാരോ ജ്ഞാനവും പ്രബോധനവും നിരസിക്കുന്നു.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 8] മകനേ, അപ്പന്റെ പ്രബോധനം കേൾക്ക; അമ്മയുടെ ഉപദേശം ഉപേക്ഷിക്കയുമരുതു;
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 9] അവ നിന്റെ ശിരസ്സിന്നു അലങ്കാരമാലയും നിന്റെ കഴുത്തിന്നു സരപ്പളിയും ആയിരിക്കും.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 10] മകനേ, പാപികൾ നിന്നെ വശീകരിച്ചാൽ വഴിപ്പെട്ടുപോകരുതു.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 11] ഞങ്ങളോടുകൂടെ വരിക; നാം രക്തത്തിന്നായി പതിയിരിക്ക; നിർദ്ദോഷിയെ കാരണം കൂടാതെ പിടിപ്പാൻ ഒളിച്ചിരിക്ക.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 12] പാതാളംപോലെ അവരെ ജീവനോടെയും കുഴിയിൽ ഇറങ്ങുന്നവരെപ്പോലെ അവരെ സർവ്വാംഗമായും വിഴുങ്ങിക്കളക.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 13] നമുക്കു വിലയേറിയ സമ്പത്തൊക്കെയും കിട്ടും; നമ്മുടെ വീടുകളെ കൊള്ളകൊണ്ടു നിറെക്കാം.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 14] നിനക്കു ഞങ്ങളോടുകൂടെ സമാംശം കിട്ടും; നമുക്കു എല്ലാവർക്കും സഞ്ചി ഒന്നായിരിക്കും; എന്നിങ്ങനെ അവർ പറഞ്ഞാൽ,
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 15] മകനേ, നീ അവരുടെ വഴിക്കു പോകരുതു; നിന്റെ കാൽ അവരുടെ പാതയിൽ വെക്കയുമരുതു.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 16] അവരുടെ കാൽ ദോഷം ചെയ്‌വാൻ ഓടുന്നു; രക്തം ചൊരിയിപ്പാൻ അവർ ബദ്ധപ്പെടുന്നു.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 17] പക്ഷി കാൺകെ വലവിരിക്കുന്നതു വ്യർത്ഥമല്ലോ.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 18] അവർ സ്വന്ത രക്തത്തിന്നായി പതിയിരിക്കുന്നു; സ്വന്തപ്രാണഹാനിക്കായി ഒളിച്ചിരിക്കുന്നു.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 19] ദുരാഗ്രഹികളായ ഏവരുടെയും വഴികൾ അങ്ങനെ തന്നേ; അതു അവരുടെ ജീവനെ എടുത്തുകളയുന്നു.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 20] ജ്ഞാനമായവൾ വീഥിയിൽ ഘോഷിക്കുന്നു; വിശാലസ്ഥലത്തു സ്വരം കേൾപ്പിക്കുന്നു.
