[DRA | EN | OT | Job | Chapter 5 | Verse 1] Call now if there be any that will answer thee, and turn to some of the saints.
[DRA | EN | OT | Job | Chapter 5 | Verse 2] Anger indeed killeth the foolish, and envy slayeth the little one.
[DRA | EN | OT | Job | Chapter 5 | Verse 3] I have seen a fool with a strong root, and I cursed his beauty immediately.
[DRA | EN | OT | Job | Chapter 5 | Verse 4] His children shall be far from safety, and shall be destroyed in the gate, and there shall be none to deliver them.
[DRA | EN | OT | Job | Chapter 5 | Verse 5] Whose harvest the hungry shall eat, and the armed man shall take him by violence, and the thirsty shall drink up his riches.
[DRA | EN | OT | Job | Chapter 5 | Verse 6] Nothing upon earth is done without a voice cause, and sorrow doth not spring out of the ground.
[DRA | EN | OT | Job | Chapter 5 | Verse 7] Man is born to labour and the bird to fly.
[DRA | EN | OT | Job | Chapter 5 | Verse 8] Wherefore I will pray to the Lord, and address my speech to God:
[DRA | EN | OT | Job | Chapter 5 | Verse 9] Who doth great things and unsearchable and wonderful things without number:
[DRA | EN | OT | Job | Chapter 5 | Verse 10] Who giveth rain upon the face of the earth, and watereth all things with waters:
[DRA | EN | OT | Job | Chapter 5 | Verse 11] Who setteth up the humble on high, and comforteth with health those that mourn.
[DRA | EN | OT | Job | Chapter 5 | Verse 12] Who bringeth to nought the designs of the malignant, so that their hands cannot accomplish what they had begun:
[DRA | EN | OT | Job | Chapter 5 | Verse 13] Who catcheth the wise in their craftiness, and disappointeth the counsel of the wicked:
[DRA | EN | OT | Job | Chapter 5 | Verse 14] They shall meet with darkness in the day, and grope at noonday as in the night.
[DRA | EN | OT | Job | Chapter 5 | Verse 15] But he shall save the needy from the sword of their mouth, and the poor from the hand of the violent.
[DRA | EN | OT | Job | Chapter 5 | Verse 16] And to the needy there shall he hope, but iniquity shall draw in her mouth.
[DRA | EN | OT | Job | Chapter 5 | Verse 17] Blessed is the mall whom God correcteth: refuse not therefore the chastising of the lord:
[DRA | EN | OT | Job | Chapter 5 | Verse 18] For he woundeth, and cureth: he striketh, and his hands shall heal.
[DRA | EN | OT | Job | Chapter 5 | Verse 19] In six troubles he shall deliver thee, and in the seventh, evil shall not touch thee.
[DRA | EN | OT | Job | Chapter 5 | Verse 20] In famine he shall deliver thee from death: and in battle, from the hand of the sword.
[DRA | EN | OT | Job | Chapter 5 | Verse 21] Thou shalt he hidden from the scourge of the tongue: and thou shalt not fear calamity when it cometh.
[DRA | EN | OT | Job | Chapter 5 | Verse 22] In destruction and famine then shalt laugh: and thou shalt not be afraid of the beasts of the earth.
[DRA | EN | OT | Job | Chapter 5 | Verse 23] But thou shalt have a covenant with the stones of the lands, and the beasts of the earth shall be at pence with thee.
[DRA | EN | OT | Job | Chapter 5 | Verse 24] And thou shalt know that thy tabernacle is in peace, and visiting thy beauty thou shalt not sin.
[DRA | EN | OT | Job | Chapter 5 | Verse 25] Thou shalt know also that thy seed shall be multiplied, and thy offspring like the grass of the earth.
[DRA | EN | OT | Job | Chapter 5 | Verse 26] Thou shalt enter into the grave in abundance, as a heap of wheat is brought in its season.
[DRA | EN | OT | Job | Chapter 5 | Verse 27] Behold, this is even so, as we have searched out: which thou having heard, consider it thoroughly in thy mind.
