[DRA | EN | OT | Job | Chapter 41 | Verse 1] I will not stir him up, like one that is cruel: for who can resist my countenance?
[DRA | EN | OT | Job | Chapter 41 | Verse 2] Who hath given me before that I should repay him? All things that are under heaven are mine.
[DRA | EN | OT | Job | Chapter 41 | Verse 3] I will not spare him, nor his mighty words, and framed to make supplication.
[DRA | EN | OT | Job | Chapter 41 | Verse 4] Who can discover the face of his garment? or who can go into the midst of his mouth?
[DRA | EN | OT | Job | Chapter 41 | Verse 5] Who can open the doors of his face? his teeth are terrible round about.
[DRA | EN | OT | Job | Chapter 41 | Verse 6] His body is like molten shields, shut close up with scales pressing upon one another.
[DRA | EN | OT | Job | Chapter 41 | Verse 7] One is joined to another, and not so much as any air can come between them:
[DRA | EN | OT | Job | Chapter 41 | Verse 8] They stick one to another and they hold one another fast, and shall not be separated.
[DRA | EN | OT | Job | Chapter 41 | Verse 9] His sneezing is like the shining of fire, and his eyes like the eyelids of the morning.
[DRA | EN | OT | Job | Chapter 41 | Verse 10] Out of his mouth go forth lamps, like torches of lighted fire.
[DRA | EN | OT | Job | Chapter 41 | Verse 11] Out of his nostrils goeth smoke, like that of a pot heated and boiling.
[DRA | EN | OT | Job | Chapter 41 | Verse 12] His breath kindleth coals, and a flame cometh forth out of his mouth.
[DRA | EN | OT | Job | Chapter 41 | Verse 13] In his neck strength shall dwell, and want goeth before his face.
[DRA | EN | OT | Job | Chapter 41 | Verse 14] The members of his flesh cleave one to another: he shall send lightnings against him, and they shall not be carried to another place.
[DRA | EN | OT | Job | Chapter 41 | Verse 15] His heart shall be as hard as a stone, and as firm as a smith’s anvil.
[DRA | EN | OT | Job | Chapter 41 | Verse 16] When he shall raise him up, the angels shall fear, and being affrighted shall purify themselves.
[DRA | EN | OT | Job | Chapter 41 | Verse 17] When a sword shall lay at him, it shall not be able to hold, nor a spear, nor a breastplate.
[DRA | EN | OT | Job | Chapter 41 | Verse 18] For he shall esteem iron as straw, and brass as rotten wood.
[DRA | EN | OT | Job | Chapter 41 | Verse 19] The archer shall not put him to flight, the stones of the sling are to him like stubble.
[DRA | EN | OT | Job | Chapter 41 | Verse 20] As stubble will he esteem the hammer, and he will laugh him to scorn who shaketh the spear.
[DRA | EN | OT | Job | Chapter 41 | Verse 21] The beams of the sun shall be under him, and he shall strew gold under him like mire.
[DRA | EN | OT | Job | Chapter 41 | Verse 22] He shall make the deep sea to boil like a pot, and shall make it as when ointments boil.
[DRA | EN | OT | Job | Chapter 41 | Verse 23] A path shall shine after him, he shall esteem the deep as growing old.
[DRA | EN | OT | Job | Chapter 41 | Verse 24] There is no power upon earth that can be compared with him who was made to fear no one.
[DRA | EN | OT | Job | Chapter 41 | Verse 25] He beholdeth every high thing, he is king over all the children of pride.
