[DRA | EN | OT | Job | Chapter 13 | Verse 1] Behold my eye hath seen all these things, and my ear hath heard them, and I have understood them all.
[DRA | EN | OT | Job | Chapter 13 | Verse 2] According to your knowledge I also know: neither am I inferior to you.
[DRA | EN | OT | Job | Chapter 13 | Verse 3] But yet I will speak to the Almighty, and I desire to reason with God.
[DRA | EN | OT | Job | Chapter 13 | Verse 4] Having first shewn that you are forgers of lies, and maintainers of perverse opinions.
[DRA | EN | OT | Job | Chapter 13 | Verse 5] And I wish you would hold your peace, that you might be thought to be wise men.
[DRA | EN | OT | Job | Chapter 13 | Verse 6] Hear ye therefore my reproof, and attend to the judgment of my lips.
[DRA | EN | OT | Job | Chapter 13 | Verse 7] Hath God any need of your lie, that you should speak deceitfully for him?
[DRA | EN | OT | Job | Chapter 13 | Verse 8] Do you accept his person, and do you endeavour to judge for God?
[DRA | EN | OT | Job | Chapter 13 | Verse 9] Or shall it please him, from whom nothing can be concealed? or shall he be deceived as a man, with your deceitful dealings?
[DRA | EN | OT | Job | Chapter 13 | Verse 10] He shall reprove you, because in secret you accept his person.
[DRA | EN | OT | Job | Chapter 13 | Verse 11] As soon as he shall move himself, he shall trouble you: and his dread shall fall upon you.
[DRA | EN | OT | Job | Chapter 13 | Verse 12] Your remembrance shall be compared to ashes, and your necks shall be brought to clay.
[DRA | EN | OT | Job | Chapter 13 | Verse 13] Hold your peace a little while, that I may speak whatsoever my mind shall suggest to me.
[DRA | EN | OT | Job | Chapter 13 | Verse 14] Why do I tear my flesh with my teeth, and carry my soul in my hands?
[DRA | EN | OT | Job | Chapter 13 | Verse 15] Although he should bill me, I will trust in him: but yet I will reprove my ways in his sight.
[DRA | EN | OT | Job | Chapter 13 | Verse 16] And he shall be my saviour: for no hypocrite shall come before his presence.
[DRA | EN | OT | Job | Chapter 13 | Verse 17] Hear ye my speech, and receive with Sour ears hidden truths.
[DRA | EN | OT | Job | Chapter 13 | Verse 18] If I shall be judged, I know that I shall be found just.
[DRA | EN | OT | Job | Chapter 13 | Verse 19] Who is he that will plead against me? let him come: why am I consumed holding my peace?
[DRA | EN | OT | Job | Chapter 13 | Verse 20] Two things only do not to me, and then from thy face I shall not be hid:
[DRA | EN | OT | Job | Chapter 13 | Verse 21] Withdraw thy hand far from me, and let not thy dread terrify me.
[DRA | EN | OT | Job | Chapter 13 | Verse 22] Call me, and I will answer thee: or else I will speak, and do thou answer me.
[DRA | EN | OT | Job | Chapter 13 | Verse 23] How many are my iniquities and sins? make me know my crimes and offences.
[DRA | EN | OT | Job | Chapter 13 | Verse 24] Why hidest thou thy face, and thinkest me thy enemy?
[DRA | EN | OT | Job | Chapter 13 | Verse 25] Against a leaf, that is carried away with the wind, thou shewest thy power, and thou pursuest a dry straw.
[DRA | EN | OT | Job | Chapter 13 | Verse 26] For thou writest bitter things against me, and wilt consume me for the sins of my youth.
[DRA | EN | OT | Job | Chapter 13 | Verse 27] Thou hast put my feet in the stocks, and hast observed all my paths, and hast considered the steps of my feet:
[DRA | EN | OT | Job | Chapter 13 | Verse 28] Who am to be consumed as rottenness, and as a garment that is moth-eaten.
