[DRA | EN | OT | Job | Chapter 17 | Verse 1] My spirit shall be wasted, my days shall be shortened, and only the grave remaineth for me.
[DRA | EN | OT | Job | Chapter 17 | Verse 2] I have not sinned, and my eye abideth in bitterness.
[DRA | EN | OT | Job | Chapter 17 | Verse 3] Deliver me O Lord, and set me beside thee, and let any man’s hand fight against me.
[DRA | EN | OT | Job | Chapter 17 | Verse 4] Thou hast set their heart far from understanding, therefore they shall not be exalted.
[DRA | EN | OT | Job | Chapter 17 | Verse 5] He promiseth a prey to his companions, and the eyes of his children shall fail.
[DRA | EN | OT | Job | Chapter 17 | Verse 6] He hath made me as it were a byword of the people, and I am an example before them.
[DRA | EN | OT | Job | Chapter 17 | Verse 7] My eye is dim through indignation, and my limbs are brought as it were to nothing.
[DRA | EN | OT | Job | Chapter 17 | Verse 8] The just shall be astonished at this, and the innocent shall be raised up against the hypocrite.
[DRA | EN | OT | Job | Chapter 17 | Verse 9] And the just man shall hold on his way, and he that hath clean hands shall be stronger and stronger.
[DRA | EN | OT | Job | Chapter 17 | Verse 10] Wherefore be you all converted, and come, and I shall not find among you any wise man.
[DRA | EN | OT | Job | Chapter 17 | Verse 11] My days have passed away, my thoughts are dissipated, tormenting my heart.
[DRA | EN | OT | Job | Chapter 17 | Verse 12] They have turned night into day, and after darkness I hope for light again.
[DRA | EN | OT | Job | Chapter 17 | Verse 13] If I wait hell is my house, and I have made my bed in darkness.
[DRA | EN | OT | Job | Chapter 17 | Verse 14] If I have said to rottenness: Thou art my father; to worms, my mother and my sister.
[DRA | EN | OT | Job | Chapter 17 | Verse 15] Where is now then my expectation, and who considereth my patience?
[DRA | EN | OT | Job | Chapter 17 | Verse 16] All that I have shall go down into the deepest pit: thinkest thou that there at least I shall have rest?
