[DRA | EN | OT | Job | Chapter 39 | Verse 1] Knowest thou the time when the wild goats bring forth among the rocks, or hast thou observed the hinds when they fawn?
[DRA | EN | OT | Job | Chapter 39 | Verse 2] Hast thou numbered the months of their conceiving, or knowest thou the time when they bring forth?
[DRA | EN | OT | Job | Chapter 39 | Verse 3] They bow themselves to bring forth young, and they cast them, and send forth roarings.
[DRA | EN | OT | Job | Chapter 39 | Verse 4] Their young are weaned and go to feed: they go forth, and return not to them.
[DRA | EN | OT | Job | Chapter 39 | Verse 5] Who hath sent out the wild ass free, and who hath loosed his bonds?
[DRA | EN | OT | Job | Chapter 39 | Verse 6] To whom I have given a house in the wilderness, and his dwellings in the barren land.
[DRA | EN | OT | Job | Chapter 39 | Verse 7] He scorneth the multitude of the city, he heareth not the cry of the driver.
[DRA | EN | OT | Job | Chapter 39 | Verse 8] He looketh round about the mountains of his pasture, and seeketh for every green thing.
[DRA | EN | OT | Job | Chapter 39 | Verse 9] Shall the rhinoceros be willing to serve thee, or will he stay at thy crib?
[DRA | EN | OT | Job | Chapter 39 | Verse 10] Canst thou bind the rhinoceros with thy thong to plough, or will he break the clods of the valleys after thee?
[DRA | EN | OT | Job | Chapter 39 | Verse 11] Wilt thou have confidence in his great strength, and leave thy labours to him?
[DRA | EN | OT | Job | Chapter 39 | Verse 12] Wilt thou trust him that he will render thee the seed, and gather it into thy barnfloor?
[DRA | EN | OT | Job | Chapter 39 | Verse 13] The wing of the ostrich is like the wings of the heron, and of the hawk.
[DRA | EN | OT | Job | Chapter 39 | Verse 14] When she leaveth her eggs on the earth, thou perhaps wilt warm them in the dust.
[DRA | EN | OT | Job | Chapter 39 | Verse 15] She forgetteth that the foot may tread upon them, or that the beasts of the field may break them.
[DRA | EN | OT | Job | Chapter 39 | Verse 16] She is hardened against her young ones, as though they were not hers, she hath laboured in vain, no fear constraining her.
[DRA | EN | OT | Job | Chapter 39 | Verse 17] For God hath deprived her of wisdom, neither hath he given her understanding.
[DRA | EN | OT | Job | Chapter 39 | Verse 18] When time shall be, she setteth up her wings on high: she scorneth the horse and his rider.
[DRA | EN | OT | Job | Chapter 39 | Verse 19] Wilt thou give strength to the horse, or clothe his neck with neighing?
[DRA | EN | OT | Job | Chapter 39 | Verse 20] Wilt thou lift him up like the locusts? the glory of his nostrils is terror.
[DRA | EN | OT | Job | Chapter 39 | Verse 21] He breaketh up the earth with his hoof, he pranceth boldly, he goeth forward to meet armed men.
[DRA | EN | OT | Job | Chapter 39 | Verse 22] He despiseth fear, he turneth not his back to the sword,
[DRA | EN | OT | Job | Chapter 39 | Verse 23] Above him shall the quiver rattle, the spear and shield shall glitter.
[DRA | EN | OT | Job | Chapter 39 | Verse 24] Chasing and raging he swalloweth the ground, neither doth he make account when the noise of the trumpet soundeth.
[DRA | EN | OT | Job | Chapter 39 | Verse 25] When he heareth the trumpet he saith: Ha, ha: he smelleth the battle afar off, the encouraging of the captains, and the shouting of the army.
[DRA | EN | OT | Job | Chapter 39 | Verse 26] Doth the hawk wax feathered by thy wisdom, spreading her wings to the south?
[DRA | EN | OT | Job | Chapter 39 | Verse 27] Will the eagle mount up at thy command, and make her nest in high places?
[DRA | EN | OT | Job | Chapter 39 | Verse 28] She abideth among the rocks, and dwelleth among cragged flints, and stony hills, where there is no access.
[DRA | EN | OT | Job | Chapter 39 | Verse 29] From thence she looketh for the prey, and her eyes behold afar off.
[DRA | EN | OT | Job | Chapter 39 | Verse 30] Her young ones shall suck up blood: and wheresoever the carcass shall be, she is immediately there.
