[DRA | EN | OT | Job | Chapter 12 | Verse 1] When Job answered, and said:
[DRA | EN | OT | Job | Chapter 12 | Verse 2] Are you then men alone, and shall wisdom die with you?
[DRA | EN | OT | Job | Chapter 12 | Verse 3] I also have a heart as well as you: for who is ignorant of these things, which you know?
[DRA | EN | OT | Job | Chapter 12 | Verse 4] He that is mocked by his friends as I, shall call upon God and he will hear him: for the simplicity of the just man is laughed to scorn.
[DRA | EN | OT | Job | Chapter 12 | Verse 5] The lamp despised in the thoughts of the rich, is ready for the time appointed.
[DRA | EN | OT | Job | Chapter 12 | Verse 6] The tabernacles of robbers abound, and they provoke God boldly; whereas it is he that hath given all into their hands:
[DRA | EN | OT | Job | Chapter 12 | Verse 7] But ask now the beasts, and they shall teach thee: and the birds of the air, and they shall tell thee.
[DRA | EN | OT | Job | Chapter 12 | Verse 8] Speak to the earth, and it shall answer thee: and the fishes of the sea shall tell.
[DRA | EN | OT | Job | Chapter 12 | Verse 9] Who is ignorant that the hand of the Lord hath made all these things?
[DRA | EN | OT | Job | Chapter 12 | Verse 10] In whose hand is the soul of every living thing, and the spirit of all flesh of man.
[DRA | EN | OT | Job | Chapter 12 | Verse 11] Doth not the ear discern words, and the palate of him that eateth, the taste?
[DRA | EN | OT | Job | Chapter 12 | Verse 12] In the ancient is wisdom, and in length of days prudence.
[DRA | EN | OT | Job | Chapter 12 | Verse 13] With him is wisdom and strength, he hath counsel and understanding.
[DRA | EN | OT | Job | Chapter 12 | Verse 14] If he pull down, there is no man that can build up: if he shut up a. man, there is none that can open.
[DRA | EN | OT | Job | Chapter 12 | Verse 15] If he withhold the waters, all things shall be dried up: and if he send them out, they shall overturn the earth.
[DRA | EN | OT | Job | Chapter 12 | Verse 16] With him is strength and wisdom: he knoweth both the deceiver, and him that is deceived.
[DRA | EN | OT | Job | Chapter 12 | Verse 17] He bringeth counsellors to a foolish end, and judges to insensibility.
[DRA | EN | OT | Job | Chapter 12 | Verse 18] He looseth the belt of kings, and girdeth their loins with a cord.
[DRA | EN | OT | Job | Chapter 12 | Verse 19] He leadeth away priests without glory, and overthroweth nobles.
[DRA | EN | OT | Job | Chapter 12 | Verse 20] He changeth the speech of the true speakers, and taketh away the doctrine of the aged.
[DRA | EN | OT | Job | Chapter 12 | Verse 21] He poureth contempt upon princes, and relieveth them that were oppressed.
[DRA | EN | OT | Job | Chapter 12 | Verse 22] He discovereth deep things out of darkness, and bringeth up to light the shadow of death.
[DRA | EN | OT | Job | Chapter 12 | Verse 23] He multiplieth nations, and destroyeth them, and restoreth them again after they were overthrown.
[DRA | EN | OT | Job | Chapter 12 | Verse 24] He changeth the heart of the princes of the people of the earth, and deceiveth them that they walk in vain where there is no way.
[DRA | EN | OT | Job | Chapter 12 | Verse 25] They shall grope as in the dark, and not in the light, and he shall make them stagger like men that are drunk.
