[DRA | EN | OT | Job | Chapter 29 | Verse 1] Job also added, taking up his parable, and said:
[DRA | EN | OT | Job | Chapter 29 | Verse 2] Who will grant me, that I might be according to the months past, according to the days in which God kept me?
[DRA | EN | OT | Job | Chapter 29 | Verse 3] When his lamp shined over my head, and I walked by his light in darkness?
[DRA | EN | OT | Job | Chapter 29 | Verse 4] As I was in the days of my youth, when God was secretly in my tabernacle?
[DRA | EN | OT | Job | Chapter 29 | Verse 5] When the Almighty was with me: and my servants round about me?
[DRA | EN | OT | Job | Chapter 29 | Verse 6] When I washed my feet with butter, and the rock poured me out rivers of oil?
[DRA | EN | OT | Job | Chapter 29 | Verse 7] When I went out to the gate of the city, and in the street they prepared me a chair?
[DRA | EN | OT | Job | Chapter 29 | Verse 8] The young men saw me, and hid themselves: and the old men rose up and stood.
[DRA | EN | OT | Job | Chapter 29 | Verse 9] The princes ceased to speak, and laid the finger on their mouth.
[DRA | EN | OT | Job | Chapter 29 | Verse 10] The rulers held their peace, and their tongue cleaved to their throat.
[DRA | EN | OT | Job | Chapter 29 | Verse 11] The ear that heard me blessed me, and the eye that saw me gave witness to me:
[DRA | EN | OT | Job | Chapter 29 | Verse 12] Because I had delivered the poor man that cried out; and the fatherless that had no helper.
[DRA | EN | OT | Job | Chapter 29 | Verse 13] The blessing of him that was ready to perish came upon me, and I comforted the heart of the widow.
[DRA | EN | OT | Job | Chapter 29 | Verse 14] I was clad with justice: and I clothed myself with my judgment, as with a robe and a diadem.
[DRA | EN | OT | Job | Chapter 29 | Verse 15] I was an eye to the blind, and a foot to the lame.
[DRA | EN | OT | Job | Chapter 29 | Verse 16] I was the father of the poor: and the cause which I knew not, I searched out most diligently.
[DRA | EN | OT | Job | Chapter 29 | Verse 17] I broke the jaws of the wicked man, and out of his teeth I took away the prey.
[DRA | EN | OT | Job | Chapter 29 | Verse 18] And I said: I shall die in my nest, and as a palm tree shall multiply my days.
[DRA | EN | OT | Job | Chapter 29 | Verse 19] My root is opened beside the waters, and dew shall continue in my harvest.
[DRA | EN | OT | Job | Chapter 29 | Verse 20] My glory shall always be renewed, and my bow in my hand shall be repaired.
[DRA | EN | OT | Job | Chapter 29 | Verse 21] They that heard me, waited for my sentence, and being attentive held their peace at my counsel.
[DRA | EN | OT | Job | Chapter 29 | Verse 22] To my words they durst add nothing, and my speech dropped upon them.
[DRA | EN | OT | Job | Chapter 29 | Verse 23] They waited for me as for rain, and they opened their mouth as for a latter shower.
[DRA | EN | OT | Job | Chapter 29 | Verse 24] If at any time I laughed on them, they believed not, and the light of my countenance fell not on earth.
[DRA | EN | OT | Job | Chapter 29 | Verse 25] If I had a mind to go to them, I sat first, and when I sat as a king, with his army standing about him, yet I was a comforter of them that mourned.
