[DRA | EN | OT | Job | Chapter 4 | Verse 1] Then Eliphaz the Themanite answered, and said:
[DRA | EN | OT | Job | Chapter 4 | Verse 2] If we begin to speak to thee, perhaps thou wilt take it ill, but who can withhold the words he hath conceived?
[DRA | EN | OT | Job | Chapter 4 | Verse 3] Behold thou hast taught many, and thou hast strengthened the weary hands:
[DRA | EN | OT | Job | Chapter 4 | Verse 4] Thy words have confirmed them that were staggering, and thou hast strengthened the trembling knees:
[DRA | EN | OT | Job | Chapter 4 | Verse 5] But now the scourge is come upon thee, and thou faintest: it hath touched thee, and thou art troubled.
[DRA | EN | OT | Job | Chapter 4 | Verse 6] Where is thy fear, thy fortitude, thy patience, and the perfection of thy ways?
[DRA | EN | OT | Job | Chapter 4 | Verse 7] Remember, I pray thee, who ever perished being innocent? or when were the just destroyed?
[DRA | EN | OT | Job | Chapter 4 | Verse 8] On the contrary I have seen those who work iniquity, and sow sorrows, and reap them,
[DRA | EN | OT | Job | Chapter 4 | Verse 9] Perishing by the blast of God, and consumed by the spirit of his wrath.
[DRA | EN | OT | Job | Chapter 4 | Verse 10] The roaring of the lion, and the voice of the lioness, and the teeth of the whelps of lions are broken:
[DRA | EN | OT | Job | Chapter 4 | Verse 11] The tiger hath perished for want of prey, and the young lions are scattered abroad.
[DRA | EN | OT | Job | Chapter 4 | Verse 12] Now there was a word spoken to me in private, and my ears by stealth as it were received the veins of its whisper.
[DRA | EN | OT | Job | Chapter 4 | Verse 13] In the horror of a vision by night, when deep sleep is wont to hold men,
[DRA | EN | OT | Job | Chapter 4 | Verse 14] Fear seized upon me, and trembling, and all my bones were affrighted:
[DRA | EN | OT | Job | Chapter 4 | Verse 15] And when a spirit passed before me, the hair of my flesh stood up.
[DRA | EN | OT | Job | Chapter 4 | Verse 16] There stood one whose countenance I knew not, an image before my eyes, and I heard the voice as it were of a gentle wind:
[DRA | EN | OT | Job | Chapter 4 | Verse 17] Shall man be justified in comparison of God, or shall a man be more pure than his maker?
[DRA | EN | OT | Job | Chapter 4 | Verse 18] Behold they that serve him are not steadfast, and in his angels he found wickedness:
[DRA | EN | OT | Job | Chapter 4 | Verse 19] How much more shall they that dwell in houses of clay, who have an earthly foundation, be consumed as with the moth?
[DRA | EN | OT | Job | Chapter 4 | Verse 20] From morning till evening they shall be cut down: and because no one understandeth, they shall perish for ever.
[DRA | EN | OT | Job | Chapter 4 | Verse 21] And they that shall be left, shall be taken away from them: they shall die, and not in wisdom.
