[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 1] Adam, Seth, Enosh;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 2] Kenan, Mahalalel, Jared;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 3] Enoch, Methuselah, Lamech;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 4] Noah, Shem, Ham, and Japheth.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 5] The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 6] And the sons of Gomer; Ashkenaz, and Diphath, and Togarmah.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 7] And the sons of Javan; Elishah, and Tarshish, Kittim, and Rodanim.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 8] The sons of Ham; Cush, and Mizraim, Put, and Canaan.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 9] And the sons of Cush; Seba, and Havilah, and Sabta, and Raama, and Sabteca. And the sons of Raamah; Sheba, and Dedan.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 10] And Cush begat Nimrod: he began to be a mighty one in the earth.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 11] And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 12] and Pathrusim, and Casluhim ( from whence came the Philistines), and Caphtorim.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 13] And Canaan begat Zidon his firstborn, and Heth;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 14] and the Jebusite, and the Amorite, and the Girgashite;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 15] and the Hivite, and the Arkite, and the Sinite;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 16] and the Arvadite, and the Zemarite, and the Hamathite.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 17] The sons of Shem; Elam, and Asshur, and Arpachshad, and Lud, and Aram, and Uz, and Hul, and Gether., and Meshech.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 18] And Arpachshad begat Shelah, and Shelah begat Eber.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 19] And unto Eber were born two sons: the name of the one was Peleg; for in his days the earth was divided; and his brother’s name was Joktan.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 20] And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 21] and Hadoram, and Uzal, and Diklah;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 22] and Ebal, and Abimael, and Sheba;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 23] and Ophir, and Havilah, and Jobab; All these were the sons of Joktan.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 24] Shem, Arpachshad, Shelah;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 25] Eber, Peleg, Reu;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 26] Serug, Nahor, Terah;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 27] Abram ( the same is Abraham).
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 28] The sons of Abraham; Isaac, and Ishmael.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 29] These are their generations: the firstborn of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 30] Mishma, and Dumah, Massa; Hadad, and Tema,
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 31] Jetur, Naphish, and Kedemah. These are the sons of Ishmael.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 32] And the sons of Keturah, Abraham’s concubine: she bare Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And the sons of Jokshan; Sheba, and Dedan.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 33] And the sons of Midian; Ephah, and Epher, and Hanoch, and Abida, and Eldaah. All these were the sons of Keturah.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 34] And Abraham begat Isaac. The sons of Isaac; Esau, and Israel.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 35] The sons of Esau; Eliphaz, Reuel, and Jeush, and Jalam, and Korah.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 36] The sons of Eliphaz; Teman, and Omar, Zephi, and Gatam, Kenaz, and Timna, and Amalek.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 37] The sons of Reuel; Nahath, Zerah, Shammah, and Mizzah.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 38] And the sons of Seir; Lotan and Shobal and Zibeon and Anah, and Dishon and Ezer and Dishan.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 39] And the sons of Lotan; Hori and Homam: and Timna was Lotan’s sister.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 40] The sons of Shobal; Alian and Manahath and Ebal, Shephi and Onam. And the sons of Zibeon; Aiah and Anah.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 41] The sons of Anah; Dishon. And the sons of Dishon; Hamran and Eshban and Ithran and Cheran.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 42] The sons of Ezer; Bilhan and Zaavan, Jaakan. The sons of Dishan; Uz and Aran.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 43] Now these are the kings that reigned in the land of Edom, before there reigned any king over the children of Israel: Bela the son of Beor; and the name of his city was Dinhabah,
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 44] And Bela died, and Jobab the son of Zerah of Bozrah reigned in his stead.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 45] And Jobab died, and Husham of the land of the Temanites reigned in his stead.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 46] And Husham died, and Hadad the son of Bedad, which smote Midian in the field of Moab, reigned in his stead: and the name of his city was Avith.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 47] And Hadad died, and Samlah of Masrekah reigned in his stead.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 48] And Samlah died, and Shaul of Rehoboth by the River reigned in his stead.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 49] And Shaul died, and Baal-hanan the son of Achbor reigned in his stead.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 50] And Baal-hanan died, and Hadad reigned in his stead; and the name of his city was Pai: and his wife’s name was Mehetabel, the daughter of Matred, the daughter of Me-zahab.
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 51] And Hadad died. And the dukes of Edom were; duke Timna, duke Aliah, duke Jetheth;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 52] duke Oholibamah, duke Elah, duke Pinon;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 53] duke Kenaz, duke Teman, duke Mibzar;
[ERV | EN | OT | 1 Chronicles | Chapter 1 | Verse 54] duke Magdiel, duke Iram. These are the dukes of Edom.
