[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] The sons of Levi; Gershon, Kohath, and Merari.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 2] And the sons of Kohath; Amram, Izhar, and Hebron, and Uzziel.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 3] And the children of Amram; Aaron, and Moses, and Miriam. And the sons of Aaron; Nadab and Abihu, Eleazar and Ithamar.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 4] Eleazar begat Phinehas, Phinehas begat Abishua;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 5] and Abishua begat Bukki, and Bukki begat Uzzi;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 6] and Uzzi begat Zerahiah, and Zerahiah begat Meraioth;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 7] Meraioth begat Amariah, and Amariah begat Ahitub;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 8] and Ahitub begat Zadok, and Zadok begat Ahimaaz;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 9] and Ahimaaz begat Azariah, and Azariah begat Johanan;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 10] and Johanan begat Azariah ( he it is that executed the priest’s office in the house that Solomon built in Jerusalem:)
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 11] and Azariah begat Amariah, and Amariah begat Ahitub;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 12] and Ahitub begat Zadok, and Zadok begat Shallum;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 13] and Shallum begat Hilkiah, and Hilkiah begat Azariah;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 14] and Azariah begat Seraiah, and Seraiah begat Jehozadak;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 15] And Jehozadak went into captivity, when the LORD carried away Judah and Jerusalem by the hand of Nebuchadnezzar.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 16] The sons of Levi; Gershom, Kohath, and Merari.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 17] And these be the names of the sons of Gershom; Libni and Shimei.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 18] And the sons of Kohath were Amram, and Izhar, and Hebron, and Uzziel.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 19] The sons of Merari; Mahli and Mushi. And these are the families of the Levites according to their father’s houses.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 20] Of Gershom; Libni his son, Jahath his son, Zimmah his son;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 21] Joah his son, Iddo his son, Zerah his son, Jeatherai his son.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 22] The sons of Kohath; Amminadab his son, Koran his son, Assir his son;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 23] Elkanah his son, and Ebiasaph his son, and Assir his son;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 24] Tahath his son, Uriel his son, Uzziah his son, and Shaul his son.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 25] And the sons of Elkanah; Amasai, and Ahimoth.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 26] As for Elkanah: the sons of Elkanah; Zophai his son, and Nahath his son;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 27] Eliab his son, Jeroham his son, Elkanah his son.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 28] And the sons of Samuel; the firstborn, Joel, and the second Abijah.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 29] The sons of Merari; Mahli, Libni his son, Shimei his son, Uzzah his son;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 30] Shimea his son, Haggiah his son, Asaiah his son.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 31] And these are they whom David set over the service of song in the house of the LORD, after that the ark had rest.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 32] And they ministered with song before the tabernacle of the tent of meeting, until Solomon had built the house of the LORD in Jerusalem: and they waited on their office according to their order.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 33] And these are they that waited, and their sons. Of the sons of the Kohathites: Heman the singer, the son of Joel, the son of Samuel;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 34] the son of Elkanah, the son of Jeroham, the son of Eliel, the son of Toah;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 35] the son of Zuph, the son of Elkanah, the son of Mahath, the son of Amasai;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 36] the son of Elkanah, the son of Joel, the son of Azariah, the son of Zephaniah;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 37] the son of Tahath, the son of Assir, the son of Ebiasaph, the son of Korah;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 38] the son of Izhar, the son of Kohath, the son of Levi, the son of Israel.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 39] And his brother Asaph, who stood on his right hand, even Asaph the son of Berechiah, the son of Shimea;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 40] the son of Michael, the son of Baaseiah, the son of Malchijah;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 41] the son of Ethni, the son of Zerah, the son of Adaiah;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 42] the son of Ethan, the son of Zimmah, the son of Shimei;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 43] the son of Jahath, the son of Gershom, the son of Levi.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 44] And on the left hand their brethren the sons of Merari: Ethan the son of Kishi, the son of Abdi, the son of Malluch;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 45] the son of Hashabiah, the son of Amaziah, the son of Hilkiah;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 46] the son of Amzi, the son of Bani, the son of Shemer;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 47] the son of Mahli, the son of Mushi, the son of Merari, the son of Levi.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 48] And their brethren the Levites were appointed for all the service of the tabernacle of the house of God.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 49] But Aaron and his sons offered upon the altar of burnt offering, and upon the altar of incense, for all the work of the most holy place, and to make atonement for Israel, according to all that Moses the servant of God had commanded.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 50] And these are the sons of Aaron; Eleazar his son, Phinehas his son, Abishua his son;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 51] Bukki his son, Uzzi his son, Zerahiah his son;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 52] Meraioth his son, Amariah his son, Ahitub his son;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 53] Zadok his son, Ahimaaz his son.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 54] Now these are their dwelling places according to their encampments in their borders: to the sons of Aaron, of the families of the Kohathites, for theirs was the first lot,
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 55] to them they gave Hebron in the land of Judah, and the suburbs thereof round about it;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 56] but the fields of the city, and the villages thereof, they gave to Caleb the son of Jephunneh.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 57] And to the sons of Aaron they gave the cities of refuge, Hebron; Libnah also with her suburbs, and Jattir, and Eshtemoa with her suburbs;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 58] and Hilen with her suburbs, Debir with her suburbs;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 59] and Ashan with her suburbs, and Beth-shemesh with her suburbs:
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 60] and out of the tribe of Benjamin; Geba with her suburbs, and Allemeth with her suburbs, and Anathoth with her suburbs. All their cities throughout their families were thirteen cities.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 61] And unto the rest of the sons of Kohath were given by lot, out of the family of the tribe, out of the half tribe, the half of Manasseh, ten cities.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 62] And to the sons of Gershom, according to their families, out of the tribe of Issachar, and out of the tribe of Asher, and out of the tribe of Naphtali, and out of the tribe of Manasseh in Bashan, thirteen cities.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 63] Unto the sons of Merari were given by lot, according to their families, out of the tribe of Reuben, and out of the tribe of Gad, and out of the tribe of Zebulun, twelve cities.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 64] And the children of Israel gave to the Levites the cities with their suburbs.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 65] And they gave by lot out of the tribe of the children of Judah, and out of the tribe of the children of Simeon, and out of the tribe of the children of Benjamin, these cities which are mentioned by name.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 66] And some of the families of the sons of Kohath had cities of their borders out of the tribe of Ephraim.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 67] And they gave unto them the cities of refuge, Shechem in the hill country of Ephraim with her suburbs; Gezer also with her suburbs;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 68] and Jokmeam with her suburbs, and Beth-horon with her suburbs;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 69] and Aijalon with her suburbs, and Gath-rimmon with her suburbs:
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 70] and out of the half tribe of Manasseh; Aner with her suburbs, and Bileam with her suburbs, for the rest of the family of the sons of Kohath.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 71] Unto the sons of Gershom were given, out of the family of the half tribe of Manasseh, Golan in Bashan with her suburbs, and Ashtaroth with her suburbs:
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 72] and out of the tribe of Issachar; Kedesh with her suburbs, Daberath with her suburbs;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 73] and Ramoth with her suburbs, and Anem with her suburbs:
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 74] and out of the tribe of Asher; Mashal with her suburbs, and Abdon with her suburbs;
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 75] and Hukok with her suburbs, and Rehob with her suburbs:
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 76] and out of the tribe of Naphtali; Kedesh in Galilee with her suburbs, and Hammon with her suburbs, and Kiriathaim with her suburbs.
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 77] Unto the rest of the Levites, the sons of Merari, were given, out of the tribe of Zebulun, Rimmono with her suburbs, Tabor with her suburbs:
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 78] and beyond the Jordan at Jericho, on the east side of Jordan, were given them, out of the tribe of Reuben, Bezer in the wilderness with her suburbs, and Jahzah with her suburbs,
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 79] and Kedemoth with her suburbs, and Mephaath with her suburbs:
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 80] and out of the tribe of Gad; Ramoth in Gilead with her suburbs, and Mahanaim with her suburbs,
[ERV | EN | OT | 1 Chronicles | Chapter 6 | Verse 81] and Heshbon with her suburbs, and Jazer with her suburbs.
