[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 1] And David the king said unto all the congregation, Solomon my son, whom alone God hath chosen, is yet young and tender, and the work is great: for the palace is not for man, but for the LORD God:
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 2] Now I have prepared with all my might for the house of my God the gold for the things of gold, and the silver for the things of silver, and the brass for the things of brass, the iron for the things of iron, and wood for the things of wood; onyx stones, and stones to be set, stones for inlaid work, and of divers colours, and all manner of precious stones, and marble stones in abundance.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 3] Moreover also, because I have set my affection to the house of my God, seeing that I have a treasure of mine own of gold and silver, I give it unto the house of my God, over and above all that I have prepared for the holy house;
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 4] even three thousand talents of gold, of the gold of Ophir, and seven thousand talents of refined silver, to overlay the walls of the houses withal:
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 5] of gold for the things of gold, and of silver for the things of silver, and for all manner of work to be made by the hands of artificers. Who then offereth willingly to consecrate himself this day unto the LORD?
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 6] Then the princes of the fathers’ houses, and the princes of the tribes of Israel, and the captains of thousands and of hundreds, with the rulers over the king’s work, offered willingly;
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 7] and they gave for the service of the house of God of gold five thousand talents and ten thousand darics, and of silver ten thousand talents, and of brass eighteen thousand talents, and of iron a hundred thousand talents.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 8] And they with whom precious stones were found gave them to the treasure of the house of the LORD, under the hand of Jehiel the Gershonite.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 9] Then the people rejoiced, for that they offered willingly, because with a perfect heart they offered willingly to the LORD: and David the king also rejoiced with great joy.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 10] Wherefore David blessed the LORD before all the congregation: and David said, Blessed be thou, O LORD, the God of Israel our father, for ever and ever.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 11] Thine, O LORD, is the greatness, and the power, and the glory, and the victory, and the majesty: for all that is in the heaven and in the earth is thine; thine is the kingdom, O LORD, and thou art exalted as head above all.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 12] Both riches and honour come of thee, and thou rulest over all; and in thine hand is power and might; and in thine hand it is to make great, and to give strength unto all.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 13] Now therefore, our God, we thank thee, and praise thy glorious name.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 14] But who am I, and what is my people, that we should be able to offer so willingly after this sort? for all things come of thee, and of thine own have we given thee.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 15] For we are strangers before thee, and sojourners, as all our fathers were: our days on the earth are as a shadow, and there is no abiding.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 16] O LORD our God, all this store that we have prepared to build thee an house for thine holy name cometh of thine hand, and is all thine own.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 17] I know also, my God, that thou triest the heart, and hast pleasure in uprightness, As for me, in the uprightness of mine heart I have willingly offered all these things: and now have I seen with joy thy people, which are present here, to offer willingly unto thee.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 18] O LORD, the God of Abraham, of Isaac, and of Israel, our fathers, keep this for ever in the imagination of the thoughts of the heart of thy people; and prepare their heart unto thee:
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 19] and give unto Solomon my son a perfect heart, to keep thy commandments, thy testimonies, and thy statutes, and to do all these things, and to build the palace, for the which I have made provision.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 20] And David said to all the congregation, Now bless the LORD your God. And all the congregation blessed the LORD, the God of their fathers, and bowed down their heads, and worshipped the LORD, and the king.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 21] And they sacrificed sacrifices unto the LORD, and offered burnt offerings unto the LORD, on the morrow after that day, even a thousand bullocks, a thousand rams, and a thousand lambs, with their drink offerings, and sacrifices in abundance for all Israel;
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 22] and did eat and drink before the LORD on that day with great gladness. And they made Solomon the son of David king the second time, and anointed him unto the LORD to be prince, and Zadok to be priest.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 23] Then Solomon sat on the throne of the LORD as king instead of David his father, and prospered; and all Israel obeyed him.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 24] And all the princes, and the mighty men, and all the sons likewise of king David, submitted themselves unto Solomon the king.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 25] And the LORD magnified Solomon exceedingly in the sight of all Israel, and bestowed upon him such royal majesty as had not been on any king before him in Israel.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 26] Now David the son of Jesse reigned over all Israel.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 27] And the time that he reigned over Israel was forty years; seven years reigned he in Hebron, and thirty and three years reigned he in Jerusalem.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 28] And he died in a good old age, full of days, riches, and honour: and Solomon his son reigned in his stead.
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 29] Now the acts of David the king, first and last, behold, they are written in the history of Samuel the seer, and in the history of Nathan the prophet, and in the history of Gad the seer;
[ERV | EN | OT | 1 Chronicles | Chapter 29 | Verse 30] with all his reign and his might, and the times that went over him, and over Israel, and over all the kingdoms of the countries.
