[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 1] The sons of Judah; Perez, Hezron, and Carmi, and Hur, and Shobal.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 2] And Reaiah the son of Shobal begat Jahath; and Jahath begat Ahumai and Lahad. These are the families of the Zorathites.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 3] And these were the sons of the father of Etam; Jezreel, and Ishma, and Idbash: and the name of their sister was Hazzelelponi:
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 4] and Penuel the father of Gedor, and Ezer the father of Hushah. These are the sons of Hur, the firstborn of Ephrathah, the father of Beth-lehem.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 5] And Ashhur the father of Tekoa had two wives, Helah and Naarah.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 6] And Naarah bare him Ahuzzam, and Hepher, and Temeni, and Haahashtari. These were the sons of Naarah.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 7] And the sons of Helah were Zereth, Izhar, and Ethnan.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 8] And Hakkoz begat Anub, and Zobebah, and the families of Aharhel the son of Harum.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 9] And Jabez was more honourable than his brethren: and his mother called his name Jabez, saying, Because I bare him with sorrow.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 10] And Jabez called on the God of Israel, saying, Oh that thou wouldest bless me indeed, and enlarge my border, and that thine hand might be with me, and that thou wouldest keep me from evil, that it be not to my sorrow! And God granted him that which he requested.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 11] And Chelub the brother of Shuhah begat Mehir, which was the father of Eshton.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 12] And Eshton begat Beth-rapha, and Paseah, and Tehinnah the father of Ir-nahash. These are the men of Recah.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 13] And the sons of Kenaz; Othniel, and Seraiah: and the sons of Othniel; Hathath.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 14] And Meonothai begat Ophrah: and Seraiah begat Joab the father of Ge-harashim; for they were craftsmen.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 15] And the sons of Caleb the son of Jephunneh; Iru, Elah, and Naam: and the sons of Elah; and Kenaz.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 16] And the sons of Jehallelel; Ziph, and Ziphah, Tiria, and Asarel.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 17] And the sons of Ezrah; Jether, and Mered, and Epher, and Jalon: and she bare Miriam, and Shammai, and Ishbah the father of Eshtemoa.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 18] And his wife the Jewess bare Jered the father of Gedor, and Heber the father of Soco, and Jekuthiel the father of Zanoah. And these are the sons of Bithiah the daughter of Pharaoh, which Mered took.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 19] And the sons of the wife of Hodiah, the sister of Naham, were the father of Keilah the Garmite, and Eshtemoa the Maacathite.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 20] And the sons of Shimon; Amnon, and Rinnah, Ben-hanan, and Tilon. And the sons of Ishi; Zoheth, and Ben-zoheth.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 21] The sons of Shelah the son of Judah; Er the father of Lecah, and Laadah the father of Mareshah, and the families of the house of them that wrought fine linen, of the house of Ashbea;
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 22] and Jokim, and the men of Cozeba, and Joash, and Saraph, who had dominion in Moab, and Jashubi-lehem. And the records are ancient.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 23] These were the potters, and the inhabitants of Netaim and Gederah: there they dwelt with the king for his work.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 24] The sons of Simeon; Nemuel, and Jamin, Jarib, Zerah, Shaul:
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 25] Shallum his son, Mibsam his son, Mishma his son.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 26] And the sons of Mishma; Hammuel his son, Zaccur his son, Shimei his son.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 27] And Shimei had sixteen sons and six daughters; but his brethren had not many children, neither did all their family multiply, like to the children of Judah.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 28] And they dwelt at Beer-sheba, and Moladah, and Hazar-shual;
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 29] and at Bilhah, and at Ezem, and at Tolad;
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 30] and at Bethuel, and at Hormah, and at Ziklag;
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 31] and at Beth-marcaboth, and Hazar-susim, and at Beth-biri, and at Shaaraim. These were their cities unto the reign of David.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 32] And their villages were Etam, and Ain, Rimmon, and Tochen, and Ashan, five cities:
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 33] and all their villages that were round about the same cities, unto Baal. These were their habitations, and they have their genealogy.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 34] And Meshobab, and Jamlech, and Joshah the son of Amaziah;
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 35] and Joel, and Jehu the son of Joshibiah, the son of Seraiah, the son of Asiel;
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 36] and Elioenai, and Jaakobah, and Jeshohaiah, and Asaiah, and Adiel, and Jesimiel, and Benaiah;
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 37] and Ziza the son of Shiphi, the son of Allon, the son of Jedaiah, the son of Shimri, the son of Shemaiah;
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 38] these mentioned by name were princes in their families: and their fathers’ houses increased greatly.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 39] And they went to the entering in of Gedor, even unto the east side of the valley, to seek pasture for their flocks.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 40] And they found fat pasture and good, and the land was wide, and quiet, and peaceable; for they that dwelt there aforetime were of Ham.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 41] And these written by name came in the days of Hezekiah king of Judah, and smote their tents, and the Meunim that were found there, and destroyed them utterly, unto this day, and dwelt in their stead: because there was pasture there for their flocks.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 42] And some of them, even of the sons of Simeon, five hundred men, went to mount Seir; having for their captains Pelatiah, and Neariah, and Rephaiah, and Uzziel, the sons of Ishi.
[ERV | EN | OT | 1 Chronicles | Chapter 4 | Verse 43] And they smote the remnant of the Amalekites that escaped, and dwelt there, unto this day.
