[LXX | EL | OT | 2 Maccabees | Chapter 11 | Verse 1] Μετʼ ὀλίγον δὲ παντελῶς χρόνον Λυσίας ἐπίτροπος τοῦ βασιλέως καὶ συγγενὴς, καὶ ἐπὶ τῶν πραγμάτων, λίαν βαρέως φέρων ἐπὶ τοῖς γεγονόσι,
[LXX | EL | OT | 2 Maccabees | Chapter 11 | Verse 2] συναθροίσας περὶ τὰς ὀκτὼ μυριάδας καὶ τὴν ἵππον πᾶσαν, παρεγένετο ἐπὶ τοὺς Ἰουδαίους, λογιζόμενος τὴν μὲν πόλιν Ἕλλησιν οἰκητήριον ποιήσειν,
[LXX | EL | OT | 2 Maccabees | Chapter 11 | Verse 3] τὸ δὲ ἱερὸν ἀργυρολόγητον καθὼς τὰ λοιπὰ τῶν ἐθνῶν τεμένη, πρατὴν δὲ τὴν ἀρχιερωσύνην κατʼ ἔτος ποιήσειν,
[LXX | EL | OT | 2 Maccabees | Chapter 11 | Verse 4] οὐδαμῶς ἐπιλογιζόμενος τὸ τοῦ Θεοῦ κράτος, πεφρενωμένος δὲ ταῖς μυριάσι τῶν πεζῶν καὶ ταῖς χιλιάσι τῶν ἱππέων καὶ τοῖς ἐλέφασι τοῖς ὀγδοήκοντα.
[LXX | EL | OT | 2 Maccabees | Chapter 11 | Verse 5] Εἰσελθὼν δὲ εἰς τὴν Ἰουδαίαν, καὶ συνεγγίσας τῷ Βαιθσούρᾳ, ὄντι μὲν ἐρυμνῷ χωρίῳ, ἀπὸ δὲ Ἱεροσολύμων ἀπέχοντι ὡσεὶ σταδίους πέντε, τοῦτο ἔθλιβεν.
[LXX | EL | OT | 2 Maccabees | Chapter 11 | Verse 6] Ὡς δὲ μετέλαβον οἱ περὶ τὸν Μακκαβαῖον πολιορκοῦντα αὐτὸν τὰ ὀχυρώματα, μετʼ ὀδύρμῶν καὶ δακρύων ἱκέτευον σὺν τοῖς ὄχλοις τὸν Κύριον, ἀγαθὸν ἄγγελον ἀποστεῖλαι πρὸς σωτηρίαν τῷ Ἰσραήλ.
[LXX | EL | OT | 2 Maccabees | Chapter 11 | Verse 7] Αὐτὸς δὲ πρῶτος ὁ Μακκαβαῖος ἀναλαβὼν τὰ ὅπλα προετρέψατο τοὺς ἄλλους, ἅμα αὐτῷ διακινδυνεύοντας, ἐπιβοηθεῖν τοῖς ἀδελφοῖς αὐτῶν· ὁμοῦ δὲ καὶ προθύμως ἐξώρμησαν.
[LXX | EL | OT | 2 Maccabees | Chapter 11 | Verse 8] Αὐτόθι δὲ καὶ πρὸς τοῖς Ἱεροσολύμοις ὄντων, ἐφάνη προηγούμενος αὐτῶν ἔφιππος ἐν λευκῇ ἐσθῆτι, πανοπλίαν χρυσῆν κραδαίνων.
[LXX | EL | OT | 2 Maccabees | Chapter 11 | Verse 9] Ὁμοῦ δὲ πάντες εὐλόγησαν τὸν ἐλεήμονα Θεὸν, καὶ ἐπεῤῥώσθησαν ταῖς ψυχαῖς, οὐ μόνον ἀνθρώπους ἀλλὰ καὶ θῆρας τοὺς ἀγριωτάτους, καὶ σιδηρᾶ τείχη τιτρώσκειν ὄντες ἕτοιμοι.
[LXX | EL | OT | 2 Maccabees | Chapter 11 | Verse 10] Προσῆγον ἐν διασκευῇ τὸν ἀπʼ οὐρανοῦ σύμμαχον ἔχοντες, ἐλεήσαντος αὐτοὺς τοῦ Κυρίου.
[LXX | EL | OT | 2 Maccabees | Chapter 11 | Verse 11] Λεοντηδὸν δὲ ἐντινάξαντες εἰς τοὺς πολεμίους, κατέστρωσαν αὐτῶν χιλίους πρὸς τοῖς μυρίοις, ἱππεῖς δὲ ἑξακοσίους πρὸς τοῖς χιλίοις· τοὺς δὲ πάντας ἠνάγκασαν φυγεῖν.
