[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 1] Περὶ δὲ τὸν καιρὸν τοῦτον τὴν δευτέραν ἔφοδον ὁ Ἀντίοχος εἰς Αἴγυπτον ἐστείλατο.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 2] Συνέβη δὲ καθʼ ὅλην τὴν πόλιν σχεδὸν ἐφʼ ἡμέρας τεσσαράκοντα φαίνεσθαι διὰ τοῦ ἀέρος τρέχοντας ἱππεῖς διαχρύσους στολὰς ἔχοντας, καὶ λόγχας σπειρηδὸν ἐξωπλισμένους,
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 3] καὶ ἴλας ἵππων διατεταγμένας, καὶ προσβολὰς γινομένας, καὶ καταδρομὰς ἑκατέρων, καὶ ἀσπίδων κινήσεις, καὶ καμάκων πλήθη, καὶ μαχαιρῶν σπασμούς, καὶ βελῶν βολὰς, καὶ χρυσῶν κόσμων ἐκλάμψεις, καὶ παντοίους θωρακισμούς.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 4] Διὸ πάντες ἠξίουν ἐπʼ ἀγαθῷ τὴν ἐπιφάνειαν γενέσθαι.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 5] Γενομένης δὲ λαλιᾶς ψευδοῦς, ὡς μετηλλαχότος τὸν βίον Ἀντιόχου, παραλαβὼν ὁ Ἰάσων οὐκ ἐλάττους τῶν χιλίων, αἰφνιδίως ἐπὶ τὴν πόλιν συνετελέσατο ἐπίθεσιν· τῶν δὲ ἐπὶ τῷ τείχει συνελασθέντων, καὶ τέλος ἤδη καταλαμβανομένης τῆς πόλεως, ὁ Μενέλαος εἰς τὴν ἀκρόπολιν ἐφυγάδευσεν.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 6] Ὁ δὲ Ἰάσων ἐποιεῖτο σφαγὰς τῶν πολιτῶν τῶν ἰδίων ἀφειδῶς, οὐ συννοῶν τὴν εἰς τοὺς συγγενεῖς εὐημερίαν, δυσημερίαν εἶναι τὴν μεγίστην· δοκῶν δὲ πολεμίων καὶ οὐχ ὁμοεθνῶν τρόπαια καταβάλλεσθαι,
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 7] τῆς μὲν ἀρχῆς οὐκ ἐκράτησε, τὸ δὲ τέλος τῆς ἐπιβουλῆς αἰσχύνην λαβών, φυγὰς πάλιν εἰς τὴν Ἀμμανίτιν ἀπῆλθε.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 8] Πέρας οὖν κακῆς ἀναστροφῆς ἔτυχεν ἐγκλεισθεὶς πρὸς Ἀρέταν τὸν τῶν Ἀράβων τύραννον, πόλιν ἐκ πόλεως φεύγων, διωκόμενος ὑπὸ πάντων, καὶ στυγούμενος ὡς τῶν νόμων ἀποστάτης, καὶ βδελυσσόμενος ὡς πατρίδος καὶ πολιτῶν δήμιος, εἰς Αἴγυπτον συνεβράσθη.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 9] Καὶ ὁ συχνοὺς τῆς πατρίδος ἀποξενώσας, ἐπὶ ξένης ἀπώλετο πρὸς Λακεδαιμονίους ἀναχθείς, ὡς διὰ τὴν συγγένειαν τευξόμενος σκέπης.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 10] Καὶ ὁ πλῆθος ἀτάφων ἐκρίψας ἀπένθητος ἐγενήθη, καὶ κηδείας οὐδʼ ἡστινοσοῦν οὔτε πατρῴου τάφου μετέσχε.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 11] Προσπεσόντων δὲ τῷ βασιλεῖ περὶ τῶν γεγονότων, διέλαβεν ἀποστατεῖν τὴν Ἰουδαίαν· ὅθεν ἀναζεύξας ἐξ Αἰγύπτου τεθηριωμένος τῇ ψυχῇ, ἔλαβε τὴν μὲν πόλιν δορυάλωτον.
