[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 1] Μετὰ δὲ τριετῆ χρόνον προσέπεσε τοῖς περὶ τὸν Ἰούδαν, Δημήτριον τὸν τοῦ Σελεύκου διὰ τοῦ κατὰ Τρίπολιν λιμένος εἰσπλεύσαντα μετὰ πλήθους ἰσχυροῦ καὶ στόλου,
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 2] κεκρατηκέναι τῆς χώρας, ἐπανελόμενον Ἀντίοχον καὶ τὸν τούτου ἐπίτροπον Λυσίαν.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 3] Ἄλκιμος δέ τις προγενόμενος ἀρχιερεὺς, ἑκουσίως δὲ μεμολυμμένος ἐν τοῖς τῆς ἐπιμιξίας χρόνοις, συννοήσας ὅτι καθʼ ὁντιναοῦν τρόπον οὐκ ἔστιν αὐτῷ σωτηρία, οὐδὲ πρὸς ἅγιον θυσιαστήριον ἔτι πρόσοδος,
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 4] ἧκε πρὸς τὸν βασιλέα Δημήτριον πρώτῳ καὶ πεντηκοστῷ καὶ ἑκατοστῷ ἔτει, προσάγων αὐτῷ στέφανον χρυσοῦν καὶ φοίνικα, πρὸς δὲ τούτοις τῶν νομιζομένων θαλλῶν τοῦ ἱεροῦ· καὶ τὴν ἡμέραν ἐκείνην ἡσυχίαν ἔσχε.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 5] Καιρὸν δὲ λαβὼν τῆς ἰδίας ἀνοίας συνεργὸν, προσκληθεὶς εἰς συνέδριον ὑπὸ τοῦ Δημητρίου, καὶ ἐπερωτηθεὶς ἐν τίνι διαθέσει καὶ βουλῇ καθεστήκασιν οἱ Ἰουδαῖοι, πρὸς ταῦτα ἔφη,
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 6] οἱ λεγόμενοι τῶν Ἰουδαίων Ἀσιδαῖοι, ὧν ἀφηγεῖται Ἰούδας ὁ Μακκαβαῖος, πολεμοτροφοῦσι καὶ στασιάζουσιν, οὐκ ἐῶντες τὴν βασιλείαν εὐσταθείας τυχεῖν.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 7] Ὅθεν ἀφελόμενος τὴν προγονικὴν δόξαν, λέγω δὴ τὴν ἀρχιερωσύνην, δεῦρο νῦν ἐλήλυθα.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 8] Πρῶτον μὲν ὑπὲρ τῶν ἀνηκόντων τῷ βασιλεῖ γνησίως φρονῶν, δεύτερον δὲ καὶ τῶν ἰδίων πολιτῶν στοχαζόμενος· τῇ μὲν γὰρ τῶν προειρημένων ἀλογιστίᾳ τὸ σύμπαν ἡμῶν γένος οὐ μικρῶς ἀκληρεῖ.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 9] Ἕκαστα δὲ τούτων ἐπεγνωκὼς σὺ βασιλεῦ, καὶ τῆς χώρας καὶ τοῦ περιϊσταμένου γένους ἡμῶν προνοήθητι, καθʼ ἣν ἔχεις πρὸς ἅπαντας εὐαπάντητον φιλανθρωπίαν.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 10] Ἄχρι γὰρ Ἰούδας περίεστιν, ἀδύνατον εἰρήνης τυχεῖν τὰ πράγματα.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 11] Τοιούτων δὲ ῥηθέντων ὑπὸ τούτου, θᾶττον οἱ λοιποὶ φίλοι δυσμενῶς ἔχοντες τὰ πρὸς τὸν Ἰούδαν προσεπύρωσαν τὸν Δημήτριον.
