[IRV | GU | NT | Matthew | Chapter 23 | Verse 1] ત્યારે ઈસુએ લોકોને તથા પોતાના શિષ્યોને કહ્યું કે,
[IRV | GU | NT | Matthew | Chapter 23 | Verse 2] “શાસ્ત્રીઓ તથા ફરોશીઓ મૂસાના આસન પર બેસે છે;
[IRV | GU | NT | Matthew | Chapter 23 | Verse 3] એ માટે જે કંઈ તેઓ તમને ફરમાવે, તે કરો તથા પાળો; પણ તેઓનાં કાર્યોને ન અનુસરો, કેમ કે તેઓ કહે છે, તે પ્રમાણે કરતા નથી.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 4] કેમ કે ભારે અને પાળવા મુશ્કેલ પડે એવા બોજા તેઓ માણસોની પીઠ પર ચઢાવે છે, પણ તેઓ પોતે પોતાની આંગળીથી પણ તેને ખસેડવા ઇચ્છતા નથી.’
[IRV | GU | NT | Matthew | Chapter 23 | Verse 5] લોકો તેઓને જુએ તે હેતુથી તેઓ પોતાનાં સઘળાં કામ કરે છે; તેઓ પોતાનાં સ્મરણપત્રોની પેટી પહોળી બનાવે છે તથા પોતાનાં વસ્ત્રોની કોરની ઝાલર વધારે છે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 6] વળી જમણવારોમાં મુખ્ય જગ્યાઓ, સભાસ્થાનોમાં મુખ્ય આસનો,
[IRV | GU | NT | Matthew | Chapter 23 | Verse 7] તથા ચોકમાં સલામો તથા માણસો તેઓને ‘ગુરુ’ કહે, તેવું તેઓ ચાહે છે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 8] પણ તમે પોતાને ‘ગુરુ’ ન કહેવડાવો; કેમ કે તમારો એક જ ગુરુ છે અને તમે સઘળાં ભાઈઓ છો.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 9] પૃથ્વી પર તમે કોઈ માણસને તમારા પિતા ન કહો, કેમ કે એક જે સ્વર્ગમાં છે, તે તમારા પિતા છે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 10] તમે પોતાને ‘શિક્ષક’ પણ ન કહેવડાવો, કેમ કે એક, જે ખ્રિસ્ત, તે તમારા શિક્ષક છે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 11] પણ તમારામાં જે મોટો છે તે તમારો ચાકર થશે.
